backend,candidate_route_count_formal_export,candidate_route_introspection_status,edge_disjoint_pair_count,flow_id,flow_kind,forced_edge_count,input_rank,mean_pairwise_edge_jaccard,scenario,unavailability_reason
H2S,1,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,,65,,M_RING,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,1,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,,67,,M_RING,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,COORD_CC_C05_PLC_C05_M02,MachineCoordination,,109,,M_RING,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,IC_PREV_CC_C03,InterCellPrevious,,130,,M_RING,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,1,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,,65,,M_RING,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,1,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,,67,,M_RING,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,1,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,COORD_CC_C03_PLC_C03_M01,MachineCoordination,,102,,M_RING,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,COORD_CC_C05_PLC_C05_M02,MachineCoordination,,109,,M_RING,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,,65,,M_REDSTAR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,,67,,M_REDSTAR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,COORD_CC_C05_PLC_C05_M02,MachineCoordination,,109,,M_REDSTAR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,5,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,IC_PREV_CC_C03,InterCellPrevious,,130,,M_REDSTAR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,,65,,M_REDSTAR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,,67,,M_REDSTAR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,COORD_CC_C03_PLC_C03_M01,MachineCoordination,,102,,M_REDSTAR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
