HNF_busy_ns,HNF_busy_share_of_scheduled,HNF_distinct_flow_count,backend,egress_destination,egress_source,physical_link_id,scenario,scheduled_busy_fraction_of_8ms,scheduled_busy_ns,scheduled_distinct_flow_count,scope
0,0.0,0,H2S,A1_C01_M01,SW_C01_M01_ACT,a_A1_C01_M01_SW_C01_M01_ACT,M_RING,0.0022,17600,1,SCHEDULED_SLOTS_ONLY; ZERO_SCHEDULED_HNF_FLOWS_HAVE_NO_SLOT_OCCUPANCY
0,0.0,0,H2S,A1_C01_M02,SW_C01_M02_ACT,a_A1_C01_M02_SW_C01_M02_ACT,M_RING,0.0022,17600,1,SCHEDULED_SLOTS_ONLY; ZERO_SCHEDULED_HNF_FLOWS_HAVE_NO_SLOT_OCCUPANCY
0,0.0,0,H2S,A1_C01_M03,SW_C01_M03_ACT,a_A1_C01_M03_SW_C01_M03_ACT,M_RING,0.0022,17600,1,SCHEDULED_SLOTS_ONLY; ZERO_SCHEDULED_HNF_FLOWS_HAVE_NO_SLOT_OCCUPANCY
0,0.0,0,H2S,A1_C02_M01,SW_C02_M01_ACT,a_A1_C02_M01_SW_C02_M01_ACT,M_RING,0.0022,17600,1,SCHEDULED_SLOTS_ONLY; ZERO_SCHEDULED_HNF_FLOWS_HAVE_NO_SLOT_OCCUPANCY
0,0.0,0,H2S,A1_C02_M02,SW_C02_M02_ACT,a_A1_C02_M02_SW_C02_M02_ACT,M_RING,0.0022,17600,1,SCHEDULED_SLOTS_ONLY; ZERO_SCHEDULED_HNF_FLOWS_HAVE_NO_SLOT_OCCUPANCY
0,0.0,0,H2S,A1_C02_M03,SW_C02_M03_ACT,a_A1_C02_M03_SW_C02_M03_ACT,M_RING,0.0022,17600,1,SCHEDULED_SLOTS_ONLY; ZERO_SCHEDULED_HNF_FLOWS_HAVE_NO_SLOT_OCCUPANCY
0,0.0,0,H2S,A1_C03_M01,SW_C03_M01_ACT,a_A1_C03_M01_SW_C03_M01_ACT,M_RING,0.0022,17600,1,SCHEDULED_SLOTS_ONLY; ZERO_SCHEDULED_HNF_FLOWS_HAVE_NO_SLOT_OCCUPANCY
0,0.0,0,H2S,A1_C03_M02,SW_C03_M02_ACT,a_A1_C03_M02_SW_C03_M02_ACT,M_RING,0.0022,17600,1,SCHEDULED_SLOTS_ONLY; ZERO_SCHEDULED_HNF_FLOWS_HAVE_NO_SLOT_OCCUPANCY
0,0.0,0,H2S,A1_C03_M03,SW_C03_M03_ACT,a_A1_C03_M03_SW_C03_M03_ACT,M_RING,0.0022,17600,1,SCHEDULED_SLOTS_ONLY; ZERO_SCHEDULED_HNF_FLOWS_HAVE_NO_SLOT_OCCUPANCY
0,0.0,0,H2S,A1_C04_M01,SW_C04_M01_ACT,a_A1_C04_M01_SW_C04_M01_ACT,M_RING,0.0022,17600,1,SCHEDULED_SLOTS_ONLY; ZERO_SCHEDULED_HNF_FLOWS_HAVE_NO_SLOT_OCCUPANCY
0,0.0,0,H2S,A1_C04_M02,SW_C04_M02_ACT,a_A1_C04_M02_SW_C04_M02_ACT,M_RING,0.0022,17600,1,SCHEDULED_SLOTS_ONLY; ZERO_SCHEDULED_HNF_FLOWS_HAVE_NO_SLOT_OCCUPANCY
