HNF_flows,backend,complete_instances,fully_scheduled,missing_instances,partial_instances,scale,scenario,scheduled_flow_count_upstream,topology,total_expected_instances,total_flows
4,H2S,3581,348,35,0,M,M_RING,348,RING,3616,352
4,CELF,3580,348,36,0,M,M_RING,348,RING,3616,352
4,H2S,3581,348,35,0,M,M_REDSTAR,348,REDSTAR,3616,352
4,CELF,3580,348,36,0,M,M_REDSTAR,348,REDSTAR,3616,352
4,H2S,3581,348,35,0,M,M_ROR,348,ROR,3616,352
4,CELF,3580,348,36,0,M,M_ROR,348,ROR,3616,352
14,H2S,9449,914,183,0,L,L_RING,914,RING,9632,928
14,CELF,9436,914,196,0,L,L_RING,914,RING,9632,928
14,H2S,9449,914,183,0,L,L_REDSTAR,914,REDSTAR,9632,928
14,CELF,9436,914,196,0,L,L_REDSTAR,914,REDSTAR,9632,928
14,H2S,9449,914,183,0,L,L_ROR,914,ROR,9632,928
14,CELF,9436,914,196,0,L,L_ROR,914,ROR,9632,928
