link,q_num,rate,t_proc,t_prop
"(0, 50)",8,1,0,0
"(50, 0)",8,1,0,0
"(1, 52)",8,1,0,0
"(52, 1)",8,1,0,0
"(2, 54)",8,1,0,0
"(54, 2)",8,1,0,0
"(3, 56)",8,1,0,0
"(56, 3)",8,1,0,0
"(4, 58)",8,1,0,0
"(58, 4)",8,1,0,0
"(5, 60)",8,1,0,0
"(60, 5)",8,1,0,0
"(6, 62)",8,1,0,0
"(62, 6)",8,1,0,0
"(7, 64)",8,1,0,0
"(64, 7)",8,1,0,0
"(8, 66)",8,1,0,0
"(66, 8)",8,1,0,0
"(9, 68)",8,1,0,0
"(68, 9)",8,1,0,0
"(10, 70)",8,1,0,0
"(70, 10)",8,1,0,0
"(11, 72)",8,1,0,0
"(72, 11)",8,1,0,0
"(12, 74)",8,1,0,0
"(74, 12)",8,1,0,0
"(13, 76)",8,1,0,0
"(76, 13)",8,1,0,0
"(14, 78)",8,1,0,0
"(78, 14)",8,1,0,0
"(15, 80)",8,1,0,0
"(80, 15)",8,1,0,0
"(16, 82)",8,1,0,0
"(82, 16)",8,1,0,0
"(17, 84)",8,1,0,0
"(84, 17)",8,1,0,0
"(18, 86)",8,1,0,0
"(86, 18)",8,1,0,0
"(19, 88)",8,1,0,0
"(88, 19)",8,1,0,0
"(20, 90)",8,1,0,0
"(90, 20)",8,1,0,0
"(21, 92)",8,1,0,0
"(92, 21)",8,1,0,0
"(22, 94)",8,1,0,0
"(94, 22)",8,1,0,0
"(23, 96)",8,1,0,0
"(96, 23)",8,1,0,0
"(24, 98)",8,1,0,0
"(98, 24)",8,1,0,0
"(25, 100)",8,1,0,0
"(100, 25)",8,1,0,0
"(26, 102)",8,1,0,0
"(102, 26)",8,1,0,0
"(27, 104)",8,1,0,0
"(104, 27)",8,1,0,0
"(28, 106)",8,1,0,0
"(106, 28)",8,1,0,0
"(29, 108)",8,1,0,0
"(108, 29)",8,1,0,0
"(30, 110)",8,1,0,0
"(110, 30)",8,1,0,0
"(31, 112)",8,1,0,0
"(112, 31)",8,1,0,0
"(32, 114)",8,1,0,0
"(114, 32)",8,1,0,0
"(33, 116)",8,1,0,0
"(116, 33)",8,1,0,0
"(34, 118)",8,1,0,0
"(118, 34)",8,1,0,0
"(35, 120)",8,1,0,0
"(120, 35)",8,1,0,0
"(36, 122)",8,1,0,0
"(122, 36)",8,1,0,0
"(37, 124)",8,1,0,0
"(124, 37)",8,1,0,0
"(38, 126)",8,1,0,0
"(126, 38)",8,1,0,0
"(39, 128)",8,1,0,0
"(128, 39)",8,1,0,0
"(40, 130)",8,1,0,0
"(130, 40)",8,1,0,0
"(41, 132)",8,1,0,0
"(132, 41)",8,1,0,0
"(42, 134)",8,1,0,0
"(134, 42)",8,1,0,0
"(43, 136)",8,1,0,0
"(136, 43)",8,1,0,0
"(44, 138)",8,1,0,0
"(138, 44)",8,1,0,0
"(45, 140)",8,1,0,0
"(140, 45)",8,1,0,0
"(46, 142)",8,1,0,0
"(142, 46)",8,1,0,0
"(47, 144)",8,1,0,0
"(144, 47)",8,1,0,0
"(48, 146)",8,1,0,0
"(146, 48)",8,1,0,0
"(49, 148)",8,1,0,0
"(148, 49)",8,1,0,0
"(50, 51)",8,1,0,0
"(51, 50)",8,1,0,0
"(50, 52)",8,1,0,0
"(52, 50)",8,1,0,0
"(50, 148)",8,1,0,0
"(148, 50)",8,1,0,0
"(50, 149)",8,1,0,0
"(149, 50)",8,1,0,0
"(51, 52)",8,1,0,0
"(52, 51)",8,1,0,0
"(51, 53)",8,1,0,0
"(53, 51)",8,1,0,0
"(51, 149)",8,1,0,0
"(149, 51)",8,1,0,0
"(52, 53)",8,1,0,0
"(53, 52)",8,1,0,0
"(52, 54)",8,1,0,0
"(54, 52)",8,1,0,0
"(53, 54)",8,1,0,0
"(54, 53)",8,1,0,0
"(53, 55)",8,1,0,0
"(55, 53)",8,1,0,0
"(54, 55)",8,1,0,0
"(55, 54)",8,1,0,0
"(54, 56)",8,1,0,0
"(56, 54)",8,1,0,0
"(55, 56)",8,1,0,0
"(56, 55)",8,1,0,0
"(55, 57)",8,1,0,0
"(57, 55)",8,1,0,0
"(56, 57)",8,1,0,0
"(57, 56)",8,1,0,0
"(56, 58)",8,1,0,0
"(58, 56)",8,1,0,0
"(57, 58)",8,1,0,0
"(58, 57)",8,1,0,0
"(57, 59)",8,1,0,0
"(59, 57)",8,1,0,0
"(58, 59)",8,1,0,0
"(59, 58)",8,1,0,0
"(58, 60)",8,1,0,0
"(60, 58)",8,1,0,0
"(59, 60)",8,1,0,0
"(60, 59)",8,1,0,0
"(59, 61)",8,1,0,0
"(61, 59)",8,1,0,0
"(60, 61)",8,1,0,0
"(61, 60)",8,1,0,0
"(60, 62)",8,1,0,0
"(62, 60)",8,1,0,0
"(61, 62)",8,1,0,0
"(62, 61)",8,1,0,0
"(61, 63)",8,1,0,0
"(63, 61)",8,1,0,0
"(62, 63)",8,1,0,0
"(63, 62)",8,1,0,0
"(62, 64)",8,1,0,0
"(64, 62)",8,1,0,0
"(63, 64)",8,1,0,0
"(64, 63)",8,1,0,0
"(63, 65)",8,1,0,0
"(65, 63)",8,1,0,0
"(64, 65)",8,1,0,0
"(65, 64)",8,1,0,0
"(64, 66)",8,1,0,0
"(66, 64)",8,1,0,0
"(65, 66)",8,1,0,0
"(66, 65)",8,1,0,0
"(65, 67)",8,1,0,0
"(67, 65)",8,1,0,0
"(66, 67)",8,1,0,0
"(67, 66)",8,1,0,0
"(66, 68)",8,1,0,0
"(68, 66)",8,1,0,0
"(67, 68)",8,1,0,0
"(68, 67)",8,1,0,0
"(67, 69)",8,1,0,0
"(69, 67)",8,1,0,0
"(68, 69)",8,1,0,0
"(69, 68)",8,1,0,0
"(68, 70)",8,1,0,0
"(70, 68)",8,1,0,0
"(69, 70)",8,1,0,0
"(70, 69)",8,1,0,0
"(69, 71)",8,1,0,0
"(71, 69)",8,1,0,0
"(70, 71)",8,1,0,0
"(71, 70)",8,1,0,0
"(70, 72)",8,1,0,0
"(72, 70)",8,1,0,0
"(71, 72)",8,1,0,0
"(72, 71)",8,1,0,0
"(71, 73)",8,1,0,0
"(73, 71)",8,1,0,0
"(72, 73)",8,1,0,0
"(73, 72)",8,1,0,0
"(72, 74)",8,1,0,0
"(74, 72)",8,1,0,0
"(73, 74)",8,1,0,0
"(74, 73)",8,1,0,0
"(73, 75)",8,1,0,0
"(75, 73)",8,1,0,0
"(74, 75)",8,1,0,0
"(75, 74)",8,1,0,0
"(74, 76)",8,1,0,0
"(76, 74)",8,1,0,0
"(75, 76)",8,1,0,0
"(76, 75)",8,1,0,0
"(75, 77)",8,1,0,0
"(77, 75)",8,1,0,0
"(76, 77)",8,1,0,0
"(77, 76)",8,1,0,0
"(76, 78)",8,1,0,0
"(78, 76)",8,1,0,0
"(77, 78)",8,1,0,0
"(78, 77)",8,1,0,0
"(77, 79)",8,1,0,0
"(79, 77)",8,1,0,0
"(78, 79)",8,1,0,0
"(79, 78)",8,1,0,0
"(78, 80)",8,1,0,0
"(80, 78)",8,1,0,0
"(79, 80)",8,1,0,0
"(80, 79)",8,1,0,0
"(79, 81)",8,1,0,0
"(81, 79)",8,1,0,0
"(80, 81)",8,1,0,0
"(81, 80)",8,1,0,0
"(80, 82)",8,1,0,0
"(82, 80)",8,1,0,0
"(81, 82)",8,1,0,0
"(82, 81)",8,1,0,0
"(81, 83)",8,1,0,0
"(83, 81)",8,1,0,0
"(82, 83)",8,1,0,0
"(83, 82)",8,1,0,0
"(82, 84)",8,1,0,0
"(84, 82)",8,1,0,0
"(83, 84)",8,1,0,0
"(84, 83)",8,1,0,0
"(83, 85)",8,1,0,0
"(85, 83)",8,1,0,0
"(84, 85)",8,1,0,0
"(85, 84)",8,1,0,0
"(84, 86)",8,1,0,0
"(86, 84)",8,1,0,0
"(85, 86)",8,1,0,0
"(86, 85)",8,1,0,0
"(85, 87)",8,1,0,0
"(87, 85)",8,1,0,0
"(86, 87)",8,1,0,0
"(87, 86)",8,1,0,0
"(86, 88)",8,1,0,0
"(88, 86)",8,1,0,0
"(87, 88)",8,1,0,0
"(88, 87)",8,1,0,0
"(87, 89)",8,1,0,0
"(89, 87)",8,1,0,0
"(88, 89)",8,1,0,0
"(89, 88)",8,1,0,0
"(88, 90)",8,1,0,0
"(90, 88)",8,1,0,0
"(89, 90)",8,1,0,0
"(90, 89)",8,1,0,0
"(89, 91)",8,1,0,0
"(91, 89)",8,1,0,0
"(90, 91)",8,1,0,0
"(91, 90)",8,1,0,0
"(90, 92)",8,1,0,0
"(92, 90)",8,1,0,0
"(91, 92)",8,1,0,0
"(92, 91)",8,1,0,0
"(91, 93)",8,1,0,0
"(93, 91)",8,1,0,0
"(92, 93)",8,1,0,0
"(93, 92)",8,1,0,0
"(92, 94)",8,1,0,0
"(94, 92)",8,1,0,0
"(93, 94)",8,1,0,0
"(94, 93)",8,1,0,0
"(93, 95)",8,1,0,0
"(95, 93)",8,1,0,0
"(94, 95)",8,1,0,0
"(95, 94)",8,1,0,0
"(94, 96)",8,1,0,0
"(96, 94)",8,1,0,0
"(95, 96)",8,1,0,0
"(96, 95)",8,1,0,0
"(95, 97)",8,1,0,0
"(97, 95)",8,1,0,0
"(96, 97)",8,1,0,0
"(97, 96)",8,1,0,0
