P0_hash,avg_switch_degree,candidate_fault_count,constraints,conversion_ms,end_systems,internal_links,model_build_ms,nonoverlap_constraints,peak_memory,profile_bytes,route_space_build_ms,scenario,semantic_valid,solver_ms,status,switches,total_backend_ms,total_nodes,tt_flows,vars
,4.0,0,1653600,1.502539,20,60,11730.952226,1545200,5882614226,0,2.334,S1,False,28198.652838,MEMORY_LIMIT,30,39987.113246,50,100,804200
,4.0,0,7900000,2.519275,40,120,59267.904788,7463200,8193103632,0,8.941563,S2,False,,MEMORY_LIMIT,60,59307.500845,100,200,3858800
,4.0,0,8235000,4.875921,50,200,62648.30746,6543000,8194086224,0,27.351875,S3,False,,MEMORY_LIMIT,100,62714.2017,150,500,3769500
,4.0,0,8490000,6.364895,80,340,62630.787345,5648000,8194840624,0,46.897008,S4,False,,MEMORY_LIMIT,170,62718.51497,250,500,3662000
,4.0,0,9130000,9.792758,80,340,60713.055586,3446000,8193486864,0,88.378774,S5,False,,MEMORY_LIMIT,170,60849.949137,250,1000,3399000
,4.0,0,9405000,11.76101,160,680,57704.538269,0,8194381440,0,194.442111,S6,False,,MEMORY_LIMIT,340,57955.125913,500,1000,3356000
,4.0,0,3105000,17.905142,160,680,35002.055672,0,8192833240,0,404.827356,S7,False,,MEMORY_LIMIT,340,35488.104035,500,2000,6712000
,4.0,0,0,22.18336,320,1360,25849.522698,0,8193431640,0,860.328908,S8,False,,MEMORY_LIMIT,680,26793.823084,1000,2000,8260000
,4.0,0,5249000,2.354498,50,200,38404.491671,4910600,12804513548,0,7.503909,F150_TT100,False,8282.041488,MEMORY_LIMIT,100,46782.844156,150,100,2554900
,4.0,0,7990000,3.304236,50,200,60877.771913,7144000,8192341952,0,14.759018,F150_TT250,False,,MEMORY_LIMIT,100,60929.27668,150,250,3821000
,4.0,0,8235000,4.71088,50,200,62031.665426,6543000,8194086224,0,27.44902,F150_TT500,False,,MEMORY_LIMIT,100,62102.769537,150,500,3769500
,4.0,0,8430000,7.535902,50,200,60734.900118,5892000,8195562144,0,39.849684,F150_TT750,False,,MEMORY_LIMIT,100,60814.436103,150,750,3693000
,4.0,0,8625000,8.695687,50,200,61028.395234,5241000,8197038064,0,54.264229,F150_TT1000,False,,MEMORY_LIMIT,100,61131.220441,150,1000,3616500
