idealized_makespan_ms,idealized_speedup,scenario,serial_work_ms,worker_count
0.0,0,S1,0,1
0.0,0,S1,0,2
0.0,0,S1,0,4
0.0,0,S1,0,8
0.0,0,S1,0,16
0.0,0,S1,0,32
0.0,0,S2,0,1
0.0,0,S2,0,2
0.0,0,S2,0,4
0.0,0,S2,0,8
0.0,0,S2,0,16
0.0,0,S2,0,32
0.0,0,S3,0,1
0.0,0,S3,0,2
0.0,0,S3,0,4
0.0,0,S3,0,8
0.0,0,S3,0,16
0.0,0,S3,0,32
0.0,0,S4,0,1
0.0,0,S4,0,2
0.0,0,S4,0,4
0.0,0,S4,0,8
0.0,0,S4,0,16
0.0,0,S4,0,32
0.0,0,S5,0,1
0.0,0,S5,0,2
0.0,0,S5,0,4
0.0,0,S5,0,8
0.0,0,S5,0,16
0.0,0,S5,0,32
0.0,0,S6,0,1
0.0,0,S6,0,2
0.0,0,S6,0,4
0.0,0,S6,0,8
0.0,0,S6,0,16
0.0,0,S6,0,32
0.0,0,S7,0,1
0.0,0,S7,0,2
0.0,0,S7,0,4
0.0,0,S7,0,8
0.0,0,S7,0,16
0.0,0,S7,0,32
0.0,0,S8,0,1
0.0,0,S8,0,2
0.0,0,S8,0,4
0.0,0,S8,0,8
0.0,0,S8,0,16
0.0,0,S8,0,32
0.0,0,F150_TT100,0,1
0.0,0,F150_TT100,0,2
0.0,0,F150_TT100,0,4
0.0,0,F150_TT100,0,8
0.0,0,F150_TT100,0,16
0.0,0,F150_TT100,0,32
0.0,0,F150_TT250,0,1
0.0,0,F150_TT250,0,2
0.0,0,F150_TT250,0,4
0.0,0,F150_TT250,0,8
0.0,0,F150_TT250,0,16
0.0,0,F150_TT250,0,32
0.0,0,F150_TT500,0,1
0.0,0,F150_TT500,0,2
0.0,0,F150_TT500,0,4
0.0,0,F150_TT500,0,8
0.0,0,F150_TT500,0,16
0.0,0,F150_TT500,0,32
0.0,0,F150_TT750,0,1
0.0,0,F150_TT750,0,2
0.0,0,F150_TT750,0,4
0.0,0,F150_TT750,0,8
0.0,0,F150_TT750,0,16
0.0,0,F150_TT750,0,32
0.0,0,F150_TT1000,0,1
0.0,0,F150_TT1000,0,2
0.0,0,F150_TT1000,0,4
0.0,0,F150_TT1000,0,8
0.0,0,F150_TT1000,0,16
0.0,0,F150_TT1000,0,32
