P0_plus_PF_ms,PF_backend_sum_ms,PF_solver_sum_ms,actual_serial_elapsed_ms,attempted_faults,campaign_mode,candidate_faults,compressed_profile_store_bytes,end_systems,errors,estimated_serial_pf_ms,estimated_timeout_capped_pf_ms,infeasible,max_fault_ms,max_peak_memory,mean_fault_ms,mean_peak_memory,median_fault_ms,memory_limits,p95_fault_ms,scenario,stop_reason,successful_profiles,switches,timeout_rate,timeouts,total_nodes,total_profile_store_bytes,tt_flows
39987.113246,0,0,128379.286129,0,FULL,0,0,20,0,,,0,0,5882614226,0,5882614226,0,0,0.0,S1,P0_NOT_AVAILABLE,0,30,0.0,0,50,0,100
59307.500845,0,0,201886.581629,0,FULL,0,0,40,0,,,0,0,8193103632,0,8193103632,0,0,0.0,S2,P0_NOT_AVAILABLE,0,60,0.0,0,100,0,200
62714.2017,0,0,71354.263086,0,FULL,0,0,50,0,,,0,0,8194086224,0,8194086224,0,0,0.0,S3,P0_NOT_AVAILABLE,0,100,0.0,0,150,0,500
62718.51497,0,0,71718.676341,0,FULL,0,0,80,0,,,0,0,8194840624,0,8194840624,0,0,0.0,S4,P0_NOT_AVAILABLE,0,170,0.0,0,250,0,500
60849.949137,0,0,70465.978362,0,FULL,0,0,80,0,,,0,0,8193486864,0,8193486864,0,0,0.0,S5,P0_NOT_AVAILABLE,0,170,0.0,0,250,0,1000
57955.125913,0,0,68497.560637,0,FULL,0,0,160,0,,,0,0,8194381440,0,8194381440,0,0,0.0,S6,P0_NOT_AVAILABLE,0,340,0.0,0,500,0,1000
35488.104035,0,0,51325.781499,0,FULL,0,0,160,0,,,0,0,8192833240,0,8192833240,0,0,0.0,S7,P0_NOT_AVAILABLE,0,340,0.0,0,500,0,2000
26793.823084,0,0,43082.628928,0,FULL,0,0,320,0,,,0,0,8193431640,0,8193431640,0,0,0.0,S8,P0_NOT_AVAILABLE,0,680,0.0,0,1000,0,2000
46782.844156,0,0,59252.412647,0,FULL,0,0,50,0,,,0,0,12804513548,0,12804513548,0,0,0.0,F150_TT100,P0_NOT_AVAILABLE,0,100,0.0,0,150,0,100
60929.27668,0,0,69212.157307,0,FULL,0,0,50,0,,,0,0,8192341952,0,8192341952,0,0,0.0,F150_TT250,P0_NOT_AVAILABLE,0,100,0.0,0,150,0,250
62102.769537,0,0,70521.648803,0,FULL,0,0,50,0,,,0,0,8194086224,0,8194086224,0,0,0.0,F150_TT500,P0_NOT_AVAILABLE,0,100,0.0,0,150,0,500
60814.436103,0,0,69363.89547,0,FULL,0,0,50,0,,,0,0,8195562144,0,8195562144,0,0,0.0,F150_TT750,P0_NOT_AVAILABLE,0,100,0.0,0,150,0,750
61131.220441,0,0,69772.862483,0,FULL,0,0,50,0,,,0,0,8197038064,0,8197038064,0,0,0.0,F150_TT1000,P0_NOT_AVAILABLE,0,100,0.0,0,150,0,1000
