affected_flow_count,fault_count,group_id,route_all_equal,scenario,schedule_all_equal,semantic_all_equal,union_shared_profile_exists,unique_route_profiles,unique_schedule_profiles,unique_semantic_profiles
4,1,ASG_L_REDSTAR_0001,True,L_REDSTAR,True,True,True,1,1,1
8,2,ASG_L_REDSTAR_0002,True,L_REDSTAR,True,True,True,1,1,1
8,2,ASG_L_REDSTAR_0003,True,L_REDSTAR,True,True,True,1,1,1
6,1,ASG_L_REDSTAR_0004,True,L_REDSTAR,True,True,True,1,1,1
6,1,ASG_L_REDSTAR_0005,True,L_REDSTAR,True,True,True,1,1,1
8,2,ASG_L_REDSTAR_0006,True,L_REDSTAR,True,True,True,1,1,1
8,2,ASG_L_REDSTAR_0007,True,L_REDSTAR,True,True,True,1,1,1
6,1,ASG_L_REDSTAR_0008,True,L_REDSTAR,True,True,True,1,1,1
6,1,ASG_L_REDSTAR_0009,True,L_REDSTAR,True,True,True,1,1,1
11,1,ASG_L_REDSTAR_0010,True,L_REDSTAR,True,True,True,1,1,1
4,1,ASG_L_REDSTAR_0011,True,L_REDSTAR,True,True,True,1,1,1
4,1,ASG_L_REDSTAR_0012,True,L_REDSTAR,True,True,True,1,1,1
6,1,ASG_L_REDSTAR_0013,True,L_REDSTAR,True,True,True,1,1,1
8,2,ASG_L_REDSTAR_0014,True,L_REDSTAR,True,True,True,1,1,1
6,1,ASG_L_REDSTAR_0015,True,L_REDSTAR,True,True,True,1,1,1
6,1,ASG_L_REDSTAR_0016,True,L_REDSTAR,True,True,True,1,1,1
8,2,ASG_L_REDSTAR_0017,True,L_REDSTAR,True,True,True,1,1,1
8,2,ASG_L_REDSTAR_0018,True,L_REDSTAR,True,True,True,1,1,1
4,1,ASG_L_REDSTAR_0019,True,L_REDSTAR,True,True,True,1,1,1
4,1,ASG_L_REDSTAR_0020,True,L_REDSTAR,True,True,True,1,1,1
8,2,ASG_L_REDSTAR_0021,True,L_REDSTAR,True,True,True,1,1,1
8,2,ASG_L_REDSTAR_0022,True,L_REDSTAR,True,True,True,1,1,1
8,2,ASG_L_REDSTAR_0023,True,L_REDSTAR,True,True,True,1,1,1
6,1,ASG_L_REDSTAR_0024,True,L_REDSTAR,True,True,True,1,1,1
4,1,ASG_L_REDSTAR_0025,True,L_REDSTAR,True,True,True,1,1,1
8,2,ASG_L_REDSTAR_0026,True,L_REDSTAR,True,True,True,1,1,1
4,1,ASG_L_REDSTAR_0027,True,L_REDSTAR,True,True,True,1,1,1
8,2,ASG_L_REDSTAR_0028,True,L_REDSTAR,True,True,True,1,1,1
2,1,ASG_L_REDSTAR_0029,True,L_REDSTAR,True,True,True,1,1,1
6,1,ASG_L_REDSTAR_0030,True,L_REDSTAR,True,True,True,1,1,1
4,1,ASG_L_REDSTAR_0031,True,L_REDSTAR,True,True,True,1,1,1
6,1,ASG_L_REDSTAR_0032,True,L_REDSTAR,True,True,True,1,1,1
8,2,ASG_L_REDSTAR_0033,True,L_REDSTAR,True,True,True,1,1,1
