affected_set_sha,fault_id,group_id,scenario
02250300fcecdaef088be80b6328d73844cd29f74aca4095c300d1869a8ca966,l_SW_C05_M02_CTRL_SW_C05_M02_SENS,ASG_M_RING_0001,M_RING
044342199292ec5db1e24060414c143e42cb44c22d6c8d1c9fc72086553ee739,l_SW_C01_M02_SENS_SW_C01_M03_ACT,ASG_M_RING_0002,M_RING
04ad42f83bfdffbeecaac8d368f3a1122e774001f3088bccc2b4be5e818e2971,l_SW_C01_M02_ACT_SW_C01_M02_CTRL,ASG_M_RING_0003,M_RING
098363abc087e13e1613b8690e75de37b05f6a127964cfbecb7d6ca338d6ec11,l_SW_C08_CC_SW_C08_M01_ACT,ASG_M_RING_0004,M_RING
0aa1d2350fb36d2204fa3fef4a2847fa18399d7250ebabbad6d7d75219540dba,l_SW_C05_M01_ACT_SW_C05_M01_CTRL,ASG_M_RING_0005,M_RING
201eaca696d0b117ae7910f2a12039184b55d99e07cf6211032e9c27f83b1e2b,l_SW_C06_M02_ACT_SW_C06_M02_CTRL,ASG_M_RING_0006,M_RING
223b8fb4be8c3ed029d71aa94941d12548506adefeb3b60e7b6e9d9faa9de544,l_SW_C02_M01_SENS_SW_C02_M02_ACT,ASG_M_RING_0007,M_RING
2428924bc4a8a19e39ae3ac629ab54dc5af3272e19797e02f09d0068a77bf8a9,l_SW_C05_M03_CTRL_SW_C05_M03_SENS,ASG_M_RING_0008,M_RING
25363b159ae8fec0bf4bcd9efb2d95c6bd09eb58ad9ed1f8e82f943fcb4588ca,l_SW_C02_M03_ACT_SW_C02_M03_CTRL,ASG_M_RING_0009,M_RING
28612d107ac26f9c63114c230d42ecc523d7503b0565c7860834075137cf672b,l_SW_C06_CC_SW_C06_M01_ACT,ASG_M_RING_0010,M_RING
2a0d88fecfa812144c3446656f8c91b2b4183000169b86f1770675541dd87c17,l_SW_C04_M01_CTRL_SW_C04_M01_SENS,ASG_M_RING_0011,M_RING
2f6b7dbc136f1029afce187108737edc8de82965769af51c4da0eb099fb5edd5,l_SW_C07_M02_CTRL_SW_C07_M02_SENS,ASG_M_RING_0012,M_RING
2f9b1cac2af40da01b3ce5d2d3e594ffe812461c9c81fedb36e9173c03287afa,l_SW_C05_M03_ACT_SW_C05_M03_CTRL,ASG_M_RING_0013,M_RING
37a150c3e19d957f28bb3b04e8276dca4d77f2a5d3aa965a75f3b3bfe5df5384,l_SW_C07_M03_SENS_SW_C08_CC,ASG_M_RING_0014,M_RING
40ede45dbb5b1fb6f9e7d17c22ed6a2933727bf37d528ddf4dd223a009f6e8de,l_SW_C05_M02_ACT_SW_C05_M02_CTRL,ASG_M_RING_0015,M_RING
471f39206d7019fe1e2b677baa16c8626836e0d25fe99a7a75815f420a6ae0fa,l_SW_C02_M02_SENS_SW_C02_M03_ACT,ASG_M_RING_0016,M_RING
491ac09da67e0c0a261ba213b9336ee1a83fb06373bf0bca9bbdb76447f0c4f1,l_SW_C05_M03_SENS_SW_C06_CC,ASG_M_RING_0017,M_RING
4b723c28554eec8a3e88f5b3fd8805d438021287eb01def04be104476cc7b1e3,l_SW_C01_M01_ACT_SW_C01_M01_CTRL,ASG_M_RING_0018,M_RING
4c2a1ca97c5bee5bc9cf036569272840afd9a200fd184ff4c541bef4e904e921,l_SW_C08_M03_ACT_SW_C08_M03_CTRL,ASG_M_RING_0019,M_RING
4cb20ace99748fa55a694a9bacc79ab6e1039a0b5db6fa3dcf15e11931b8de1d,l_SW_C07_CC_SW_C07_M01_ACT,ASG_M_RING_0020,M_RING
4f6a97c9dc508a4485ae192029ae279845256eb97d64da0eaa0e27dd71d297ad,l_SW_C05_M01_SENS_SW_C05_M02_ACT,ASG_M_RING_0021,M_RING
4fd2ad6b14507af7a1f3866b279414011eade205c6d7da331a34edc8d89401fb,l_SW_C08_M03_CTRL_SW_C08_M03_SENS,ASG_M_RING_0022,M_RING
50839c662f76cd9e9910de65585eaca65311e7bd4a70c54848b8c18583da24a2,l_SW_C06_M03_CTRL_SW_C06_M03_SENS,ASG_M_RING_0023,M_RING
53ccc6c993d5fbf36dd806815447959fd0d82b00fa0e8a5142b1d5daed0edd88,l_SW_C01_M01_CTRL_SW_C01_M01_SENS,ASG_M_RING_0024,M_RING
5434f9720493953255c50caf10be56a31087770f3ce3778109ee43368b43ea08,l_SW_C06_M01_CTRL_SW_C06_M01_SENS,ASG_M_RING_0025,M_RING
5dbf872de37512fa240a873ba0e0dcdf03b5e2dbda40bcac98c431f17a0e6e75,l_SW_C03_M01_ACT_SW_C03_M01_CTRL,ASG_M_RING_0026,M_RING
62f925d7309d04c4b66269ab44c9dd648987f4c8940b95b9c0d72377165d1e2e,l_SW_C01_CC_SW_C08_M03_SENS,ASG_M_RING_0027,M_RING
67242918b727d708412a09fabda8b983c6df732757a7ae48d930786a306c2d8a,l_SW_C03_M02_SENS_SW_C03_M03_ACT,ASG_M_RING_0028,M_RING
69a4246ac14070589a09bc352e3cd6c99c4db7a59262ac10dd9498454626e1c0,l_SW_C02_M03_CTRL_SW_C02_M03_SENS,ASG_M_RING_0029,M_RING
69b26ffc2ddcd70612139fec53b170d19b0099872e7432b6730687add55546e4,l_SW_C01_M03_CTRL_SW_C01_M03_SENS,ASG_M_RING_0030,M_RING
6a6454651c0d2e790516888f5ef91e700d92afc13042357e2cd609c9eb7effdc,l_SW_C02_M01_ACT_SW_C02_M01_CTRL,ASG_M_RING_0031,M_RING
6f1bbbeb81bce3e8571093704c45680e10f80fbee456537d5be8a6ffcefc80a0,l_SW_C08_M02_ACT_SW_C08_M02_CTRL,ASG_M_RING_0032,M_RING
7005b61ccde5b2becc79aa30c0f5f263b48e0e95c3e0d0b3176f8dfa092d2981,l_SW_C03_CC_SW_C03_M01_ACT,ASG_M_RING_0033,M_RING
7036f18482b5cfdfb94e0a5e5970ddf3da5cc1b8a37f15124747b497ca74589c,l_SW_C07_M03_CTRL_SW_C07_M03_SENS,ASG_M_RING_0034,M_RING
7181f4a2ef4bcc50a1baaa84308bd9376170676a6a6223099ae17af3bbf6249f,l_SW_C06_M03_ACT_SW_C06_M03_CTRL,ASG_M_RING_0035,M_RING
72f33efe096816ff0b3480a4564a96b557e13a8412b9fa942acdd68870aa75ea,l_SW_C07_M02_SENS_SW_C07_M03_ACT,ASG_M_RING_0036,M_RING
7767ac429e27c27fa9ec4933bba77e4c40a491acc4557e4bd6845ce3a3dae8f3,l_SW_C08_M02_SENS_SW_C08_M03_ACT,ASG_M_RING_0037,M_RING
79422d5d9f06a952149f80237a4b79685e133528bdfa14a02ac0d182a203b933,l_SW_C04_M03_CTRL_SW_C04_M03_SENS,ASG_M_RING_0038,M_RING
7a2d5c8d050176407efed43d8112006ffee140b3ef998cb5f95111fbf5e6150c,l_SW_C04_M03_SENS_SW_C05_CC,ASG_M_RING_0039,M_RING
7bc9dabf6cff45ed595bc3914094e382619fade0aad53da5d37ff9539d13af93,l_SW_C07_M01_SENS_SW_C07_M02_ACT,ASG_M_RING_0040,M_RING
81a37b0fc8f9f66c974678d81dca35fda35e59b0bb1f4eef0f4b3ed77696a828,l_SW_C07_M02_ACT_SW_C07_M02_CTRL,ASG_M_RING_0041,M_RING
81f9bad541892799402b5f8e6496799a6c7e46bd843c4304c071798576c096eb,l_SW_C08_M01_SENS_SW_C08_M02_ACT,ASG_M_RING_0042,M_RING
85d9f96b253a340b93ce91f876f8895621b6391358403c6394a6f3e32631219b,l_SW_C02_M01_CTRL_SW_C02_M01_SENS,ASG_M_RING_0043,M_RING
8851d7af0a893c8ebf6d34d9532bca291bd269de9d56b0b4ee525ed3595d8f25,l_SW_C07_M01_CTRL_SW_C07_M01_SENS,ASG_M_RING_0044,M_RING
89d8ca18bd41c7ac22b7e7a0b3e4a979a63710b23b5fac26f24edb6e354a95f4,l_SW_C04_M01_SENS_SW_C04_M02_ACT,ASG_M_RING_0045,M_RING
8e8cc7b5e6b4192c32ad30ccb141a0996e03c72cdaf0d767e2baf99c7a937d17,l_SW_C08_M01_ACT_SW_C08_M01_CTRL,ASG_M_RING_0046,M_RING
