component,duplicate_count,duplicate_fraction,fault_count,largest_group,scenario,unique_hashes
SEMANTIC_FULL,0,0.0,80,1,M_RING,80
ROUTE_FORWARDING,0,0.0,80,1,M_RING,80
LOGICAL_ROUTE_ONLY,0,0.0,80,1,M_RING,80
SCHEDULE,0,0.0,80,1,M_RING,80
SEMANTIC_FULL,27,0.2109375,128,2,M_REDSTAR,101
ROUTE_FORWARDING,27,0.2109375,128,2,M_REDSTAR,101
LOGICAL_ROUTE_ONLY,27,0.2109375,128,2,M_REDSTAR,101
SCHEDULE,27,0.2109375,128,2,M_REDSTAR,101
SEMANTIC_FULL,0,0.0,110,1,M_ROR,110
ROUTE_FORWARDING,0,0.0,110,1,M_ROR,110
LOGICAL_ROUTE_ONLY,0,0.0,110,1,M_ROR,110
SCHEDULE,0,0.0,110,1,M_ROR,110
SEMANTIC_FULL,0,0.0,208,1,L_RING,208
ROUTE_FORWARDING,0,0.0,208,1,L_RING,208
LOGICAL_ROUTE_ONLY,0,0.0,208,1,L_RING,208
SCHEDULE,0,0.0,208,1,L_RING,208
SEMANTIC_FULL,64,0.20125786163522008,318,2,L_REDSTAR,254
ROUTE_FORWARDING,64,0.20125786163522008,318,2,L_REDSTAR,254
LOGICAL_ROUTE_ONLY,64,0.20125786163522008,318,2,L_REDSTAR,254
SCHEDULE,64,0.20125786163522008,318,2,L_REDSTAR,254
SEMANTIC_FULL,0,0.0,255,1,L_ROR,255
ROUTE_FORWARDING,0,0.0,255,1,L_ROR,255
LOGICAL_ROUTE_ONLY,0,0.0,255,1,L_ROR,255
SCHEDULE,0,0.0,255,1,L_ROR,255
