candidate_present,canonical_profile_sha256,fault_id,integrity_pass,profile_present,profile_ref,profile_sha_parity,scenario,scenario_local,semantic_bytes_parity,semantic_profile_hash,semantic_sha_parity,semantic_valid,success_h2s
True,018c56eb51b826abc41eaf95264c3ad168b64a10ade47d2534beb10a819b6f08,l_SW_C01_CC_SW_C01_M01_ACT,True,True,profiles/M_RING/l_SW_C01_CC_SW_C01_M01_ACT.json,True,M_RING,True,True,ece989be5abd7964e184f5225bcb271e6322ea521fddcce0928d660ec9343f34,True,True,True
True,dc14b0c34c65e5fd9a9fae2526e31c0357c8c161486cb9a768f12d20774cbfca,l_SW_C01_CC_SW_C08_M03_SENS,True,True,profiles/M_RING/l_SW_C01_CC_SW_C08_M03_SENS.json,True,M_RING,True,True,78db60a8447d437e129633a1c154ce6e5592ea67415756d326aa6bf9c669fd12,True,True,True
True,d9911c42e09093b46d920c923b3e8cb99308a0fb46c6b71d1295ccbd15055192,l_SW_C01_M01_ACT_SW_C01_M01_CTRL,True,True,profiles/M_RING/l_SW_C01_M01_ACT_SW_C01_M01_CTRL.json,True,M_RING,True,True,29a08fe5649c9a313c6ecf67bb029cd28a6b059d0b395e09b6c1f972594d169f,True,True,True
True,8b438499c843dce3b80ad9f408d7f0943a0f2391ee7b6aaf6742f3c80ebe0aeb,l_SW_C01_M01_CTRL_SW_C01_M01_SENS,True,True,profiles/M_RING/l_SW_C01_M01_CTRL_SW_C01_M01_SENS.json,True,M_RING,True,True,9e53f58052e3f5f5975a37232a2e0d5baf967277d5705bea80ef2fe304b482f0,True,True,True
True,69452c8e17afbd261c48780fc4c22447bc2cd50da143d8f29393a8646c22891d,l_SW_C01_M01_SENS_SW_C01_M02_ACT,True,True,profiles/M_RING/l_SW_C01_M01_SENS_SW_C01_M02_ACT.json,True,M_RING,True,True,cd7e1a6cbac460e3f12cd7f285f65be013fe6e65006a1af0f198bd722c671ea2,True,True,True
True,0349763b7595b5af1513d0e8139a0a9c17054c469a3afe6bec4db95cf03e59f9,l_SW_C01_M02_ACT_SW_C01_M02_CTRL,True,True,profiles/M_RING/l_SW_C01_M02_ACT_SW_C01_M02_CTRL.json,True,M_RING,True,True,3393cae7d4422ee872bdda7541a42809b56570a30b683f4f19414fb38cc2c8d7,True,True,True
True,ffd728936f121042e8cce82c433f0904f51769c2ba29e1e4cffc9c6059c6b82b,l_SW_C01_M02_CTRL_SW_C01_M02_SENS,True,True,profiles/M_RING/l_SW_C01_M02_CTRL_SW_C01_M02_SENS.json,True,M_RING,True,True,c8db92290d848890ddddb8b41c718edf7def649becd9878cce2645ecdf74c581,True,True,True
True,89c04f34303d782ed39e225bbf61fa7e99c787c740f5182a6f13b2a13a6fc80f,l_SW_C01_M02_SENS_SW_C01_M03_ACT,True,True,profiles/M_RING/l_SW_C01_M02_SENS_SW_C01_M03_ACT.json,True,M_RING,True,True,2e0e0640bdcec602ce7e0d35d3d28bb3df422bb7781934911c3d347a2475186f,True,True,True
True,58382197366d2d32d32b3e3ff14b33987efcebf943ee87fa6a86c0df082041dc,l_SW_C01_M03_ACT_SW_C01_M03_CTRL,True,True,profiles/M_RING/l_SW_C01_M03_ACT_SW_C01_M03_CTRL.json,True,M_RING,True,True,88658eb67b09e11cc38727125b84a513062b3323224992bbb00ea9774ffe30fc,True,True,True
True,28864e11710da3222631e285060f66a85dee4b3a1e53fac7f38e574871b8f1c3,l_SW_C01_M03_CTRL_SW_C01_M03_SENS,True,True,profiles/M_RING/l_SW_C01_M03_CTRL_SW_C01_M03_SENS.json,True,M_RING,True,True,ae04ee334c44ef717e9d2a866e37439b1fab087e9fc96316a62ba726cf2c6949,True,True,True
True,9139cc19246df06468c3b8cf5b598df9fa5b2fa69f5a131785904c0ac51db857,l_SW_C01_M03_SENS_SW_C02_CC,True,True,profiles/M_RING/l_SW_C01_M03_SENS_SW_C02_CC.json,True,M_RING,True,True,06bffdbcb93ba7f66f27418e6f605383232f4deeb4b08f57efa4c90793bdfac2,True,True,True
True,fcabf2a3ba4220acdfc376ce5d69a0293162cc137e32c96f36f1857c78c35c4c,l_SW_C02_CC_SW_C02_M01_ACT,True,True,profiles/M_RING/l_SW_C02_CC_SW_C02_M01_ACT.json,True,M_RING,True,True,3e67f409c21a3722cc2d3ff847b8ca426a6d5e8f6c0cf93b811fb771fc88219f,True,True,True
True,2e836c9b96fde6382b8fc302fd4a61507fa943a2650a01d96a2d8c8e3677d04c,l_SW_C02_M01_ACT_SW_C02_M01_CTRL,True,True,profiles/M_RING/l_SW_C02_M01_ACT_SW_C02_M01_CTRL.json,True,M_RING,True,True,5552a34cbf23ac8ef10679de1d602d2241d10f4a8d3904be303d87a1bc8d5b77,True,True,True
