fault_ids,profile_count,representative_fault,scenario,semantic_gzip_bytes,semantic_hash,semantic_payload_bytes
l_SW_C06_M03_SENS_SW_C07_CC,1,l_SW_C06_M03_SENS_SW_C07_CC,M_RING,101640,035a6ed4db210d80de17386e57106e7b2d104620b53d2db5f023c865865e2854,2239977
l_SW_C01_M03_SENS_SW_C02_CC,1,l_SW_C01_M03_SENS_SW_C02_CC,M_RING,101653,06bffdbcb93ba7f66f27418e6f605383232f4deeb4b08f57efa4c90793bdfac2,2240189
l_SW_C08_M01_ACT_SW_C08_M01_CTRL,1,l_SW_C08_M01_ACT_SW_C08_M01_CTRL,M_RING,178595,0cf3f23fbf5fb1bf89c81262aa04145c1ec108a2ff82f435f89aeb6e0c3c4743,3883545
l_SW_C08_M03_ACT_SW_C08_M03_CTRL,1,l_SW_C08_M03_ACT_SW_C08_M03_CTRL,M_RING,166237,12985d6da642e5e34bbfb7a58ddbc1d7d475085f5b80b5339917b768e74871e8,3648265
l_SW_C07_CC_SW_C07_M01_ACT,1,l_SW_C07_CC_SW_C07_M01_ACT,M_RING,119444,14b9274706f3ed3e1959cd059bb805175b50c498d485870c1a002efb435a7938,2576833
l_SW_C06_M02_SENS_SW_C06_M03_ACT,1,l_SW_C06_M02_SENS_SW_C06_M03_ACT,M_RING,108635,1d0fdd8ada1df65d24b3b7eb9d73feae5c5a7003fcf3ae50692b7b86e9cf8ad9,2342662
l_SW_C05_M01_ACT_SW_C05_M01_CTRL,1,l_SW_C05_M01_ACT_SW_C05_M01_CTRL,M_RING,178940,1f544cd976b79627bb5fd333aedb531400a7974f753d6a14fa41ba7f5cb4c007,3874893
l_SW_C05_M01_SENS_SW_C05_M02_ACT,1,l_SW_C05_M01_SENS_SW_C05_M02_ACT,M_RING,113868,2163d315ce7db35b62066aec238ae128b284fdadcc62cb0862142e7e22e74964,2454668
l_SW_C08_CC_SW_C08_M01_ACT,1,l_SW_C08_CC_SW_C08_M01_ACT,M_RING,119379,22388672cb6e4079050336ff6688b7f924f794962f36f32a956c5a57a0a83d4b,2577412
l_SW_C05_M02_ACT_SW_C05_M02_CTRL,1,l_SW_C05_M02_ACT_SW_C05_M02_CTRL,M_RING,173422,237c78e9799a8f51e3d63f5390e19cf481c9ab26035b812675dc9b6eaf80608b,3762573
l_SW_C08_M02_ACT_SW_C08_M02_CTRL,1,l_SW_C08_M02_ACT_SW_C08_M02_CTRL,M_RING,172762,274d86c94cc34b45bb7856e3101a152ca379fd88968658039062ade16d5b4c27,3761842
l_SW_C01_M01_ACT_SW_C01_M01_CTRL,1,l_SW_C01_M01_ACT_SW_C01_M01_CTRL,M_RING,177795,29a08fe5649c9a313c6ecf67bb029cd28a6b059d0b395e09b6c1f972594d169f,3882774
l_SW_C01_M02_SENS_SW_C01_M03_ACT,1,l_SW_C01_M02_SENS_SW_C01_M03_ACT,M_RING,108852,2e0e0640bdcec602ce7e0d35d3d28bb3df422bb7781934911c3d347a2475186f,2342838
l_SW_C07_M02_SENS_SW_C07_M03_ACT,1,l_SW_C07_M02_SENS_SW_C07_M03_ACT,M_RING,108500,2efa8acc2324013a0e40717a57eee9f5bc4faa13e41b291cc2210d526354b1fa,2342595
l_SW_C03_M03_CTRL_SW_C03_M03_SENS,1,l_SW_C03_M03_CTRL_SW_C03_M03_SENS,M_RING,180311,321dc423b7c93199aacb666584f04410c650024d750cc987408b9e328377129b,3794787
l_SW_C02_M02_CTRL_SW_C02_M02_SENS,1,l_SW_C02_M02_CTRL_SW_C02_M02_SENS,M_RING,186126,32ddcfb441914bffee62b4c64f958c62deb67b31a8d632f708149008330599c2,3894468
l_SW_C01_M02_ACT_SW_C01_M02_CTRL,1,l_SW_C01_M02_ACT_SW_C01_M02_CTRL,M_RING,171873,3393cae7d4422ee872bdda7541a42809b56570a30b683f4f19414fb38cc2c8d7,3757265
l_SW_C08_M02_CTRL_SW_C08_M02_SENS,1,l_SW_C08_M02_CTRL_SW_C08_M02_SENS,M_RING,186859,34f0bfc57b4aa684677facec36466011c6775e93a517a16e93828c5d140d49bf,3889370
l_SW_C03_CC_SW_C03_M01_ACT,1,l_SW_C03_CC_SW_C03_M01_ACT,M_RING,119725,350f3ef11ff00c9855d0fa08cf86924a1c4038c0f5a2f243f15f654de429bac1,2576651
l_SW_C04_M03_SENS_SW_C05_CC,1,l_SW_C04_M03_SENS_SW_C05_CC,M_RING,101659,36156020142a4f4f883fd4cfd1e78a18e73e73f7d883c11daea12bd784ee3202,2240368
l_SW_C02_M03_ACT_SW_C02_M03_CTRL,1,l_SW_C02_M03_ACT_SW_C02_M03_CTRL,M_RING,167224,37b4b3d69b32c513daea03f7bc9a82bed7562a7e156fc38cacd36735e349efcf,3650270
l_SW_C02_M02_SENS_SW_C02_M03_ACT,1,l_SW_C02_M02_SENS_SW_C02_M03_ACT,M_RING,108673,38539c5a529087d8f24514c293327983b2f17a5cd8698a2c99b822a02b20869d,2342189
l_SW_C03_M02_ACT_SW_C03_M02_CTRL,1,l_SW_C03_M02_ACT_SW_C03_M02_CTRL,M_RING,172718,39def5145213ec476e61815d7b604102063a770c3e4c777442e12755a16ddf08,3756530
l_SW_C02_M01_CTRL_SW_C02_M01_SENS,1,l_SW_C02_M01_CTRL_SW_C02_M01_SENS,M_RING,192866,3d011797cb2db32696739b8123284df3015c4c82fdf49a90c5b1e49081abb7ec,4015391
l_SW_C02_M03_SENS_SW_C03_CC,1,l_SW_C02_M03_SENS_SW_C03_CC,M_RING,101576,3db174b9cf8a957e0b165241842cbaac65db4f0446998c2c8a67a77f60702eb9,2239900
l_SW_C02_CC_SW_C02_M01_ACT,1,l_SW_C02_CC_SW_C02_M01_ACT,M_RING,119512,3e67f409c21a3722cc2d3ff847b8ca426a6d5e8f6c0cf93b811fb771fc88219f,2574446
l_SW_C05_M03_ACT_SW_C05_M03_CTRL,1,l_SW_C05_M03_ACT_SW_C05_M03_CTRL,M_RING,168238,41f65c5cb0fba42f6ccad15defcda3aca5b9f5212c4cbf9d6e4d37f61c0f3381,3647536
l_SW_C04_M02_ACT_SW_C04_M02_CTRL,1,l_SW_C04_M02_ACT_SW_C04_M02_CTRL,M_RING,173082,46f98e6ece5e01ccf922d4cb8769226d34e925fb345f3a4722c5be5a3657dd01,3760034
l_SW_C06_M02_CTRL_SW_C06_M02_SENS,1,l_SW_C06_M02_CTRL_SW_C06_M02_SENS,M_RING,186476,480a1ba1d00e3c9f087d1cf3487eb785fed8d5d61cf457b48d5b673f533e0c42,3863371
l_SW_C04_CC_SW_C04_M01_ACT,1,l_SW_C04_CC_SW_C04_M01_ACT,M_RING,119489,4fb9bf1ddf8913be3cf006c6c8adeaa3e415e126eff835622cb3d4c525e7b9b6,2577194
l_SW_C02_M01_ACT_SW_C02_M01_CTRL,1,l_SW_C02_M01_ACT_SW_C02_M01_CTRL,M_RING,177627,5552a34cbf23ac8ef10679de1d602d2241d10f4a8d3904be303d87a1bc8d5b77,3876988
l_SW_C07_M01_SENS_SW_C07_M02_ACT,1,l_SW_C07_M01_SENS_SW_C07_M02_ACT,M_RING,113666,557d3a386dce6f47906da1d924c68b53ffc1c7dc88a4972c1b764f65a962a655,2454901
l_SW_C07_M03_ACT_SW_C07_M03_CTRL,1,l_SW_C07_M03_ACT_SW_C07_M03_CTRL,M_RING,167403,5784a8aeaaa777810fc8f36720f7e21625e13c0fbd8a86300fc6cfd329eae1ed,3647500
l_SW_C08_M01_CTRL_SW_C08_M01_SENS,1,l_SW_C08_M01_CTRL_SW_C08_M01_SENS,M_RING,192637,62cc09be769037425307088744a932c2330a5965514346afe50d2bb930816435,3999828
l_SW_C05_M02_SENS_SW_C05_M03_ACT,1,l_SW_C05_M02_SENS_SW_C05_M03_ACT,M_RING,108675,63e4c101d5e08b6b8a0f43ad9861f1cc6cb5a05708cf04518cba0d44048315a3,2341994
l_SW_C03_M02_SENS_SW_C03_M03_ACT,1,l_SW_C03_M02_SENS_SW_C03_M03_ACT,M_RING,108624,71dd395066db940c26ca5b6ee133de6b4ee16459030be9b1e14fed1ba48f76cb,2342749
l_SW_C05_CC_SW_C05_M01_ACT,1,l_SW_C05_CC_SW_C05_M01_ACT,M_RING,119556,74abce4eef2c5cfb36ad49158387bfb72ea92e5dd2492b89992bb2d552028f7f,2571823
l_SW_C04_M03_CTRL_SW_C04_M03_SENS,1,l_SW_C04_M03_CTRL_SW_C04_M03_SENS,M_RING,179732,76f23ffedeeee65b293eb8f41acf9f2fe02a39ffb31e37a40f89f276d98ecc87,3796787
l_SW_C02_M01_SENS_SW_C02_M02_ACT,1,l_SW_C02_M01_SENS_SW_C02_M02_ACT,M_RING,113814,78581550c7a2b4d5541aa2b8439308a49ac82a29e172340c15a818684d1f08c5,2454499
l_SW_C01_CC_SW_C08_M03_SENS,1,l_SW_C01_CC_SW_C08_M03_SENS,M_RING,101537,78db60a8447d437e129633a1c154ce6e5592ea67415756d326aa6bf9c669fd12,2240315
l_SW_C06_M03_ACT_SW_C06_M03_CTRL,1,l_SW_C06_M03_ACT_SW_C06_M03_CTRL,M_RING,168097,7bf904111803a6862dc0df784b6aff9d499b0f91ec56feeba9d6621548936ea0,3646179
l_SW_C07_M01_CTRL_SW_C07_M01_SENS,1,l_SW_C07_M01_CTRL_SW_C07_M01_SENS,M_RING,192297,81c73d59ff04bc7589244c30ef7ab40865f3500daa5aa1f115f1647886e281a0,3994118
l_SW_C01_M03_ACT_SW_C01_M03_CTRL,1,l_SW_C01_M03_ACT_SW_C01_M03_CTRL,M_RING,166492,88658eb67b09e11cc38727125b84a513062b3323224992bbb00ea9774ffe30fc,3647901
l_SW_C03_M03_ACT_SW_C03_M03_CTRL,1,l_SW_C03_M03_ACT_SW_C03_M03_CTRL,M_RING,167533,92f72e6b958f6cb29778297083d8d76e9ec5b40038793f2b26998222d45fa8ef,3641960
l_SW_C07_M02_ACT_SW_C07_M02_CTRL,1,l_SW_C07_M02_ACT_SW_C07_M02_CTRL,M_RING,172745,9db04009d5bf4432031df0a867bfaca3d42653b79347f42bb38b4793a00ad625,3759683
l_SW_C01_M01_CTRL_SW_C01_M01_SENS,1,l_SW_C01_M01_CTRL_SW_C01_M01_SENS,M_RING,192294,9e53f58052e3f5f5975a37232a2e0d5baf967277d5705bea80ef2fe304b482f0,4013077
l_SW_C05_M03_CTRL_SW_C05_M03_SENS,1,l_SW_C05_M03_CTRL_SW_C05_M03_SENS,M_RING,180435,a0275ff38da6166959b1a5d8597e0d284ed4b4166da60be48817b5642e4e68dd,3798764
l_SW_C07_M01_ACT_SW_C07_M01_CTRL,1,l_SW_C07_M01_ACT_SW_C07_M01_CTRL,M_RING,178717,a157ca858ada91898989b7d777722b39ba3082f2a49f91553278cce90aa261be,3883592
l_SW_C07_M02_CTRL_SW_C07_M02_SENS,1,l_SW_C07_M02_CTRL_SW_C07_M02_SENS,M_RING,187191,aa61257f25954373799520a44f3960f15a5840c5baace58d3101ded5c84cf1e2,3860429
l_SW_C01_M03_CTRL_SW_C01_M03_SENS,1,l_SW_C01_M03_CTRL_SW_C01_M03_SENS,M_RING,180319,ae04ee334c44ef717e9d2a866e37439b1fab087e9fc96316a62ba726cf2c6949,3799873
l_SW_C06_M01_CTRL_SW_C06_M01_SENS,1,l_SW_C06_M01_CTRL_SW_C06_M01_SENS,M_RING,193174,b37ecf27c9a1cfb22c5bbff302c02747fd7f20a6a96ecd12a6df6ed40111d2ce,4004844
