baseline_payload_gzip_bytes,baseline_payload_raw_bytes,baseline_profile_count,gzip_payload_plus_index,gzip_reduction_fraction,index_bytes,mapping_entries,payload_gzip_bytes,payload_raw_bytes,raw_reduction_fraction,scenario,scheme,stored_payload_count,total_raw_plus_index
12172832,260598448,80,12183365,-0.0008652875518202485,10533,80,12172832,260598448,-4.041850625302601e-05,M_RING,EXACT_HASH_DEDUP,80,260608981
12172832,260598448,80,12181954,-0.0007493736872405954,9122,80,12172832,260598448,-3.500404576461946e-05,M_RING,AFFECTED_GROUP_REUSE,80,260607570
12172832,260598448,80,12181951,-0.0007491272367843305,9119,80,12172832,260598448,-3.499253380057077e-05,M_RING,EX_POST_SET_COVER,80,260607567
15277544,373014111,128,12070763,0.2099016046034624,16672,128,12054091,294340320,0.21086901723136153,M_REDSTAR,EXACT_HASH_DEDUP,101,294356992
15277544,373014111,128,11471640,0.24911752831476053,14229,128,11457411,279766079,0.24994712063319235,M_REDSTAR,AFFECTED_GROUP_REUSE,96,279780308
15277544,373014111,128,7652985,0.49906968030987175,14186,128,7638799,186494748,0.499994963997488,M_REDSTAR,EX_POST_SET_COVER,64,186508934
10550467,239123604,110,10564717,-0.0013506511133583032,14250,110,10550467,239123604,-5.9592611359349235e-05,M_ROR,EXACT_HASH_DEDUP,110,239137854
10550467,239123604,110,10469757,0.007649898340992833,12117,110,10457640,237015714,0.008764391992017617,M_ROR,AFFECTED_GROUP_REUSE,109,237027831
10550467,239123604,110,8520748,0.19238191067750843,12044,110,8508704,192759951,0.19383953831676104,M_ROR,EX_POST_SET_COVER,88,192771995
113423048,1884621687,208,113450301,-0.00024027744343468882,27253,208,113423048,1884621687,-1.4460727151721642e-05,L_RING,EXACT_HASH_DEDUP,208,1884648940
113423048,1884621687,208,113446666,-0.0002082292833462951,23618,208,113423048,1884621687,-1.253195809169938e-05,L_RING,AFFECTED_GROUP_REUSE,208,1884645305
113423048,1884621687,208,113446663,-0.00020820283369560322,23615,208,113423048,1884621687,-1.2530366260143921e-05,L_RING,EX_POST_SET_COVER,208,1884645302
99198656,2459412737,318,79273658,0.20085955600043615,41272,318,79232386,1964471609,0.20122684108877165,L_REDSTAR,EXACT_HASH_DEDUP,254,1964512881
99198656,2459412737,318,74589609,0.24807843162713816,35253,318,74554356,1848461236,0.2483992372688114,L_REDSTAR,AFFECTED_GROUP_REUSE,239,1848496489
99198656,2459412737,318,49635634,0.4996340071381612,35198,318,49600436,1229682457,0.49999541089633703,L_REDSTAR,EX_POST_SET_COVER,159,1229717655
62909781,1463006061,255,62942762,-0.0005242586999310017,32981,255,62909781,1463006061,-2.2543310570721786e-05,L_ROR,EXACT_HASH_DEDUP,255,1463039042
62909781,1463006061,255,62696181,0.003395338476857801,28119,255,62668062,1457376755,0.003828546681598488,L_ROR,AFFECTED_GROUP_REUSE,254,1457404874
62909781,1463006061,255,55445172,0.11865577786703785,28071,255,55417101,1288498825,0.11926072601554316,L_ROR,EX_POST_SET_COVER,224,1288526896
