affected_flow_count,affected_flow_ids,affected_flow_ratio,algorithm_used,all_flows_scheduled,candidate_rank,candidate_route_generation_ms,canonical_gzip_bytes,canonical_profile_bytes,celf_fallback_used,celf_wall_ms,conversion_ms,diagnostic,fault_id,h2s_wall_ms,heuristic_not_found,hnf_signature,input_semantics_pass,p0_reference_ms,peak_rss_bytes,pf_to_p0_ratio,primary_h2s_success,profile_normalization_ms,profile_ref,profile_sha256,project_static_checker_pass,repeat,requested_flow_count,route_hash,scale,scenario,schedule_hash,scheduled_flow_count,scheduled_flow_ratio,scheduling_ms,semantic_gzip_bytes,semantic_payload_bytes,semantic_profile_hash,semantic_valid,status,structural_no_route,topology,total_backend_ms,upstream_verifier_pass,verification_ms
8,COORD_CC_C01_PLC_C01_M01;COORD_CC_C01_PLC_C01_M02;COORD_CC_C01_PLC_C01_M03;IC_NEXT_CC_C01;IC_PREV_CC_C02;STAT_PLC_C01_M01;STAT_PLC_C01_M02;STAT_PLC_C01_M03,0.022727272727272728,H2S,True,1,26.623226,120118,2576243,False,0.0,7.271729,,l_SW_C01_CC_SW_C01_M01_ACT,123.934563,False,ba8b68000c3fdced0ab4368572c055793dbf1c035e605df503bcf0b8337e5c67,True,212.00942600000002,21430272,1.7946770725184642,True,58.595849,profiles/M_RING/l_SW_C01_CC_SW_C01_M01_ACT.json,018c56eb51b826abc41eaf95264c3ad168b64a10ade47d2534beb10a819b6f08,True,1,352,8d8d30b2c62bf20cf70f85d3cca064a413a07ce4af67eb3dcf5aee222cf53093,M,M_RING,7275fb3104baa9a8321f71950347d8f8d83f2f3da0152697c586d9e63e145aee,352,1.0,97.311337,119841,2575744,ece989be5abd7964e184f5225bcb271e6322ea521fddcce0928d660ec9343f34,True,SUCCESS_H2S,False,RING,380.488456,True,147.162908
2,IC_NEXT_CC_C08;IC_PREV_CC_C01,0.005681818181818182,H2S,True,2,25.649498,101811,2240679,False,0.0,5.197254,,l_SW_C01_CC_SW_C08_M03_SENS,121.841571,False,ba8b68000c3fdced0ab4368572c055793dbf1c035e605df503bcf0b8337e5c67,True,212.00942600000002,19902464,1.5107028071478292,True,38.218243,profiles/M_RING/l_SW_C01_CC_SW_C08_M03_SENS.json,dc14b0c34c65e5fd9a9fae2526e31c0357c8c161486cb9a768f12d20774cbfca,True,1,352,a1edf688b7a98fa8c9db3ae0b884ca8346ca1d59fcefe99e4af16ac9fa74f334,M,M_RING,75c9e52cd891414feda3f5f1ff7403cf5a601e4cb53ba1298fe724fc1e64a489,352,1.0,96.192073,101537,2240315,78db60a8447d437e129633a1c154ce6e5592ea67415756d326aa6bf9c669fd12,True,SUCCESS_H2S,False,RING,320.283235,True,122.017155
12,CMD_PLC_C01_M01_A1_C01_M01;CMD_PLC_C01_M01_A2_C01_M01;CMD_PLC_C01_M01_A3_C01_M01;CMD_PLC_C01_M01_A4_C01_M01;COORD_CC_C01_PLC_C01_M01;COORD_CC_C01_PLC_C01_M02;COORD_CC_C01_PLC_C01_M03;IC_NEXT_CC_C01;IC_PREV_CC_C02;STAT_PLC_C01_M01;STAT_PLC_C01_M02;STAT_PLC_C01_M03,0.03409090909090909,H2S,True,3,26.850493999999998,178006,3883407,False,0.0,8.139224,,l_SW_C01_M01_ACT_SW_C01_M01_CTRL,129.808567,False,ba8b68000c3fdced0ab4368572c055793dbf1c035e605df503bcf0b8337e5c67,True,212.00942600000002,27054080,2.1905840356362267,True,84.944224,profiles/M_RING/l_SW_C01_M01_ACT_SW_C01_M01_CTRL.json,d9911c42e09093b46d920c923b3e8cb99308a0fb46c6b71d1295ccbd15055192,True,1,352,d8806b64556ce3e813401df90509f5447a5e0b2e1859758ee03413b5f536b8e1,M,M_RING,6404d76766e806a5d3c9acc7b534ab014bef029977669289fd0249191fa3d9d8,352,1.0,102.95807300000001,177795,3882774,29a08fe5649c9a313c6ecf67bb029cd28a6b059d0b395e09b6c1f972594d169f,True,SUCCESS_H2S,False,RING,464.424464,True,183.622122
14,COORD_CC_C01_PLC_C01_M02;COORD_CC_C01_PLC_C01_M03;IC_NEXT_CC_C01;IC_PREV_CC_C02;SC_S1_C01_M01;SC_S2_C01_M01;SC_S3_C01_M01;SC_S4_C01_M01;SF_S1_C01_M01;SF_S2_C01_M01;SF_S3_C01_M01;SF_S4_C01_M01;STAT_PLC_C01_M02;STAT_PLC_C01_M03,0.03977272727272727,H2S,True,4,27.050864,192673,4013679,False,0.0,5.328843,,l_SW_C01_M01_CTRL_SW_C01_M01_SENS,134.048902,False,ba8b68000c3fdced0ab4368572c055793dbf1c035e605df503bcf0b8337e5c67,True,212.00942600000002,28160000,2.0716122593530346,True,44.873043,profiles/M_RING/l_SW_C01_M01_CTRL_SW_C01_M01_SENS.json,8b438499c843dce3b80ad9f408d7f0943a0f2391ee7b6aaf6742f3c80ebe0aeb,True,1,352,7a1ad4c767da6a8fc4702d268012621e6e3ae94a1701e30ec6a50b35b36cc1e6,M,M_RING,fe498246e2f1b4599ea416a62666c68e1f3dbbd8c7edea490b0f07985314a62f,352,1.0,106.998038,192294,4013077,9e53f58052e3f5f5975a37232a2e0d5baf967277d5705bea80ef2fe304b482f0,True,SUCCESS_H2S,False,RING,439.201326,True,180.902819
6,COORD_CC_C01_PLC_C01_M02;COORD_CC_C01_PLC_C01_M03;IC_NEXT_CC_C01;IC_PREV_CC_C02;STAT_PLC_C01_M02;STAT_PLC_C01_M03,0.017045454545454544,H2S,True,5,25.714129,114345,2454090,False,0.0,4.140475,,l_SW_C01_M01_SENS_SW_C01_M02_ACT,112.465368,False,ba8b68000c3fdced0ab4368572c055793dbf1c035e605df503bcf0b8337e5c67,True,212.00942600000002,20766720,1.5309168470650922,True,42.876223,profiles/M_RING/l_SW_C01_M01_SENS_SW_C01_M02_ACT.json,69452c8e17afbd261c48780fc4c22447bc2cd50da143d8f29393a8646c22891d,True,1,352,16633f04c1ca767f0f4535fdd0e85272165febf71cd07eed7894652a286fdc52,M,M_RING,ae5779f8682ffefd75499c9256727dbb069a6949cc6eeec1ca2fec06c1a4f92a,352,1.0,86.751239,114060,2453619,cd7e1a6cbac460e3f12cd7f285f65be013fe6e65006a1af0f198bd722c671ea2,True,SUCCESS_H2S,False,RING,324.568802,True,122.405195
10,CMD_PLC_C01_M02_A1_C01_M02;CMD_PLC_C01_M02_A2_C01_M02;CMD_PLC_C01_M02_A3_C01_M02;CMD_PLC_C01_M02_A4_C01_M02;COORD_CC_C01_PLC_C01_M02;COORD_CC_C01_PLC_C01_M03;IC_NEXT_CC_C01;IC_PREV_CC_C02;STAT_PLC_C01_M02;STAT_PLC_C01_M03,0.028409090909090908,H2S,True,6,29.472533,172218,3757852,False,0.0,8.776951,,l_SW_C01_M02_ACT_SW_C01_M02_CTRL,141.466492,False,ba8b68000c3fdced0ab4368572c055793dbf1c035e605df503bcf0b8337e5c67,True,212.00942600000002,26550272,2.006455646929585,True,46.212367,profiles/M_RING/l_SW_C01_M02_ACT_SW_C01_M02_CTRL.json,0349763b7595b5af1513d0e8139a0a9c17054c469a3afe6bec4db95cf03e59f9,True,1,352,2cd33798448aa54cffbc2725e1a2d52a8da9f608d221ef6be0246aa4ed487786,M,M_RING,4eac103e886c9a4790597773bdcf1d28ea91643fb2d0e779da7205420262f7a8,352,1.0,111.99395899999999,171873,3757265,3393cae7d4422ee872bdda7541a42809b56570a30b683f4f19414fb38cc2c8d7,True,SUCCESS_H2S,False,RING,425.38751,True,168.995019
12,COORD_CC_C01_PLC_C01_M03;IC_NEXT_CC_C01;IC_PREV_CC_C02;SC_S1_C01_M02;SC_S2_C01_M02;SC_S3_C01_M02;SC_S4_C01_M02;SF_S1_C01_M02;SF_S2_C01_M02;SF_S3_C01_M02;SF_S4_C01_M02;STAT_PLC_C01_M03,0.03409090909090909,H2S,True,7,30.157283,186376,3887715,False,0.0,8.078902,,l_SW_C01_M02_CTRL_SW_C01_M02_SENS,139.949554,False,ba8b68000c3fdced0ab4368572c055793dbf1c035e605df503bcf0b8337e5c67,True,212.00942600000002,27656192,2.308224102262321,True,69.551511,profiles/M_RING/l_SW_C01_M02_CTRL_SW_C01_M02_SENS.json,ffd728936f121042e8cce82c433f0904f51769c2ba29e1e4cffc9c6059c6b82b,True,1,352,942489caffdf24b4c232bb2d74354471be54a5d6639131353532cdf5c7f3047a,M,M_RING,11e9ea61265765b7f7c26ae5457464ffefe443a4c5c6d9bcefcdafe1049f577c,352,1.0,109.792271,186074,3887159,c8db92290d848890ddddb8b41c718edf7def649becd9878cce2645ecdf74c581,True,SUCCESS_H2S,False,RING,489.365267,True,200.774605
4,COORD_CC_C01_PLC_C01_M03;IC_NEXT_CC_C01;IC_PREV_CC_C02;STAT_PLC_C01_M03,0.011363636363636364,H2S,True,8,26.218739000000003,109152,2343263,False,0.0,7.533859,,l_SW_C01_M02_SENS_SW_C01_M03_ACT,119.397753,False,ba8b68000c3fdced0ab4368572c055793dbf1c035e605df503bcf0b8337e5c67,True,212.00942600000002,20242432,1.6240395603919986,True,39.920695,profiles/M_RING/l_SW_C01_M02_SENS_SW_C01_M03_ACT.json,89c04f34303d782ed39e225bbf61fa7e99c787c740f5182a6f13b2a13a6fc80f,True,1,352,7d100fc47f643c96a7ab565d14b7aee0c5528e5a49a33a063e0ca463330a1150,M,M_RING,a0ed7f1a8f99257f3ec04c1eae2fb83dea16bf01dc2ed418aab999a424ac135a,352,1.0,93.179014,108852,2342838,2e0e0640bdcec602ce7e0d35d3d28bb3df422bb7781934911c3d347a2475186f,True,SUCCESS_H2S,False,RING,344.311695,True,126.627911
8,CMD_PLC_C01_M03_A1_C01_M03;CMD_PLC_C01_M03_A2_C01_M03;CMD_PLC_C01_M03_A3_C01_M03;CMD_PLC_C01_M03_A4_C01_M03;COORD_CC_C01_PLC_C01_M03;IC_NEXT_CC_C01;IC_PREV_CC_C02;STAT_PLC_C01_M03,0.022727272727272728,H2S,True,9,24.765264,166782,3648442,False,0.0,4.615013,,l_SW_C01_M03_ACT_SW_C01_M03_CTRL,118.366714,False,ba8b68000c3fdced0ab4368572c055793dbf1c035e605df503bcf0b8337e5c67,True,212.00942600000002,26382336,1.9938506083215375,True,80.359216,profiles/M_RING/l_SW_C01_M03_ACT_SW_C01_M03_CTRL.json,58382197366d2d32d32b3e3ff14b33987efcebf943ee87fa6a86c0df082041dc,True,1,352,822106da5dfefcf119ae196aca040ce9c5c130c8507d1f2060bfb79e7804a9bf,M,M_RING,29be850b12e9a8b870a7e31c8b595257ee15d8165dd1850e528f3976bfc951ce,352,1.0,93.60145,166492,3647901,88658eb67b09e11cc38727125b84a513062b3323224992bbb00ea9774ffe30fc,True,SUCCESS_H2S,False,RING,422.715123,True,161.490871
10,IC_NEXT_CC_C01;IC_PREV_CC_C02;SC_S1_C01_M03;SC_S2_C01_M03;SC_S3_C01_M03;SC_S4_C01_M03;SF_S1_C01_M03;SF_S2_C01_M03;SF_S3_C01_M03;SF_S4_C01_M03,0.028409090909090908,H2S,True,10,25.368564,180605,3800383,False,0.0,7.0708,,l_SW_C01_M03_CTRL_SW_C01_M03_SENS,134.382366,False,ba8b68000c3fdced0ab4368572c055793dbf1c035e605df503bcf0b8337e5c67,True,212.00942600000002,27373568,2.039698758488219,True,54.284939,profiles/M_RING/l_SW_C01_M03_CTRL_SW_C01_M03_SENS.json,28864e11710da3222631e285060f66a85dee4b3a1e53fac7f38e574871b8f1c3,True,1,352,dadf9e7f9127040449ea8ff9df1b9e963ffe160651c293024f7d7058074bf5f4,M,M_RING,660e61b5e73b83356486027908a88683247ffdbc4c9c1b761a9cdb72081d5d2a,352,1.0,109.013802,180319,3799873,ae04ee334c44ef717e9d2a866e37439b1fab087e9fc96316a62ba726cf2c6949,True,SUCCESS_H2S,False,RING,432.435363,True,174.409994
