affected_flow_count,algorithm_equal,baseline_status,fault_id,hnf_signature_equal,instance_checker_equal,profile_hash_equal,repeat_selector_rank,repeat_status,route_hash_equal,scenario,schedule_hash_equal,semantic_hash_equal,status_equal,verifier_equal
2,True,SUCCESS_H2S,l_SW_C01_CC_SW_C08_M03_SENS,NOT_APPLICABLE,True,True,1,SUCCESS_H2S,True,M_RING,True,True,True,True
6,True,SUCCESS_H2S,l_SW_C05_M01_SENS_SW_C05_M02_ACT,NOT_APPLICABLE,True,True,2,SUCCESS_H2S,True,M_RING,True,True,True,True
10,True,SUCCESS_H2S,l_SW_C01_M02_ACT_SW_C01_M02_CTRL,NOT_APPLICABLE,True,True,3,SUCCESS_H2S,True,M_RING,True,True,True,True
12,True,SUCCESS_H2S,l_SW_C02_M02_CTRL_SW_C02_M02_SENS,NOT_APPLICABLE,True,True,4,SUCCESS_H2S,True,M_RING,True,True,True,True
14,True,SUCCESS_H2S,l_SW_C08_M01_CTRL_SW_C08_M01_SENS,NOT_APPLICABLE,True,True,5,SUCCESS_H2S,True,M_RING,True,True,True,True
2,True,SUCCESS_H2S,l_SW_C01_CC_SW_C01_CORE_B,NOT_APPLICABLE,True,True,1,SUCCESS_H2S,True,M_REDSTAR,True,True,True,True
4,True,SUCCESS_H2S,l_SW_C03_CORE_A_SW_C03_M03_ACT,NOT_APPLICABLE,True,True,2,SUCCESS_H2S,True,M_REDSTAR,True,True,True,True
6,True,SUCCESS_H2S,l_SW_C06_CORE_A_SW_C06_M02_CTRL,NOT_APPLICABLE,True,True,3,SUCCESS_H2S,True,M_REDSTAR,True,True,True,True
8,True,SUCCESS_H2S,l_SW_C04_CORE_B_SW_C04_M01_SENS,NOT_APPLICABLE,True,True,4,SUCCESS_H2S,True,M_REDSTAR,True,True,True,True
8,True,SUCCESS_H2S,l_SW_C08_CORE_B_SW_C08_M03_SENS,NOT_APPLICABLE,True,True,5,SUCCESS_H2S,True,M_REDSTAR,True,True,True,True
1,True,SUCCESS_H2S,l_SW_BB_C01_A_SW_BB_C01_B,NOT_APPLICABLE,True,True,1,SUCCESS_H2S,True,M_ROR,True,True,True,True
1,True,SUCCESS_H2S,l_SW_C08_M02_SENS_SW_C08_M03_ACT,NOT_APPLICABLE,True,True,2,SUCCESS_H2S,True,M_ROR,True,True,True,True
4,True,SUCCESS_H2S,l_SW_BB_C08_A_SW_C08_CC,NOT_APPLICABLE,True,True,3,SUCCESS_H2S,True,M_ROR,True,True,True,True
7,True,SUCCESS_H2S,l_SW_C05_M01_ACT_SW_C05_M01_CTRL,NOT_APPLICABLE,True,True,4,SUCCESS_H2S,True,M_ROR,True,True,True,True
12,True,SUCCESS_H2S,l_SW_C01_M03_CTRL_SW_C01_M03_SENS,NOT_APPLICABLE,True,True,5,SUCCESS_H2S,True,M_ROR,True,True,True,True
2,True,SUCCESS_H2S,l_SW_C01_CC_SW_C16_M04_SENS,NOT_APPLICABLE,True,True,1,SUCCESS_H2S,True,L_RING,True,True,True,True
8,True,SUCCESS_H2S,l_SW_C03_M01_SENS_SW_C03_M02_ACT,NOT_APPLICABLE,True,True,2,SUCCESS_H2S,True,L_RING,True,True,True,True
10,True,SUCCESS_H2S,l_SW_C09_CC_SW_C09_M01_ACT,NOT_APPLICABLE,True,True,3,SUCCESS_H2S,True,L_RING,True,True,True,True
12,True,SUCCESS_H2S,l_SW_C14_M03_CTRL_SW_C14_M03_SENS,NOT_APPLICABLE,True,True,4,SUCCESS_H2S,True,L_RING,True,True,True,True
16,True,SUCCESS_H2S,l_SW_C16_M01_CTRL_SW_C16_M01_SENS,NOT_APPLICABLE,True,True,5,SUCCESS_H2S,True,L_RING,True,True,True,True
1,True,SUCCESS_H2S,l_SW_C08_CC_SW_C08_CORE_B,NOT_APPLICABLE,True,True,1,SUCCESS_H2S,True,L_REDSTAR,True,True,True,True
4,True,SUCCESS_H2S,l_SW_C09_CORE_A_SW_C09_M03_ACT,NOT_APPLICABLE,True,True,2,SUCCESS_H2S,True,L_REDSTAR,True,True,True,True
6,True,SUCCESS_H2S,l_SW_C13_CORE_A_SW_C13_M01_CTRL,NOT_APPLICABLE,True,True,3,SUCCESS_H2S,True,L_REDSTAR,True,True,True,True
8,True,SUCCESS_H2S,l_SW_C09_CORE_B_SW_C09_M01_CTRL,NOT_APPLICABLE,True,True,4,SUCCESS_H2S,True,L_REDSTAR,True,True,True,True
12,True,SUCCESS_H2S,l_SW_C16_CC_SW_C16_CORE_A,NOT_APPLICABLE,True,True,5,SUCCESS_H2S,True,L_REDSTAR,True,True,True,True
1,True,SUCCESS_H2S,l_SW_BB_C01_A_SW_BB_C01_B,NOT_APPLICABLE,True,True,1,SUCCESS_H2S,True,L_ROR,True,True,True,True
2,True,SUCCESS_H2S,l_SW_C09_M03_SENS_SW_C09_M04_ACT,NOT_APPLICABLE,True,True,2,SUCCESS_H2S,True,L_ROR,True,True,True,True
4,True,SUCCESS_H2S,l_SW_C16_M03_ACT_SW_C16_M03_CTRL,NOT_APPLICABLE,True,True,3,SUCCESS_H2S,True,L_ROR,True,True,True,True
8,True,SUCCESS_H2S,l_SW_C08_M02_CTRL_SW_C08_M02_SENS,NOT_APPLICABLE,True,True,4,SUCCESS_H2S,True,L_ROR,True,True,True,True
12,True,SUCCESS_H2S,l_SW_C16_M04_CTRL_SW_C16_M04_SENS,NOT_APPLICABLE,True,True,5,SUCCESS_H2S,True,L_ROR,True,True,True,True
