scenario,sequence,send_time_s,receive_time_s,delay_s,received,eligible_for_loss,phase
baseline,0,0.000000000,0.000140740,0.000140740,true,true,pre_fault
baseline,1,0.001000000,0.001237650,0.000237650,true,true,pre_fault
baseline,2,0.002000000,0.002237650,0.000237650,true,true,pre_fault
baseline,3,0.003000000,0.003237650,0.000237650,true,true,pre_fault
baseline,4,0.004000000,0.004237650,0.000237650,true,true,pre_fault
baseline,5,0.005000000,0.005237650,0.000237650,true,true,outage
baseline,6,0.006000000,0.006237650,0.000237650,true,true,recovery_transition
baseline,7,0.007000000,0.007237650,0.000237650,true,true,post_recovery
baseline,8,0.008000000,0.008237650,0.000237650,true,true,post_recovery
baseline,9,0.009000000,0.009237650,0.000237650,true,true,post_recovery
baseline,10,0.010000000,0.010237650,0.000237650,true,true,post_recovery
baseline,11,0.011000000,0.011237650,0.000237650,true,true,post_recovery
baseline,12,0.012000000,0.012237650,0.000237650,true,true,post_recovery
baseline,13,0.013000000,0.013237650,0.000237650,true,true,post_recovery
baseline,14,0.014000000,0.014237650,0.000237650,true,true,post_recovery
baseline,15,0.015000000,0.015237650,0.000237650,true,true,post_recovery
baseline,16,0.016000000,0.016237650,0.000237650,true,true,post_recovery
baseline,17,0.017000000,0.017237650,0.000237650,true,true,post_recovery
baseline,18,0.018000000,0.018237650,0.000237650,true,true,post_recovery
baseline,19,0.019000000,0.019237650,0.000237650,true,true,post_recovery
baseline,20,0.020000000,,,false,false,post_recovery
