scenario,sequence,send_time_s,receive_time_s,delay_s,received,eligible_for_loss,phase
failure,0,0.000000000,0.000140740,0.000140740,true,true,pre_fault
failure,1,0.001000000,0.001237650,0.000237650,true,true,pre_fault
failure,2,0.002000000,0.002237650,0.000237650,true,true,pre_fault
failure,3,0.003000000,0.003237650,0.000237650,true,true,pre_fault
failure,4,0.004000000,0.004237650,0.000237650,true,true,pre_fault
failure,5,0.005000000,,,false,true,outage
failure,6,0.006000000,,,false,true,recovery_transition
failure,7,0.007000000,,,false,true,post_recovery
failure,8,0.008000000,,,false,true,post_recovery
failure,9,0.009000000,,,false,true,post_recovery
failure,10,0.010000000,,,false,true,post_recovery
failure,11,0.011000000,,,false,true,post_recovery
failure,12,0.012000000,,,false,true,post_recovery
failure,13,0.013000000,,,false,true,post_recovery
failure,14,0.014000000,,,false,true,post_recovery
failure,15,0.015000000,,,false,true,post_recovery
failure,16,0.016000000,,,false,true,post_recovery
failure,17,0.017000000,,,false,true,post_recovery
failure,18,0.018000000,,,false,true,post_recovery
failure,19,0.019000000,,,false,true,post_recovery
failure,20,0.020000000,,,false,false,post_recovery
