affected_flow_count,affected_flow_ratio,affected_route_unchanged_count,all_reroute_celf_ms,all_reroute_h2s_ms,all_reroute_peak_rss_bytes,all_reroute_scheduled_count,all_reroute_scheduled_ratio,all_reroute_status,all_reroute_total_ms,baseline_scheduled_count,baseline_scheduled_ratio,baseline_status,baseline_total_ms,changed_affected_flow_count,changed_route_flow_count,changed_route_flow_ratio,changed_unaffected_flow_count,changed_unaffected_flow_ratio,extra_unaffected_reroute_fraction,fault_id,hop_delta_total,max_hop_delta,mean_hop_delta_per_changed_flow,new_physical_links_used,p0_route_links_abandoned,project_checker_pass,rescue_class,rescued,route_scope,scenario_id,total_p0_hops,total_pf_hops,total_tt_flows,unaffected_route_unchanged_count,upstream_verifier_pass
262,0.262,0,0,106.57963,28561408,1000,1.0,SUCCESS_H2S,258.954664,0,0.99,HEURISTIC_NOT_FOUND,405.995609,262,313,0.313,51,0.06910569105691057,0.06910569105691057,l_sw0011_sw0013,255,3,0.8146964856230032,19,10,True,C_RESCUED_WITH_MODERATE_RELAXATION,True,all-reroute,F150_TT1000,16578,16833,1000,687,True
259,0.259,0,0,106.400717,28418048,1000,1.0,SUCCESS_H2S,259.862905,0,0.995,HEURISTIC_NOT_FOUND,393.378145,259,312,0.312,53,0.07152496626180836,0.07152496626180836,l_sw0015_sw0017,246,1,0.7884615384615384,18,10,True,C_RESCUED_WITH_MODERATE_RELAXATION,True,all-reroute,F150_TT1000,16578,16824,1000,688,True
254,0.254,0,0,105.37729,28590080,1000,1.0,SUCCESS_H2S,263.651163,0,0.992,HEURISTIC_NOT_FOUND,389.174759,254,300,0.3,46,0.06166219839142091,0.06166219839142091,l_sw0019_sw0021,255,3,0.85,19,7,True,C_RESCUED_WITH_MODERATE_RELAXATION,True,all-reroute,F150_TT1000,16578,16833,1000,700,True
255,0.255,0,0,108.01802,28573696,1000,1.0,SUCCESS_H2S,264.748757,0,0.99,HEURISTIC_NOT_FOUND,407.063826,255,305,0.305,50,0.06711409395973154,0.06711409395973154,l_sw0027_sw0029,256,2,0.839344262295082,19,7,True,C_RESCUED_WITH_MODERATE_RELAXATION,True,all-reroute,F150_TT1000,16578,16834,1000,695,True
260,0.26,0,0,107.548761,28573696,1000,1.0,SUCCESS_H2S,267.226863,0,0.995,HEURISTIC_NOT_FOUND,393.93789,260,306,0.306,46,0.062162162162162166,0.062162162162162166,l_sw0031_sw0033,255,3,0.8333333333333334,16,7,True,C_RESCUED_WITH_MODERATE_RELAXATION,True,all-reroute,F150_TT1000,16578,16833,1000,694,True
261,0.261,0,0,108.419394,28585984,1000,1.0,SUCCESS_H2S,267.403611,0,0.994,HEURISTIC_NOT_FOUND,390.024136,261,306,0.306,45,0.06089309878213803,0.06089309878213803,l_sw0041_sw0043,252,2,0.8235294117647058,16,8,True,C_RESCUED_WITH_MODERATE_RELAXATION,True,all-reroute,F150_TT1000,16578,16830,1000,694,True
256,0.256,0,0,108.157645,28590080,1000,1.0,SUCCESS_H2S,274.267858,0,0.996,HEURISTIC_NOT_FOUND,407.998517,256,300,0.3,44,0.05913978494623656,0.05913978494623656,l_sw0057_sw0059,249,2,0.83,13,3,True,C_RESCUED_WITH_MODERATE_RELAXATION,True,all-reroute,F150_TT1000,16578,16827,1000,700,True
256,0.256,0,0,117.099681,28606464,1000,1.0,SUCCESS_H2S,292.668843,0,0.996,HEURISTIC_NOT_FOUND,411.76793,256,305,0.305,49,0.06586021505376344,0.06586021505376344,l_sw0069_sw0071,240,1,0.7868852459016393,13,8,True,C_RESCUED_WITH_MODERATE_RELAXATION,True,all-reroute,F150_TT1000,16578,16818,1000,695,True
255,0.255,0,0,111.909737,28598272,1000,1.0,SUCCESS_H2S,277.791,0,0.989,HEURISTIC_NOT_FOUND,413.69052,255,308,0.308,53,0.07114093959731543,0.07114093959731543,l_sw0079_sw0081,252,3,0.8181818181818182,15,9,True,C_RESCUED_WITH_MODERATE_RELAXATION,True,all-reroute,F150_TT1000,16578,16830,1000,692,True
259,0.259,0,0,109.294889,28569600,1000,1.0,SUCCESS_H2S,267.127303,0,0.988,HEURISTIC_NOT_FOUND,412.120287,259,313,0.313,54,0.0728744939271255,0.0728744939271255,l_sw0081_sw0083,251,1,0.8019169329073482,15,8,True,C_RESCUED_WITH_MODERATE_RELAXATION,True,all-reroute,F150_TT1000,16578,16829,1000,687,True
