case_id,passed,requirement
RLQ00,True,RLQ00_AFFECTED_ONLY_REGRESSION
RLQ01,True,RLQ01_ALL_REROUTE_NO_FIXED_PATH
RLQ02,True,RLQ02_PHYSICAL_LINK_REMOVED
RLQ03,True,RLQ03_ALL_FLOW_CANDIDATE_ELIGIBILITY
RLQ04,True,RLQ04_UNAFFECTED_MAY_REMAIN_P0
RLQ05,True,RLQ05_UNAFFECTED_MAY_CHANGE
RLQ06,True,RLQ06_AFFECTED_MAY_CHANGE
RLQ07,True,RLQ07_ALL_TT_JOINTLY_SCHEDULED
RLQ08,True,RLQ08_RELEASE_SAME
RLQ09,True,RLQ09_DEADLINE_SAME
RLQ10,True,RLQ10_WAIT_ALLOWED
RLQ11,True,RLQ11_STREAM_AWARE_DESTINATION
RLQ12,True,RLQ12_ALL_REROUTE_STATIC_CHECKER
RLQ13,True,RLQ13_FAILED_LINK_CHECKER_REJECT
RLQ14,True,RLQ14_AFFECTED_ONLY_PARITY
RLQ15,True,RLQ15_MANIFEST_SCOPE
