baseline_scheduled_count,baseline_status,fault_id,repeat,repeat_scheduled_count,repeat_status,scenario_id,scheduled_count_stable,status_stable
1000,SUCCESS_H2S,l_sw0011_sw0013,2,1000,SUCCESS_H2S,F150_TT1000,True,True
1000,SUCCESS_H2S,l_sw0011_sw0013,3,1000,SUCCESS_H2S,F150_TT1000,True,True
1000,SUCCESS_H2S,l_sw0015_sw0017,2,1000,SUCCESS_H2S,F150_TT1000,True,True
1000,SUCCESS_H2S,l_sw0015_sw0017,3,1000,SUCCESS_H2S,F150_TT1000,True,True
1000,SUCCESS_H2S,l_sw0019_sw0021,2,1000,SUCCESS_H2S,F150_TT1000,True,True
1000,SUCCESS_H2S,l_sw0019_sw0021,3,1000,SUCCESS_H2S,F150_TT1000,True,True
0,HEURISTIC_NOT_FOUND,l_sw0007_sw0009,2,0,HEURISTIC_NOT_FOUND,S7,True,True
0,HEURISTIC_NOT_FOUND,l_sw0007_sw0009,3,0,HEURISTIC_NOT_FOUND,S7,True,True
0,HEURISTIC_NOT_FOUND,l_sw0019_sw0021,2,0,HEURISTIC_NOT_FOUND,S7,True,True
0,HEURISTIC_NOT_FOUND,l_sw0019_sw0021,3,0,HEURISTIC_NOT_FOUND,S7,True,True
0,HEURISTIC_NOT_FOUND,l_sw0023_sw0025,2,0,HEURISTIC_NOT_FOUND,S7,True,True
0,HEURISTIC_NOT_FOUND,l_sw0023_sw0025,3,0,HEURISTIC_NOT_FOUND,S7,True,True
