affected_route_unchanged_count,changed_affected_flow_count,changed_route_flow_count,changed_route_flow_ratio,changed_unaffected_flow_count,changed_unaffected_flow_ratio,extra_unaffected_reroute_fraction,fault_id,hop_delta_total,max_hop_delta,mean_hop_delta_per_changed_flow,new_physical_links_used,p0_route_links_abandoned,rescue_class,scenario_id,total_p0_hops,total_pf_hops,unaffected_route_unchanged_count
0,262,313,0.313,51,0.06910569105691057,0.06910569105691057,l_sw0011_sw0013,255,3,0.8146964856230032,19,10,C_RESCUED_WITH_MODERATE_RELAXATION,F150_TT1000,16578,16833,687
0,259,312,0.312,53,0.07152496626180836,0.07152496626180836,l_sw0015_sw0017,246,1,0.7884615384615384,18,10,C_RESCUED_WITH_MODERATE_RELAXATION,F150_TT1000,16578,16824,688
0,254,300,0.3,46,0.06166219839142091,0.06166219839142091,l_sw0019_sw0021,255,3,0.85,19,7,C_RESCUED_WITH_MODERATE_RELAXATION,F150_TT1000,16578,16833,700
0,255,305,0.305,50,0.06711409395973154,0.06711409395973154,l_sw0027_sw0029,256,2,0.839344262295082,19,7,C_RESCUED_WITH_MODERATE_RELAXATION,F150_TT1000,16578,16834,695
0,260,306,0.306,46,0.062162162162162166,0.062162162162162166,l_sw0031_sw0033,255,3,0.8333333333333334,16,7,C_RESCUED_WITH_MODERATE_RELAXATION,F150_TT1000,16578,16833,694
0,261,306,0.306,45,0.06089309878213803,0.06089309878213803,l_sw0041_sw0043,252,2,0.8235294117647058,16,8,C_RESCUED_WITH_MODERATE_RELAXATION,F150_TT1000,16578,16830,694
0,256,300,0.3,44,0.05913978494623656,0.05913978494623656,l_sw0057_sw0059,249,2,0.83,13,3,C_RESCUED_WITH_MODERATE_RELAXATION,F150_TT1000,16578,16827,700
0,256,305,0.305,49,0.06586021505376344,0.06586021505376344,l_sw0069_sw0071,240,1,0.7868852459016393,13,8,C_RESCUED_WITH_MODERATE_RELAXATION,F150_TT1000,16578,16818,695
0,255,308,0.308,53,0.07114093959731543,0.07114093959731543,l_sw0079_sw0081,252,3,0.8181818181818182,15,9,C_RESCUED_WITH_MODERATE_RELAXATION,F150_TT1000,16578,16830,692
0,259,313,0.313,54,0.0728744939271255,0.0728744939271255,l_sw0081_sw0083,251,1,0.8019169329073482,15,8,C_RESCUED_WITH_MODERATE_RELAXATION,F150_TT1000,16578,16829,687
0,243,261,0.348,18,0.03550295857988166,0.03550295857988166,l_sw0037_sw0039,239,1,0.9157088122605364,30,8,B_RESCUED_WITH_SMALL_RELAXATION,F150_TT750,14273,14512,489
0,118,212,0.424,94,0.24607329842931938,0.24607329842931938,l_sw0008_sw0010,51,2,0.24056603773584906,24,33,D_RESCUED_WITH_GLOBAL_RELAXATION,S4,20453,20504,288
0,108,190,0.38,82,0.20918367346938777,0.20918367346938777,l_sw0114_sw0116,44,2,0.23157894736842105,26,36,D_RESCUED_WITH_GLOBAL_RELAXATION,S4,20453,20497,310
0,118,204,0.408,86,0.225130890052356,0.225130890052356,l_sw0149_sw0151,60,2,0.29411764705882354,26,29,D_RESCUED_WITH_GLOBAL_RELAXATION,S4,20453,20513,296
0,116,186,0.372,70,0.18229166666666666,0.18229166666666666,l_sw0151_sw0153,58,2,0.3118279569892473,22,32,C_RESCUED_WITH_MODERATE_RELAXATION,S4,20453,20511,314
0,125,196,0.392,71,0.18933333333333333,0.18933333333333333,l_sw0159_sw0161,58,2,0.29591836734693877,27,31,C_RESCUED_WITH_MODERATE_RELAXATION,S4,20453,20511,304
0,121,211,0.422,90,0.23746701846965698,0.23746701846965698,l_sw0161_sw0163,61,2,0.2890995260663507,28,34,D_RESCUED_WITH_GLOBAL_RELAXATION,S4,20453,20514,289
0,114,212,0.424,98,0.2538860103626943,0.2538860103626943,l_sw0164_sw0166,62,2,0.29245283018867924,19,26,D_RESCUED_WITH_GLOBAL_RELAXATION,S4,20453,20515,288
0,122,191,0.382,69,0.18253968253968253,0.18253968253968253,l_sw0165_sw0167,58,2,0.3036649214659686,28,36,C_RESCUED_WITH_MODERATE_RELAXATION,S4,20453,20511,309
0,220,396,0.396,176,0.22564102564102564,0.22564102564102564,l_sw0001_sw0003,447,12,1.128787878787879,35,18,D_RESCUED_WITH_GLOBAL_RELAXATION,S5,37528,37975,604
0,212,377,0.377,165,0.20939086294416243,0.20939086294416243,l_sw0003_sw0005,429,15,1.1379310344827587,29,12,D_RESCUED_WITH_GLOBAL_RELAXATION,S5,37528,37957,623
0,221,408,0.408,187,0.24005134788189988,0.24005134788189988,l_sw0010_sw0012,586,19,1.4362745098039216,35,13,D_RESCUED_WITH_GLOBAL_RELAXATION,S5,37528,38114,592
0,211,405,0.405,194,0.2458808618504436,0.2458808618504436,l_sw0019_sw0021,510,21,1.2592592592592593,30,17,D_RESCUED_WITH_GLOBAL_RELAXATION,S5,37528,38038,595
0,216,423,0.423,207,0.26403061224489793,0.26403061224489793,l_sw0021_sw0023,383,15,0.9054373522458629,26,15,D_RESCUED_WITH_GLOBAL_RELAXATION,S5,37528,37911,577
0,196,379,0.379,183,0.22761194029850745,0.22761194029850745,l_sw0041_sw0043,345,13,0.9102902374670184,25,9,D_RESCUED_WITH_GLOBAL_RELAXATION,S5,37528,37873,621
0,197,407,0.407,210,0.261519302615193,0.261519302615193,l_sw0047_sw0049,329,17,0.8083538083538083,31,13,D_RESCUED_WITH_GLOBAL_RELAXATION,S5,37528,37857,593
0,208,405,0.405,197,0.24873737373737373,0.24873737373737373,l_sw0059_sw0061,406,21,1.002469135802469,28,13,D_RESCUED_WITH_GLOBAL_RELAXATION,S5,37528,37934,595
0,194,367,0.367,173,0.21464019851116625,0.21464019851116625,l_sw0062_sw0064,474,19,1.2915531335149864,29,14,D_RESCUED_WITH_GLOBAL_RELAXATION,S5,37528,38002,633
0,207,394,0.394,187,0.23581336696090793,0.23581336696090793,l_sw0074_sw0076,331,10,0.8401015228426396,36,13,D_RESCUED_WITH_GLOBAL_RELAXATION,S5,37528,37859,606
0,187,373,0.373,186,0.22878228782287824,0.22878228782287824,l_sw0079_sw0081,349,13,0.935656836461126,27,17,D_RESCUED_WITH_GLOBAL_RELAXATION,S5,37528,37877,627
0,214,393,0.393,179,0.227735368956743,0.227735368956743,l_sw0080_sw0082,496,19,1.262086513994911,33,12,D_RESCUED_WITH_GLOBAL_RELAXATION,S5,37528,38024,607
0,3,31,0.031,28,0.028084252758274825,0.028084252758274825,l_sw0094_sw0095,2,4,0.06451612903225806,2,6,B_RESCUED_WITH_SMALL_RELAXATION,S5,37528,37530,969
0,202,381,0.381,179,0.22431077694235588,0.22431077694235588,l_sw0094_sw0096,301,9,0.7900262467191601,28,14,D_RESCUED_WITH_GLOBAL_RELAXATION,S5,37528,37829,619
0,200,377,0.377,177,0.22125,0.22125,l_sw0100_sw0102,298,6,0.7904509283819628,28,18,D_RESCUED_WITH_GLOBAL_RELAXATION,S5,37528,37826,623
0,198,349,0.349,151,0.1882793017456359,0.1882793017456359,l_sw0103_sw0105,446,19,1.2779369627507164,35,16,C_RESCUED_WITH_MODERATE_RELAXATION,S5,37528,37974,651
0,197,352,0.352,155,0.1930261519302615,0.1930261519302615,l_sw0113_sw0115,437,17,1.2414772727272727,33,14,C_RESCUED_WITH_MODERATE_RELAXATION,S5,37528,37965,648
0,206,357,0.357,151,0.190176322418136,0.190176322418136,l_sw0118_sw0120,318,11,0.8907563025210085,32,8,C_RESCUED_WITH_MODERATE_RELAXATION,S5,37528,37846,643
0,199,382,0.382,183,0.22846441947565543,0.22846441947565543,l_sw0148_sw0150,453,17,1.1858638743455496,41,15,D_RESCUED_WITH_GLOBAL_RELAXATION,S5,37528,37981,618
0,209,366,0.366,157,0.19848293299620734,0.19848293299620734,l_sw0152_sw0154,387,13,1.0573770491803278,34,10,C_RESCUED_WITH_MODERATE_RELAXATION,S5,37528,37915,634
0,210,376,0.376,166,0.21012658227848102,0.21012658227848102,l_sw0154_sw0156,395,13,1.050531914893617,33,14,D_RESCUED_WITH_GLOBAL_RELAXATION,S5,37528,37923,624
