affected_flow_ratio,affected_ratio_bin,changed_unaffected_flow_count,fault_id,pearson_affected_ratio_rescued,rescued,scenario_id,spearman_affected_ratio_rescued
0.262,1,51,l_sw0011_sw0013,,1,F150_TT1000,
0.259,1,53,l_sw0015_sw0017,,1,F150_TT1000,
0.254,1,46,l_sw0019_sw0021,,1,F150_TT1000,
0.255,1,50,l_sw0027_sw0029,,1,F150_TT1000,
0.26,1,46,l_sw0031_sw0033,,1,F150_TT1000,
0.261,1,45,l_sw0041_sw0043,,1,F150_TT1000,
0.256,1,44,l_sw0057_sw0059,,1,F150_TT1000,
0.256,1,49,l_sw0069_sw0071,,1,F150_TT1000,
0.255,1,53,l_sw0079_sw0081,,1,F150_TT1000,
0.259,1,54,l_sw0081_sw0083,,1,F150_TT1000,
0.324,1,18,l_sw0037_sw0039,,1,F150_TT750,
0.236,1,94,l_sw0008_sw0010,,1,S4,
0.216,1,82,l_sw0114_sw0116,,1,S4,
0.236,1,86,l_sw0149_sw0151,,1,S4,
0.232,1,70,l_sw0151_sw0153,,1,S4,
0.25,1,71,l_sw0159_sw0161,,1,S4,
0.242,1,90,l_sw0161_sw0163,,1,S4,
0.228,1,98,l_sw0164_sw0166,,1,S4,
0.244,1,69,l_sw0165_sw0167,,1,S4,
0.22,1,176,l_sw0001_sw0003,,1,S5,
0.212,1,165,l_sw0003_sw0005,,1,S5,
0.221,1,187,l_sw0010_sw0012,,1,S5,
0.211,1,194,l_sw0019_sw0021,,1,S5,
0.216,1,207,l_sw0021_sw0023,,1,S5,
0.196,0,183,l_sw0041_sw0043,,1,S5,
0.197,0,210,l_sw0047_sw0049,,1,S5,
0.208,1,197,l_sw0059_sw0061,,1,S5,
0.194,0,173,l_sw0062_sw0064,,1,S5,
0.207,1,187,l_sw0074_sw0076,,1,S5,
0.187,0,186,l_sw0079_sw0081,,1,S5,
0.214,1,179,l_sw0080_sw0082,,1,S5,
0.003,0,28,l_sw0094_sw0095,,1,S5,
0.202,1,179,l_sw0094_sw0096,,1,S5,
0.2,1,177,l_sw0100_sw0102,,1,S5,
0.198,0,151,l_sw0103_sw0105,,1,S5,
0.197,0,155,l_sw0113_sw0115,,1,S5,
