scenario,switch_count,stage,wall_ms,percentage_of_known_total,measurement_boundary
structured20_auto,20,P0_ROUTE,0.322849,1.25336240746e-06,captured logical/cold costs; not campaign elapsed
structured20_auto,20,P0_Z3,215.693306,0.0008373632295,captured logical/cold costs; not campaign elapsed
structured20_auto,20,PF_TOTAL,5171.652857,0.0200773589988,captured logical/cold costs; not campaign elapsed
structured20_auto,20,VALIDATION_J100,63281.019727,0.245669186621,captured logical/cold costs; not campaign elapsed
structured20_auto,20,VALIDATION_J060,63064.494252,0.24482859275,captured logical/cold costs; not campaign elapsed
structured20_auto,20,VALIDATION_J040,62824.085769,0.243895280412,captured logical/cold costs; not campaign elapsed
structured20_auto,20,VALIDATION_J020,63029.043131,0.244690964626,captured logical/cold costs; not campaign elapsed
structured30_auto,30,P0_ROUTE,0.601539,1.36668306462e-06,captured logical/cold costs; not campaign elapsed
structured30_auto,30,P0_Z3,302.831277,0.000688025843233,captured logical/cold costs; not campaign elapsed
structured30_auto,30,PF_TOTAL,7795.905234,0.0177121211703,captured logical/cold costs; not campaign elapsed
structured30_auto,30,VALIDATION_J100,107574.390498,0.244406593222,captured logical/cold costs; not campaign elapsed
structured30_auto,30,VALIDATION_J060,107712.184797,0.244719658767,captured logical/cold costs; not campaign elapsed
structured30_auto,30,VALIDATION_J040,108057.026542,0.245503131448,captured logical/cold costs; not campaign elapsed
structured30_auto,30,VALIDATION_J020,108702.266835,0.246969102866,captured logical/cold costs; not campaign elapsed
structured40_auto,40,P0_ROUTE,0.955972,1.21543966945e-06,captured logical/cold costs; not campaign elapsed
structured40_auto,40,P0_Z3,502.847312,0.000639328945492,captured logical/cold costs; not campaign elapsed
structured40_auto,40,PF_TOTAL,16854.00229,0.0214284759096,captured logical/cold costs; not campaign elapsed
structured40_auto,40,VALIDATION_J100,190999.145021,0.242839683264,captured logical/cold costs; not campaign elapsed
structured40_auto,40,VALIDATION_J060,192014.016389,0.244130008629,captured logical/cold costs; not campaign elapsed
structured40_auto,40,VALIDATION_J040,193367.796502,0.245851228553,captured logical/cold costs; not campaign elapsed
structured40_auto,40,VALIDATION_J020,192784.849351,0.245110059259,captured logical/cold costs; not campaign elapsed
structured50_auto,50,P0_ROUTE,2.556305,1.10843217943e-06,captured logical/cold costs; not campaign elapsed
structured50_auto,50,P0_Z3,2117.492121,0.000918159768341,captured logical/cold costs; not campaign elapsed
structured50_auto,50,PF_TOTAL,98148.442972,0.0425578687016,captured logical/cold costs; not campaign elapsed
structured50_auto,50,VALIDATION_J100,543161.032052,0.235518518541,captured logical/cold costs; not campaign elapsed
structured50_auto,50,VALIDATION_J060,546643.645042,0.237028604508,captured logical/cold costs; not campaign elapsed
structured50_auto,50,VALIDATION_J040,556403.486278,0.241260541656,captured logical/cold costs; not campaign elapsed
structured50_auto,50,VALIDATION_J020,559758.266443,0.242715198393,captured logical/cold costs; not campaign elapsed
