scenario,switch_count,policy_id,candidate_compression,realized_compression,compression_gap,storage_compression,profile_count,PF_profile_count
structured20_auto,20,J100,0.227272727273,0.227272727273,0,0.226767275092,17,22
structured20_auto,20,J060,0.409090909091,0.409090909091,0,0.410533285324,13,22
structured20_auto,20,J040,0.590909090909,0.590909090909,0,0.59360553531,9,22
structured20_auto,20,J020,0.681818181818,0.636363636364,0.0454545454545,0.637584131619,8,22
structured30_auto,30,J100,0.192307692308,0.192307692308,0,0.185144704389,21,26
structured30_auto,30,J060,0.230769230769,0.230769230769,0,0.225627428245,20,26
structured30_auto,30,J040,0.384615384615,0.384615384615,0,0.378990852304,16,26
structured30_auto,30,J020,0.615384615385,0.615384615385,0,0.607199413221,10,26
structured40_auto,40,J100,0.1875,0.1875,0,0.179814336934,26,32
structured40_auto,40,J060,0.25,0.25,0,0.244167468379,24,32
structured40_auto,40,J040,0.34375,0.34375,0,0.338631560032,21,32
structured40_auto,40,J020,0.46875,0.46875,0,0.460968337773,17,32
structured50_auto,50,J100,0.25,0.25,0,0.247464755583,39,52
structured50_auto,50,J060,0.307692307692,0.307692307692,0,0.305880022552,36,52
structured50_auto,50,J040,0.5,0.5,0,0.49682287375,26,52
structured50_auto,50,J020,0.634615384615,0.634615384615,0,0.63112004908,19,52
