scenario,switch_count,mode,profile_count,profile_bytes,profile_count_compression,storage_compression,relative_to_pf_count
structured20_auto,20,PF,22,758187,0,0,1
structured20_auto,20,J100,17,586255,0.227272727273,0.226767275092,0.772727272727
structured20_auto,20,J060,13,446926,0.409090909091,0.410533285324,0.590909090909
structured20_auto,20,J040,9,308123,0.590909090909,0.59360553531,0.409090909091
structured20_auto,20,J020,8,274779,0.636363636364,0.637584131619,0.363636363636
structured30_auto,30,PF,26,1037529,0,0,1
structured30_auto,30,J100,21,845436,0.192307692308,0.185144704389,0.807692307692
structured30_auto,30,J060,20,803434,0.230769230769,0.225627428245,0.769230769231
structured30_auto,30,J040,16,644315,0.384615384615,0.378990852304,0.615384615385
structured30_auto,30,J020,10,407542,0.615384615385,0.607199413221,0.384615384615
structured40_auto,40,PF,32,1636082,0,0,1
structured40_auto,40,J100,26,1341891,0.1875,0.179814336934,0.8125
structured40_auto,40,J060,24,1236604,0.25,0.244167468379,0.75
structured40_auto,40,J040,21,1082053,0.34375,0.338631560032,0.65625
structured40_auto,40,J020,17,881900,0.46875,0.460968337773,0.53125
structured50_auto,50,PF,52,4104338,0,0,1
structured50_auto,50,J100,39,3088659,0.25,0.247464755583,0.75
structured50_auto,50,J060,36,2848903,0.307692307692,0.305880022552,0.692307692308
structured50_auto,50,J040,26,2065209,0.5,0.49682287375,0.5
structured50_auto,50,J020,19,1514008,0.634615384615,0.63112004908,0.365384615385
