scenario,mode,fault_id,flow_id,source,destination,period_s,deadline_e2e_s,route_before,route_after,sent,received,lost,deadline_miss_count,deadline_miss_ratio,mean_delay_us,p50_delay_us,p95_delay_us,max_delay_us,affected_by_fault
diamond,no-recovery,l_s1_s2,TT,source,destination,0.001,0.001,source->s1->s2->s4->destination,source->s1->s2->s4->destination,20,5,15,0,0,340.144,363.6,363.6,363.6,True
diamond,no-recovery,l_s1_s2,BE,source,destination,0.0002,,,,100,25,75,0,,492.016,465.6,542.32,542.32,False
diamond,online,l_s1_s2,TT,source,destination,0.001,0.001,source->s1->s2->s4->destination,source->s1->s3->s4->destination,20,19,1,0,0,351.254736842,363.6,363.6,363.6,True
diamond,online,l_s1_s2,BE,source,destination,0.0002,,,,100,93,7,0,,491.759139785,465.6,542.32,542.32,False
mesh10,no-recovery,l_sw2_sw5,TT1,es1,es5,0.001,0.0009,es1->sw1->sw2->sw5->sw8->sw9->es5,es1->sw1->sw2->sw5->sw8->sw9->es5,25,8,17,0,0,54.642,54.912,54.912,54.912,True
mesh10,no-recovery,l_sw2_sw5,TT10,es4,es1,0.001,0.00095,es4->sw7->sw4->sw3->sw1->es1,es4->sw7->sw4->sw3->sw1->es1,24,24,0,0,0,41.328,41.328,41.328,41.328,False
mesh10,no-recovery,l_sw2_sw5,TT2,es2,es6,0.001,0.0009,es2->sw2->sw5->sw8->sw10->es6,es2->sw2->sw5->sw8->sw10->es6,24,8,16,0,0,28.328,28.328,28.328,28.328,True
mesh10,no-recovery,l_sw2_sw5,TT3,es3,es5,0.001,0.0009,es3->sw4->sw7->sw9->es5,es3->sw4->sw7->sw9->es5,24,24,0,0,0,40.896,40.896,40.896,40.896,False
mesh10,no-recovery,l_sw2_sw5,TT4,es4,es2,0.001,0.00095,es4->sw7->sw4->sw3->sw2->es2,es4->sw7->sw4->sw3->sw2->es2,24,24,0,0,0,47.728,47.728,47.728,47.728,False
mesh10,no-recovery,l_sw2_sw5,TT5,es5,es1,0.001,0.0009,es5->sw9->sw7->sw4->sw3->sw1->es1,es5->sw9->sw7->sw4->sw3->sw1->es1,24,24,0,0,0,66.256,66.256,66.256,66.256,False
mesh10,no-recovery,l_sw2_sw5,TT6,es6,es3,0.001,0.0009,es6->sw10->sw8->sw6->sw4->es3,es6->sw10->sw8->sw6->sw4->es3,24,24,0,0,0,41.328,41.328,41.328,41.328,False
mesh10,no-recovery,l_sw2_sw5,TT7,es1,es6,0.001,0.00095,es1->sw1->sw2->sw5->sw8->sw10->es6,es1->sw1->sw2->sw5->sw8->sw10->es6,24,8,16,0,0,48.16,48.16,48.16,48.16,True
mesh10,no-recovery,l_sw2_sw5,TT8,es2,es4,0.001,0.00095,es2->sw2->sw3->sw4->sw7->es4,es2->sw2->sw3->sw4->sw7->es4,24,24,0,0,0,47.728,47.728,47.728,47.728,False
mesh10,no-recovery,l_sw2_sw5,TT9,es3,es6,0.001,0.0009,es3->sw4->sw6->sw8->sw10->es6,es3->sw4->sw6->sw8->sw10->es6,24,24,0,0,0,38.128,38.128,38.128,38.128,False
mesh10,no-recovery,l_sw2_sw5,BE1,es1,es5,0.0005,,,,50,16,34,0,,51.569,50.624,52.784,52.784,False
mesh10,no-recovery,l_sw2_sw5,BE2,es4,es2,0.0005,,,,49,49,0,0,,55.2613877551,60.128,60.128,60.128,False
mesh10,online,l_sw2_sw5,TT1,es1,es5,0.001,0.0009,es1->sw1->sw2->sw5->sw8->sw9->es5,es1->sw1->sw3->sw4->sw7->sw9->es5,25,24,1,0,0,54.822,54.912,54.912,54.912,True
mesh10,online,l_sw2_sw5,TT10,es4,es1,0.001,0.00095,es4->sw7->sw4->sw3->sw1->es1,es4->sw7->sw4->sw3->sw1->es1,24,24,0,0,0,41.328,41.328,41.328,41.328,False
mesh10,online,l_sw2_sw5,TT2,es2,es6,0.001,0.0009,es2->sw2->sw5->sw8->sw10->es6,es2->sw2->sw3->sw6->sw8->sw10->es6,24,23,1,0,0,38.6532173913,44.16,44.16,44.16,True
mesh10,online,l_sw2_sw5,TT3,es3,es5,0.001,0.0009,es3->sw4->sw7->sw9->es5,es3->sw4->sw7->sw9->es5,24,24,0,0,0,40.896,40.896,40.896,40.896,False
mesh10,online,l_sw2_sw5,TT4,es4,es2,0.001,0.00095,es4->sw7->sw4->sw3->sw2->es2,es4->sw7->sw4->sw3->sw2->es2,24,24,0,0,0,47.728,47.728,47.728,47.728,False
mesh10,online,l_sw2_sw5,TT5,es5,es1,0.001,0.0009,es5->sw9->sw7->sw4->sw3->sw1->es1,es5->sw9->sw7->sw4->sw3->sw1->es1,24,24,0,0,0,66.256,66.256,66.256,66.256,False
mesh10,online,l_sw2_sw5,TT6,es6,es3,0.001,0.0009,es6->sw10->sw8->sw6->sw4->es3,es6->sw10->sw8->sw6->sw4->es3,24,24,0,0,0,41.328,41.328,41.328,41.328,False
mesh10,online,l_sw2_sw5,TT7,es1,es6,0.001,0.00095,es1->sw1->sw2->sw5->sw8->sw10->es6,es1->sw1->sw3->sw6->sw8->sw10->es6,24,23,1,0,0,48.16,48.16,48.16,48.16,True
mesh10,online,l_sw2_sw5,TT8,es2,es4,0.001,0.00095,es2->sw2->sw3->sw4->sw7->es4,es2->sw2->sw3->sw4->sw7->es4,24,24,0,0,0,47.728,47.728,47.728,47.728,False
mesh10,online,l_sw2_sw5,TT9,es3,es6,0.001,0.0009,es3->sw4->sw6->sw8->sw10->es6,es3->sw4->sw6->sw8->sw10->es6,24,24,0,0,0,38.128,38.128,38.128,38.128,False
mesh10,online,l_sw2_sw5,BE1,es1,es5,0.0005,,,,50,48,2,0,,51.659,50.624,52.784,52.784,False
mesh10,online,l_sw2_sw5,BE2,es4,es2,0.0005,,,,49,49,0,0,,55.2613877551,60.128,60.128,60.128,False
