scenario,mode,fault_id,flow_id,sequence,send_time_s,receive_time_s,delay_s,deadline_e2e_s,received,deadline_met,phase
diamond,no-recovery,l_s1_s2,TT,0,0,0.00140292,0.00140292,0.001,True,False,pre_fault
diamond,no-recovery,l_s1_s2,TT,1,0.001,0.00240292,0.00140292,0.001,True,False,pre_fault
diamond,no-recovery,l_s1_s2,TT,2,0.002,0.00340292,0.00140292,0.001,True,False,pre_fault
diamond,no-recovery,l_s1_s2,TT,3,0.003,0.00440292,0.00140292,0.001,True,False,pre_fault
diamond,no-recovery,l_s1_s2,TT,4,0.004,,,0.001,False,False,pre_fault
diamond,no-recovery,l_s1_s2,TT,5,0.005,,,0.001,False,False,outage
diamond,no-recovery,l_s1_s2,TT,6,0.006,,,0.001,False,False,outage
diamond,no-recovery,l_s1_s2,TT,7,0.007,,,0.001,False,False,outage
diamond,no-recovery,l_s1_s2,TT,8,0.008,,,0.001,False,False,outage
diamond,no-recovery,l_s1_s2,TT,9,0.009,,,0.001,False,False,outage
diamond,no-recovery,l_s1_s2,TT,10,0.01,,,0.001,False,False,outage
diamond,no-recovery,l_s1_s2,TT,11,0.011,,,0.001,False,False,outage
diamond,no-recovery,l_s1_s2,TT,12,0.012,,,0.001,False,False,outage
diamond,no-recovery,l_s1_s2,TT,13,0.013,,,0.001,False,False,outage
diamond,no-recovery,l_s1_s2,TT,14,0.014,,,0.001,False,False,outage
diamond,no-recovery,l_s1_s2,TT,15,0.015,,,0.001,False,False,outage
diamond,no-recovery,l_s1_s2,TT,16,0.016,,,0.001,False,False,outage
diamond,no-recovery,l_s1_s2,TT,17,0.017,,,0.001,False,False,outage
diamond,no-recovery,l_s1_s2,TT,18,0.018,,,0.001,False,False,outage
diamond,no-recovery,l_s1_s2,TT,19,0.019,,,0.001,False,False,outage
diamond,no-recovery,l_s1_s2,TT,20,0.02,,,0.001,False,False,outage
diamond,no-recovery,l_s1_s2,BE,0,0,0.00047096,0.00047096,,True,,pre_fault
diamond,no-recovery,l_s1_s2,BE,1,0.0002,0.0006656,0.0004656,,True,,pre_fault
diamond,no-recovery,l_s1_s2,BE,2,0.0004,0.0008656,0.0004656,,True,,pre_fault
diamond,no-recovery,l_s1_s2,BE,3,0.0006,0.0010656,0.0004656,,True,,pre_fault
diamond,no-recovery,l_s1_s2,BE,4,0.0008,0.00138164,0.00058164,,True,,pre_fault
diamond,no-recovery,l_s1_s2,BE,5,0.001,0.0015202,0.0005202,,True,,pre_fault
diamond,no-recovery,l_s1_s2,BE,6,0.0012,0.0016656,0.0004656,,True,,pre_fault
