scenario,mode,fault_id,flow_id,sequence,send_time_s,receive_time_s,delay_s,deadline_e2e_s,received,deadline_met,phase
diamond,offline-per-failure,l_s1_s3,TT,0,0,0.00024632,0.00024632,0.001,True,True,pre_fault
diamond,offline-per-failure,l_s1_s3,TT,1,0.001,0.0013636,0.0003636,0.001,True,True,pre_fault
diamond,offline-per-failure,l_s1_s3,TT,2,0.002,0.0023636,0.0003636,0.001,True,True,pre_fault
diamond,offline-per-failure,l_s1_s3,TT,3,0.003,0.0033636,0.0003636,0.001,True,True,pre_fault
diamond,offline-per-failure,l_s1_s3,TT,4,0.004,0.0043636,0.0003636,0.001,True,True,pre_fault
diamond,offline-per-failure,l_s1_s3,TT,5,0.005,0.0053636,0.0003636,0.001,True,True,outage
diamond,offline-per-failure,l_s1_s3,TT,6,0.006,0.0063636,0.0003636,0.001,True,True,outage
diamond,offline-per-failure,l_s1_s3,TT,7,0.007,0.0073636,0.0003636,0.001,True,True,outage
diamond,offline-per-failure,l_s1_s3,TT,8,0.008,0.0083636,0.0003636,0.001,True,True,outage
diamond,offline-per-failure,l_s1_s3,TT,9,0.009,0.0093636,0.0003636,0.001,True,True,outage
diamond,offline-per-failure,l_s1_s3,TT,10,0.01,0.0103636,0.0003636,0.001,True,True,outage
diamond,offline-per-failure,l_s1_s3,TT,11,0.011,0.0113636,0.0003636,0.001,True,True,outage
diamond,offline-per-failure,l_s1_s3,TT,12,0.012,0.0123636,0.0003636,0.001,True,True,outage
diamond,offline-per-failure,l_s1_s3,TT,13,0.013,0.0133636,0.0003636,0.001,True,True,outage
diamond,offline-per-failure,l_s1_s3,TT,14,0.014,0.0143636,0.0003636,0.001,True,True,outage
diamond,offline-per-failure,l_s1_s3,TT,15,0.015,0.0153636,0.0003636,0.001,True,True,outage
diamond,offline-per-failure,l_s1_s3,TT,16,0.016,0.0163636,0.0003636,0.001,True,True,outage
diamond,offline-per-failure,l_s1_s3,TT,17,0.017,0.0173636,0.0003636,0.001,True,True,outage
diamond,offline-per-failure,l_s1_s3,TT,18,0.018,0.0183636,0.0003636,0.001,True,True,outage
diamond,offline-per-failure,l_s1_s3,TT,19,0.019,0.0193636,0.0003636,0.001,True,True,outage
diamond,offline-per-failure,l_s1_s3,TT,20,0.02,,,0.001,False,False,outage
diamond,offline-per-failure,l_s1_s3,BE,0,0,0.00052096,0.00052096,,True,,pre_fault
diamond,offline-per-failure,l_s1_s3,BE,1,0.0002,0.0006656,0.0004656,,True,,pre_fault
diamond,offline-per-failure,l_s1_s3,BE,2,0.0004,0.0008656,0.0004656,,True,,pre_fault
diamond,offline-per-failure,l_s1_s3,BE,3,0.0006,0.0010656,0.0004656,,True,,pre_fault
diamond,offline-per-failure,l_s1_s3,BE,4,0.0008,0.00134232,0.00054232,,True,,pre_fault
diamond,offline-per-failure,l_s1_s3,BE,5,0.001,0.00152096,0.00052096,,True,,pre_fault
diamond,offline-per-failure,l_s1_s3,BE,6,0.0012,0.0016656,0.0004656,,True,,pre_fault
diamond,offline-per-failure,l_s1_s3,BE,7,0.0014,0.0018656,0.0004656,,True,,pre_fault
diamond,offline-per-failure,l_s1_s3,BE,8,0.0016,0.0020656,0.0004656,,True,,pre_fault
diamond,offline-per-failure,l_s1_s3,BE,9,0.0018,0.00234232,0.00054232,,True,,pre_fault
diamond,offline-per-failure,l_s1_s3,BE,10,0.002,0.00252096,0.00052096,,True,,pre_fault
diamond,offline-per-failure,l_s1_s3,BE,11,0.0022,0.0026656,0.0004656,,True,,pre_fault
diamond,offline-per-failure,l_s1_s3,BE,12,0.0024,0.0028656,0.0004656,,True,,pre_fault
diamond,offline-per-failure,l_s1_s3,BE,13,0.0026,0.0030656,0.0004656,,True,,pre_fault
diamond,offline-per-failure,l_s1_s3,BE,14,0.0028,0.00334232,0.00054232,,True,,pre_fault
diamond,offline-per-failure,l_s1_s3,BE,15,0.003,0.00352096,0.00052096,,True,,pre_fault
diamond,offline-per-failure,l_s1_s3,BE,16,0.0032,0.0036656,0.0004656,,True,,pre_fault
diamond,offline-per-failure,l_s1_s3,BE,17,0.0034,0.0038656,0.0004656,,True,,pre_fault
diamond,offline-per-failure,l_s1_s3,BE,18,0.0036,0.0040656,0.0004656,,True,,pre_fault
diamond,offline-per-failure,l_s1_s3,BE,19,0.0038,0.00434232,0.00054232,,True,,pre_fault
diamond,offline-per-failure,l_s1_s3,BE,20,0.004,0.00452096,0.00052096,,True,,pre_fault
diamond,offline-per-failure,l_s1_s3,BE,21,0.0042,0.0046656,0.0004656,,True,,pre_fault
diamond,offline-per-failure,l_s1_s3,BE,22,0.0044,0.0048656,0.0004656,,True,,pre_fault
diamond,offline-per-failure,l_s1_s3,BE,23,0.0046,0.0050656,0.0004656,,True,,pre_fault
diamond,offline-per-failure,l_s1_s3,BE,24,0.0048,0.00534232,0.00054232,,True,,pre_fault
diamond,offline-per-failure,l_s1_s3,BE,25,0.005,0.00552096,0.00052096,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,26,0.0052,0.0056656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,27,0.0054,0.0058656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,28,0.0056,0.0060656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,29,0.0058,0.00634232,0.00054232,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,30,0.006,0.00652096,0.00052096,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,31,0.0062,0.0066656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,32,0.0064,0.0068656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,33,0.0066,0.0070656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,34,0.0068,0.00734232,0.00054232,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,35,0.007,0.00752096,0.00052096,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,36,0.0072,0.0076656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,37,0.0074,0.0078656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,38,0.0076,0.0080656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,39,0.0078,0.00834232,0.00054232,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,40,0.008,0.00852096,0.00052096,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,41,0.0082,0.0086656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,42,0.0084,0.0088656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,43,0.0086,0.0090656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,44,0.0088,0.00934232,0.00054232,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,45,0.009,0.00952096,0.00052096,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,46,0.0092,0.0096656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,47,0.0094,0.0098656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,48,0.0096,0.0100656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,49,0.0098,0.01034232,0.00054232,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,50,0.01,0.01052096,0.00052096,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,51,0.0102,0.0106656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,52,0.0104,0.0108656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,53,0.0106,0.0110656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,54,0.0108,0.01134232,0.00054232,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,55,0.011,0.01152096,0.00052096,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,56,0.0112,0.0116656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,57,0.0114,0.0118656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,58,0.0116,0.0120656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,59,0.0118,0.01234232,0.00054232,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,60,0.012,0.01252096,0.00052096,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,61,0.0122,0.0126656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,62,0.0124,0.0128656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,63,0.0126,0.0130656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,64,0.0128,0.01334232,0.00054232,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,65,0.013,0.01352096,0.00052096,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,66,0.0132,0.0136656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,67,0.0134,0.0138656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,68,0.0136,0.0140656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,69,0.0138,0.01434232,0.00054232,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,70,0.014,0.01452096,0.00052096,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,71,0.0142,0.0146656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,72,0.0144,0.0148656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,73,0.0146,0.0150656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,74,0.0148,0.01534232,0.00054232,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,75,0.015,0.01552096,0.00052096,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,76,0.0152,0.0156656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,77,0.0154,0.0158656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,78,0.0156,0.0160656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,79,0.0158,0.01634232,0.00054232,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,80,0.016,0.01652096,0.00052096,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,81,0.0162,0.0166656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,82,0.0164,0.0168656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,83,0.0166,0.0170656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,84,0.0168,0.01734232,0.00054232,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,85,0.017,0.01752096,0.00052096,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,86,0.0172,0.0176656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,87,0.0174,0.0178656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,88,0.0176,0.0180656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,89,0.0178,0.01834232,0.00054232,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,90,0.018,0.01852096,0.00052096,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,91,0.0182,0.0186656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,92,0.0184,0.0188656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,93,0.0186,0.0190656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,94,0.0188,0.01934232,0.00054232,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,95,0.019,0.01952096,0.00052096,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,96,0.0192,0.0196656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,97,0.0194,0.0198656,0.0004656,,True,,outage
diamond,offline-per-failure,l_s1_s3,BE,98,0.0196,,,,False,,outage
diamond,offline-per-failure,l_s1_s3,BE,99,0.0198,,,,False,,outage
diamond,offline-per-failure,l_s1_s3,BE,100,0.02,,,,False,,outage
