scenario,mode,fault_id,flow_id,sequence,send_time_s,receive_time_s,delay_s,deadline_e2e_s,received,deadline_met,phase
mesh10,offline-per-failure,l_sw2_sw5,TT1,0,0,5.2752e-05,5.2752e-05,0.0009,True,True,pre_fault
mesh10,offline-per-failure,l_sw2_sw5,TT1,1,0.001,0.001054912,5.4912e-05,0.0009,True,True,pre_fault
mesh10,offline-per-failure,l_sw2_sw5,TT1,2,0.002,0.002054912,5.4912e-05,0.0009,True,True,pre_fault
mesh10,offline-per-failure,l_sw2_sw5,TT1,3,0.003,0.003054912,5.4912e-05,0.0009,True,True,pre_fault
mesh10,offline-per-failure,l_sw2_sw5,TT1,4,0.004,0.004054912,5.4912e-05,0.0009,True,True,pre_fault
mesh10,offline-per-failure,l_sw2_sw5,TT1,5,0.005,0.005054912,5.4912e-05,0.0009,True,True,pre_fault
mesh10,offline-per-failure,l_sw2_sw5,TT1,6,0.006,0.006054912,5.4912e-05,0.0009,True,True,pre_fault
mesh10,offline-per-failure,l_sw2_sw5,TT1,7,0.007,0.007054912,5.4912e-05,0.0009,True,True,pre_fault
mesh10,offline-per-failure,l_sw2_sw5,TT1,8,0.008,,,0.0009,False,False,outage
mesh10,offline-per-failure,l_sw2_sw5,TT1,9,0.009,0.00914016,0.00014016,0.0009,True,True,post_recovery
mesh10,offline-per-failure,l_sw2_sw5,TT1,10,0.01,0.01014016,0.00014016,0.0009,True,True,post_recovery
mesh10,offline-per-failure,l_sw2_sw5,TT1,11,0.011,0.01114016,0.00014016,0.0009,True,True,post_recovery
mesh10,offline-per-failure,l_sw2_sw5,TT1,12,0.012,0.01214016,0.00014016,0.0009,True,True,post_recovery
mesh10,offline-per-failure,l_sw2_sw5,TT1,13,0.013,0.01314016,0.00014016,0.0009,True,True,post_recovery
mesh10,offline-per-failure,l_sw2_sw5,TT1,14,0.014,0.01414016,0.00014016,0.0009,True,True,post_recovery
mesh10,offline-per-failure,l_sw2_sw5,TT1,15,0.015,0.01514016,0.00014016,0.0009,True,True,post_recovery
mesh10,offline-per-failure,l_sw2_sw5,TT1,16,0.016,0.01614016,0.00014016,0.0009,True,True,post_recovery
mesh10,offline-per-failure,l_sw2_sw5,TT1,17,0.017,0.01714016,0.00014016,0.0009,True,True,post_recovery
mesh10,offline-per-failure,l_sw2_sw5,TT1,18,0.018,0.01814016,0.00014016,0.0009,True,True,post_recovery
mesh10,offline-per-failure,l_sw2_sw5,TT1,19,0.019,0.01914016,0.00014016,0.0009,True,True,post_recovery
mesh10,offline-per-failure,l_sw2_sw5,TT1,20,0.02,0.02014016,0.00014016,0.0009,True,True,post_recovery
mesh10,offline-per-failure,l_sw2_sw5,TT1,21,0.021,0.02114016,0.00014016,0.0009,True,True,post_recovery
mesh10,offline-per-failure,l_sw2_sw5,TT1,22,0.022,0.02214016,0.00014016,0.0009,True,True,post_recovery
mesh10,offline-per-failure,l_sw2_sw5,TT1,23,0.023,0.02314016,0.00014016,0.0009,True,True,post_recovery
mesh10,offline-per-failure,l_sw2_sw5,TT1,24,0.024,0.02414016,0.00014016,0.0009,True,True,post_recovery
mesh10,offline-per-failure,l_sw2_sw5,TT1,25,0.025,,,0.0009,False,False,post_recovery
mesh10,offline-per-failure,l_sw2_sw5,TT10,0,0.00018,0.000221328,4.1328e-05,0.00095,True,True,pre_fault
mesh10,offline-per-failure,l_sw2_sw5,TT10,1,0.00118,0.001221328,4.1328e-05,0.00095,True,True,pre_fault
mesh10,offline-per-failure,l_sw2_sw5,TT10,2,0.00218,0.002221328,4.1328e-05,0.00095,True,True,pre_fault
mesh10,offline-per-failure,l_sw2_sw5,TT10,3,0.00318,0.003221328,4.1328e-05,0.00095,True,True,pre_fault
mesh10,offline-per-failure,l_sw2_sw5,TT10,4,0.00418,0.004221328,4.1328e-05,0.00095,True,True,pre_fault
mesh10,offline-per-failure,l_sw2_sw5,TT10,5,0.00518,0.005221328,4.1328e-05,0.00095,True,True,pre_fault
mesh10,offline-per-failure,l_sw2_sw5,TT10,6,0.00618,0.006221328,4.1328e-05,0.00095,True,True,pre_fault
mesh10,offline-per-failure,l_sw2_sw5,TT10,7,0.00718,0.007221328,4.1328e-05,0.00095,True,True,pre_fault
mesh10,offline-per-failure,l_sw2_sw5,TT10,8,0.00818,0.008201328,2.1328e-05,0.00095,True,True,post_recovery
mesh10,offline-per-failure,l_sw2_sw5,TT10,9,0.00918,0.009228328,4.8328e-05,0.00095,True,True,post_recovery
mesh10,offline-per-failure,l_sw2_sw5,TT10,10,0.01018,0.010228328,4.8328e-05,0.00095,True,True,post_recovery
mesh10,offline-per-failure,l_sw2_sw5,TT10,11,0.01118,0.011228328,4.8328e-05,0.00095,True,True,post_recovery
mesh10,offline-per-failure,l_sw2_sw5,TT10,12,0.01218,0.012228328,4.8328e-05,0.00095,True,True,post_recovery
mesh10,offline-per-failure,l_sw2_sw5,TT10,13,0.01318,0.013228328,4.8328e-05,0.00095,True,True,post_recovery
mesh10,offline-per-failure,l_sw2_sw5,TT10,14,0.01418,0.014228328,4.8328e-05,0.00095,True,True,post_recovery
mesh10,offline-per-failure,l_sw2_sw5,TT10,15,0.01518,0.015228328,4.8328e-05,0.00095,True,True,post_recovery
mesh10,offline-per-failure,l_sw2_sw5,TT10,16,0.01618,0.016228328,4.8328e-05,0.00095,True,True,post_recovery
