scenario,mode,fault_id,flow_id,source,destination,period_s,deadline_e2e_s,route_before,route_after,sent,received,lost,deadline_miss_count,deadline_miss_ratio,mean_delay_us,p50_delay_us,p95_delay_us,max_delay_us,affected_by_fault
mesh10,offline-per-failure,l_sw2_sw5,TT1,es1,es5,0.001,0.0009,es1->sw1->sw2->sw5->sw8->sw9->es5,es1->sw1->sw3->sw4->sw7->sw9->es5,25,24,1,0,0,111.654,140.16,140.16,140.16,True
mesh10,offline-per-failure,l_sw2_sw5,TT10,es4,es1,0.001,0.00095,es4->sw7->sw4->sw3->sw1->es1,es4->sw7->sw4->sw3->sw1->es1,24,24,0,0,0,44.8696666667,48.328,48.328,48.328,False
mesh10,offline-per-failure,l_sw2_sw5,TT2,es2,es6,0.001,0.0009,es2->sw2->sw5->sw8->sw10->es6,es2->sw2->sw3->sw6->sw8->sw10->es6,24,23,1,0,0,103.870608696,144.16,144.16,144.16,True
mesh10,offline-per-failure,l_sw2_sw5,TT3,es3,es5,0.001,0.0009,es3->sw4->sw7->sw9->es5,es3->sw4->sw7->sw9->es5,24,24,0,0,0,103.396,140.896,140.896,140.896,False
mesh10,offline-per-failure,l_sw2_sw5,TT4,es4,es2,0.001,0.00095,es4->sw7->sw4->sw3->sw2->es2,es4->sw7->sw4->sw3->sw2->es2,24,24,0,0,0,110.228,147.728,147.728,147.728,False
mesh10,offline-per-failure,l_sw2_sw5,TT5,es5,es1,0.001,0.0009,es5->sw9->sw7->sw4->sw3->sw1->es1,es5->sw9->sw7->sw4->sw3->sw1->es1,24,24,0,0,0,115.525333333,140.16,140.16,140.16,False
mesh10,offline-per-failure,l_sw2_sw5,TT6,es6,es3,0.001,0.0009,es6->sw10->sw8->sw6->sw4->es3,es6->sw10->sw8->sw6->sw4->es3,24,24,0,0,0,107.994666667,141.328,141.328,141.328,False
mesh10,offline-per-failure,l_sw2_sw5,TT7,es1,es6,0.001,0.00095,es1->sw1->sw2->sw5->sw8->sw10->es6,es1->sw1->sw3->sw6->sw8->sw10->es6,24,24,0,0,0,114.826666667,148.16,148.16,148.16,True
mesh10,offline-per-failure,l_sw2_sw5,TT8,es2,es4,0.001,0.00095,es2->sw2->sw3->sw4->sw7->es4,es2->sw2->sw3->sw4->sw7->es4,24,24,0,0,0,114.394666667,147.728,147.728,147.728,False
mesh10,offline-per-failure,l_sw2_sw5,TT9,es3,es6,0.001,0.0009,es3->sw4->sw6->sw8->sw10->es6,es3->sw4->sw6->sw8->sw10->es6,24,24,0,0,0,104.794666667,138.128,138.128,138.128,False
mesh10,offline-per-failure,l_sw2_sw5,BE1,es1,es5,0.0005,,,,50,49,1,0,,51.637877551,50.624,52.784,52.784,False
mesh10,offline-per-failure,l_sw2_sw5,BE2,es4,es2,0.0005,,,,49,49,0,0,,51.8142040816,50.192,60.128,60.128,False
