scenario,mode,fault_id,flow_id,source,destination,period_s,deadline_e2e_s,route_before,route_after,sent,received,lost,deadline_miss_count,deadline_miss_ratio,mean_delay_us,p50_delay_us,p95_delay_us,max_delay_us,affected_by_fault
structured20_auto,offline-exact-equivalence,l_sw10_sw15,TT01,es01,es10,0.001,0.0009,es01->sw01->sw02->sw08->sw13->sw19->sw20->es10,es01->sw01->sw02->sw08->sw13->sw19->sw20->es10,30,30,0,0,0,72.5816,72.696,72.696,72.696,False
structured20_auto,offline-exact-equivalence,l_sw10_sw15,TT02,es02,es08,0.001,0.0009,es02->sw03->sw02->sw01->sw06->sw11->sw16->es08,es02->sw03->sw02->sw01->sw06->sw11->sw16->es08,29,29,0,0,0,38.152,38.152,38.152,38.152,False
structured20_auto,offline-exact-equivalence,l_sw10_sw15,TT03,es03,es06,0.001,0.00092,es03->sw05->sw04->sw03->sw02->sw01->sw06->sw11->es06,es03->sw05->sw04->sw03->sw02->sw01->sw06->sw11->es06,29,29,0,0,0,42.584,42.584,42.584,42.584,False
structured20_auto,offline-exact-equivalence,l_sw10_sw15,TT04,es04,es09,0.001,0.00094,es04->sw06->sw11->sw17->sw18->es09,es04->sw06->sw11->sw17->sw18->es09,29,29,0,0,0,14.328,14.328,14.328,14.328,False
structured20_auto,offline-exact-equivalence,l_sw10_sw15,TT05,es05,es01,0.001,0.00095,es05->sw10->sw04->sw03->sw02->sw01->es01,es05->sw10->sw04->sw03->sw02->sw01->es01,29,29,0,0,0,65.632,65.632,65.632,65.632,False
structured20_auto,offline-exact-equivalence,l_sw10_sw15,TT06,es06,es05,0.001,0.0009,es06->sw11->sw06->sw07->sw08->sw09->sw10->es05,es06->sw11->sw06->sw07->sw08->sw09->sw10->es05,29,29,0,0,0,36.232,36.232,36.232,36.232,False
structured20_auto,offline-exact-equivalence,l_sw10_sw15,TT07,es07,es02,0.001,0.00092,es07->sw15->sw10->sw04->sw03->es02,es07->sw15->sw14->sw09->sw04->sw03->es02,29,29,0,0,0,35.204137931,35.96,35.96,35.96,True
structured20_auto,offline-exact-equivalence,l_sw10_sw15,TT08,es08,es03,0.001,0.00092,es08->sw16->sw11->sw06->sw01->sw02->sw03->sw04->sw05->es03,es08->sw16->sw11->sw06->sw01->sw02->sw03->sw04->sw05->es03,29,29,0,0,0,45.096,45.096,45.096,45.096,False
structured20_auto,offline-exact-equivalence,l_sw10_sw15,TT09,es09,es04,0.001,0.00094,es09->sw18->sw17->sw11->sw06->es04,es09->sw18->sw17->sw11->sw06->es04,29,29,0,0,0,36.328,36.328,36.328,36.328,False
structured20_auto,offline-exact-equivalence,l_sw10_sw15,TT10,es10,es07,0.001,0.00095,es10->sw20->sw15->es07,es10->sw20->sw15->es07,29,29,0,0,0,31.304,31.304,31.304,31.304,False
structured20_auto,offline-exact-equivalence,l_sw10_sw15,TT11,es01,es07,0.001,0.0009,es01->sw01->sw02->sw03->sw04->sw10->sw15->es07,es01->sw01->sw02->sw08->sw09->sw14->sw15->es07,29,29,0,0,0,37.192,37.192,37.192,37.192,True
structured20_auto,offline-exact-equivalence,l_sw10_sw15,TT12,es02,es10,0.001,0.00093,es02->sw03->sw04->sw10->sw15->sw20->es10,es02->sw03->sw08->sw13->sw19->sw20->es10,29,29,0,0,0,34.0013793103,36.76,36.76,36.76,True
structured20_auto,offline-exact-equivalence,l_sw10_sw15,TT13,es03,es09,0.001,0.00093,es03->sw05->sw04->sw03->sw08->sw13->sw18->es09,es03->sw05->sw04->sw03->sw08->sw13->sw18->es09,29,29,0,0,0,41.032,41.032,41.032,41.032,False
structured20_auto,offline-exact-equivalence,l_sw10_sw15,TT14,es04,es06,0.001,0.00094,es04->sw06->sw11->es06,es04->sw06->sw11->es06,29,29,0,0,0,30.984,30.984,30.984,30.984,False
structured20_auto,offline-exact-equivalence,l_sw10_sw15,TT15,es05,es08,0.001,0.00095,es05->sw10->sw09->sw08->sw07->sw06->sw11->sw16->es08,es05->sw10->sw09->sw08->sw07->sw06->sw11->sw16->es08,29,29,0,0,0,48.184,48.184,48.184,48.184,False
structured20_auto,offline-exact-equivalence,l_sw10_sw15,TT16,es06,es03,0.001,0.0009,es06->sw11->sw06->sw01->sw02->sw03->sw04->sw05->es03,es06->sw11->sw06->sw01->sw02->sw03->sw04->sw05->es03,29,29,0,0,0,39.224,39.224,39.224,39.224,False
structured20_auto,offline-exact-equivalence,l_sw10_sw15,TT17,es07,es01,0.001,0.00092,es07->sw15->sw10->sw04->sw03->sw02->sw01->es01,es07->sw15->sw14->sw09->sw08->sw02->sw01->es01,29,29,0,0,0,39.112,39.112,39.112,39.112,True
structured20_auto,offline-exact-equivalence,l_sw10_sw15,TT18,es08,es05,0.001,0.00093,es08->sw16->sw11->sw06->sw07->sw08->sw09->sw10->es05,es08->sw16->sw11->sw06->sw07->sw08->sw09->sw10->es05,29,29,0,0,0,43.704,43.704,43.704,43.704,False
structured20_auto,offline-exact-equivalence,l_sw10_sw15,TT19,es09,es02,0.001,0.00094,es09->sw18->sw13->sw08->sw03->es02,es09->sw18->sw13->sw08->sw03->es02,29,29,0,0,0,36.968,36.968,36.968,36.968,False
structured20_auto,offline-exact-equivalence,l_sw10_sw15,TT20,es10,es04,0.001,0.00095,es10->sw20->sw19->sw13->sw08->sw07->sw06->es04,es10->sw20->sw19->sw13->sw08->sw07->sw06->es04,29,29,0,0,0,44.872,44.872,44.872,44.872,False
structured20_auto,offline-exact-equivalence,l_sw10_sw15,BE01,es01,es10,0.0005,,,,60,60,0,0,,64.8348,63.176,70.728,70.728,False
structured20_auto,offline-exact-equivalence,l_sw10_sw15,BE02,es03,es08,0.0005,,,,59,59,0,0,,89.7505084746,96.16,96.16,96.16,False
structured20_auto,offline-exact-equivalence,l_sw10_sw15,BE03,es06,es05,0.0005,,,,59,59,0,0,,72.2573559322,74.192,74.192,74.192,False
