affected_flow_count,affected_set_key,fault_count,fault_ids,scenario,selected_by_mode
12,02250300fcecdaef088be80b6328d73844cd29f74aca4095c300d1869a8ca966,1,l_SW_C05_M02_CTRL_SW_C05_M02_SENS,M_RING,True
4,044342199292ec5db1e24060414c143e42cb44c22d6c8d1c9fc72086553ee739,1,l_SW_C01_M02_SENS_SW_C01_M03_ACT,M_RING,True
10,04ad42f83bfdffbeecaac8d368f3a1122e774001f3088bccc2b4be5e818e2971,1,l_SW_C01_M02_ACT_SW_C01_M02_CTRL,M_RING,True
8,098363abc087e13e1613b8690e75de37b05f6a127964cfbecb7d6ca338d6ec11,1,l_SW_C08_CC_SW_C08_M01_ACT,M_RING,True
12,0aa1d2350fb36d2204fa3fef4a2847fa18399d7250ebabbad6d7d75219540dba,1,l_SW_C05_M01_ACT_SW_C05_M01_CTRL,M_RING,True
10,201eaca696d0b117ae7910f2a12039184b55d99e07cf6211032e9c27f83b1e2b,1,l_SW_C06_M02_ACT_SW_C06_M02_CTRL,M_RING,True
6,223b8fb4be8c3ed029d71aa94941d12548506adefeb3b60e7b6e9d9faa9de544,1,l_SW_C02_M01_SENS_SW_C02_M02_ACT,M_RING,True
10,2428924bc4a8a19e39ae3ac629ab54dc5af3272e19797e02f09d0068a77bf8a9,1,l_SW_C05_M03_CTRL_SW_C05_M03_SENS,M_RING,True
8,25363b159ae8fec0bf4bcd9efb2d95c6bd09eb58ad9ed1f8e82f943fcb4588ca,1,l_SW_C02_M03_ACT_SW_C02_M03_CTRL,M_RING,True
8,28612d107ac26f9c63114c230d42ecc523d7503b0565c7860834075137cf672b,1,l_SW_C06_CC_SW_C06_M01_ACT,M_RING,True
14,2a0d88fecfa812144c3446656f8c91b2b4183000169b86f1770675541dd87c17,1,l_SW_C04_M01_CTRL_SW_C04_M01_SENS,M_RING,True
12,2f6b7dbc136f1029afce187108737edc8de82965769af51c4da0eb099fb5edd5,1,l_SW_C07_M02_CTRL_SW_C07_M02_SENS,M_RING,True
8,2f9b1cac2af40da01b3ce5d2d3e594ffe812461c9c81fedb36e9173c03287afa,1,l_SW_C05_M03_ACT_SW_C05_M03_CTRL,M_RING,True
2,37a150c3e19d957f28bb3b04e8276dca4d77f2a5d3aa965a75f3b3bfe5df5384,1,l_SW_C07_M03_SENS_SW_C08_CC,M_RING,True
10,40ede45dbb5b1fb6f9e7d17c22ed6a2933727bf37d528ddf4dd223a009f6e8de,1,l_SW_C05_M02_ACT_SW_C05_M02_CTRL,M_RING,True
4,471f39206d7019fe1e2b677baa16c8626836e0d25fe99a7a75815f420a6ae0fa,1,l_SW_C02_M02_SENS_SW_C02_M03_ACT,M_RING,True
2,491ac09da67e0c0a261ba213b9336ee1a83fb06373bf0bca9bbdb76447f0c4f1,1,l_SW_C05_M03_SENS_SW_C06_CC,M_RING,True
12,4b723c28554eec8a3e88f5b3fd8805d438021287eb01def04be104476cc7b1e3,1,l_SW_C01_M01_ACT_SW_C01_M01_CTRL,M_RING,True
8,4c2a1ca97c5bee5bc9cf036569272840afd9a200fd184ff4c541bef4e904e921,1,l_SW_C08_M03_ACT_SW_C08_M03_CTRL,M_RING,True
8,4cb20ace99748fa55a694a9bacc79ab6e1039a0b5db6fa3dcf15e11931b8de1d,1,l_SW_C07_CC_SW_C07_M01_ACT,M_RING,True
6,4f6a97c9dc508a4485ae192029ae279845256eb97d64da0eaa0e27dd71d297ad,1,l_SW_C05_M01_SENS_SW_C05_M02_ACT,M_RING,True
10,4fd2ad6b14507af7a1f3866b279414011eade205c6d7da331a34edc8d89401fb,1,l_SW_C08_M03_CTRL_SW_C08_M03_SENS,M_RING,True
10,50839c662f76cd9e9910de65585eaca65311e7bd4a70c54848b8c18583da24a2,1,l_SW_C06_M03_CTRL_SW_C06_M03_SENS,M_RING,True
14,53ccc6c993d5fbf36dd806815447959fd0d82b00fa0e8a5142b1d5daed0edd88,1,l_SW_C01_M01_CTRL_SW_C01_M01_SENS,M_RING,True
14,5434f9720493953255c50caf10be56a31087770f3ce3778109ee43368b43ea08,1,l_SW_C06_M01_CTRL_SW_C06_M01_SENS,M_RING,True
12,5dbf872de37512fa240a873ba0e0dcdf03b5e2dbda40bcac98c431f17a0e6e75,1,l_SW_C03_M01_ACT_SW_C03_M01_CTRL,M_RING,True
