backend_repeat_match,backend_repeat_required,check_type,checker_and_singleton_replay_match,decision_replay_match,group_id,group_size,pool_count,scenario,selection,semantic_hash_match,status,status_match,total_backend_ms
True,False,DECISION_REPLAY,,True,,,0,M_RING,,,,,
True,False,DECISION_REPLAY,,True,,,32,M_REDSTAR,,,,,
True,False,DECISION_REPLAY,,True,,,1,M_ROR,,,,,
True,False,DECISION_REPLAY,,True,,,0,L_RING,,,,,
True,False,DECISION_REPLAY,,True,,,79,L_REDSTAR,,,,,
True,False,DECISION_REPLAY,,True,,,1,L_ROR,,,,,
True,True,BACKEND_RESYNTHESIS,True,True,FG_05b01d066b3ab2f2425bfdc13ffef2781ad7f547e21af52f220416c04bb39f81,2,,M_REDSTAR,MIN_MEDIAN_MAX_GROUP_SIZE,True,SUCCESS_H2S,True,517.30614
True,True,BACKEND_RESYNTHESIS,True,True,FG_8082e436572b7b5c02408b42938c75cce1706dc08d088708d1c2c5e7be58913a,2,,M_REDSTAR,MIN_MEDIAN_MAX_GROUP_SIZE,True,SUCCESS_H2S,True,485.098811
True,True,BACKEND_RESYNTHESIS,True,True,FG_fb061cb30ba1e06c9797064602faf7d6da036ebc53c8c9adc9be83fe4b24f396,2,,M_REDSTAR,MIN_MEDIAN_MAX_GROUP_SIZE,True,SUCCESS_H2S,True,483.471881
True,True,BACKEND_RESYNTHESIS,True,True,FG_23d7e13c2d97e127391f6f915e5eadcab44cfc7ee9ef3ac4c8591985300538e8,2,,M_ROR,MIN_MEDIAN_MAX_GROUP_SIZE,True,SUCCESS_H2S,True,412.13669
True,True,BACKEND_RESYNTHESIS,True,True,FG_023d5b01d0781bc5302680307187807c4bd87f1f3cf799e1f97b6e35c0421abe,2,,L_REDSTAR,MIN_MEDIAN_MAX_GROUP_SIZE,True,SUCCESS_H2S,True,1799.959459
True,True,BACKEND_RESYNTHESIS,True,True,FG_9031ab20ea373cfef67e2f66e55c8814624c704d91aa3863966d60161842a082,2,,L_REDSTAR,MIN_MEDIAN_MAX_GROUP_SIZE,True,SUCCESS_H2S,True,1922.024861
True,True,BACKEND_RESYNTHESIS,True,True,FG_ffbd6b6638e5ab31a5068b12c033928aa3849c559bce33aae07f26de76c05cc5,2,,L_REDSTAR,MIN_MEDIAN_MAX_GROUP_SIZE,True,SUCCESS_H2S,True,1899.530955
True,True,BACKEND_RESYNTHESIS,True,True,FG_b8851b0ff033184d06ef963910ceedc54dee7f983f1b0140fdcceab66dce44ad,2,,L_ROR,MIN_MEDIAN_MAX_GROUP_SIZE,True,SUCCESS_H2S,True,1398.115278
