canonical_gzip_bytes,canonical_profile_bytes,group_id,group_size,profile_sha256,scenario,semantic_gzip_bytes,semantic_payload_bytes,semantic_profile_hash
186835,3889745,FG_8959e591132145318b88a24c866f83debc95f951ebb6114ae4e8047a299e87a2,1,3e4ba1e2863ddccc8d71114663b55be33f551156f78c628c6e2651d373b7d8fc,M_RING,186454,3889189,d6ac158f0f9638ffb67b9b607d45b3c47816bcba330928985b463a7a8df36d08
109152,2343263,FG_7a47a73156a6e074d01da0e2cb654958d12c2e0849f45e01db7864e91996528a,1,89c04f34303d782ed39e225bbf61fa7e99c787c740f5182a6f13b2a13a6fc80f,M_RING,108852,2342838,2e0e0640bdcec602ce7e0d35d3d28bb3df422bb7781934911c3d347a2475186f
172218,3757852,FG_c5b1252d4aa743e7801973194d09f19aacc2ec1f7fd30cf6c5e7e65716ae037a,1,0349763b7595b5af1513d0e8139a0a9c17054c469a3afe6bec4db95cf03e59f9,M_RING,171873,3757265,3393cae7d4422ee872bdda7541a42809b56570a30b683f4f19414fb38cc2c8d7
119682,2577911,FG_9140521eb320362aaa557f01e96e878f53a821b9b5ebfebf27b6dbc1a0747ddb,1,5063775a1e39e01dc646ef6bd3855ec458554c7a473e32129ecd36f889733abe,M_RING,119379,2577412,22388672cb6e4079050336ff6688b7f924f794962f36f32a956c5a57a0a83d4b
179233,3875526,FG_d456979842a5264de3b02bad9fd6d4d14288426702ab5fcb079e89b60c58d987,1,5d4961b56357b1b8d06589d60d735ca17b2a4feb7665c94a0c50a4f746c2a58f,M_RING,178940,3874893,1f544cd976b79627bb5fd333aedb531400a7974f753d6a14fa41ba7f5cb4c007
173245,3677040,FG_7ab27bc8a7a326bdf06da9139e32fedd01929e1f1d50725acdaa3a42906275db,1,435fc560a7a7f1204d4b8c65f88104da5329294d9ebb164a3262a741975bcb29,M_RING,172942,3676453,fdf51e4ce529d5afac73e3dab9511f833f7bb4b01909fbde2dcb7b08a3a4bd5a
114108,2454970,FG_ef89c77779ffea4c98d98969d62fdd4322b39e49c1dda6611af1a60b3eba54b4,1,7ee3fda370958df4c95d14d52eeb76d1c9a0327740fa1f88cd9d96a4a94f0b79,M_RING,113814,2454499,78581550c7a2b4d5541aa2b8439308a49ac82a29e172340c15a818684d1f08c5
180783,3799274,FG_df88e2185724be45cfa72ad1b62a54be5e5d8d38147fc75d254e293608d6e648,1,785f61086324e403a64ba1900fda1c4720388b4d533f47679267c43749ae51d8,M_RING,180435,3798764,a0275ff38da6166959b1a5d8597e0d284ed4b4166da60be48817b5642e4e68dd
167565,3650811,FG_a06f104470df2e3ff235818eee85ead6bfaa26dbf4553441c703c835495fae72,1,cadc87811aaf7505476e3387af9f9dd0603b3f9b414adae9e41b131768bc8cea,M_RING,167224,3650270,37b4b3d69b32c513daea03f7bc9a82bed7562a7e156fc38cacd36735e349efcf
119822,2575833,FG_c6d9ba5c3011839862bf8f0671bcda9d55e3a32983a5ce7ba3b32e73cf8e4da4,1,56bae1e5e51dd4ca86895a9ad396e57635d53d17b7d20440f2aefcf952b142ca,M_RING,119535,2575334,d5e6ca0bbbc6cf173f58d2569cd7c0c54f950d22881875f02848285954dfb010
