scope,feature,completed_case_count,spearman_rho
ALL,tt_flow_count,548,0.9720015311421408
ALL,controlled_hop_count,548,0.9476468167618373
ALL,total_symbolic_var_count,548,0.9476468167618373
ALL,total_hard_constraint_count,548,0.9434190279933073
ALL,non_overlap_constraint_count,548,0.9418877157251513
ALL,contention_pair_count,548,0.9418877157251513
ALL,max_flows_per_egress,548,0.9394046708527499
PF,tt_flow_count,289,0.9714198891926256
PF,controlled_hop_count,289,0.9468495882257366
PF,total_symbolic_var_count,289,0.9468495882257366
PF,total_hard_constraint_count,289,0.9403795881900728
PF,non_overlap_constraint_count,289,0.9381377938749399
PF,contention_pair_count,289,0.9381377938749399
PF,max_flows_per_egress,289,0.9374088031211183
SHARED,tt_flow_count,253,0.9719920708348689
SHARED,controlled_hop_count,253,0.9486853935360672
SHARED,total_symbolic_var_count,253,0.9486853935360672
SHARED,total_hard_constraint_count,253,0.9482795012068145
SHARED,non_overlap_constraint_count,253,0.9475669036587226
SHARED,contention_pair_count,253,0.9475669036587226
SHARED,max_flows_per_egress,253,0.9404257768109541
