case_id,scenario,switch_count,case_type,policy_id,tt_flow_count,controlled_hop_count,total_symbolic_var_count,total_hard_constraint_count,non_overlap_constraint_count,contention_pair_count,max_flows_per_egress,z3_check_wall_ms,status,repeat_count
structured100_auto:P0,structured100_auto,100,P0,,100,894,895,5877,2994,2994,28,,TIMEOUT,3
structured20_auto:P0,structured20_auto,20,P0,,20,108,109,452,87,87,5,216.279044,SAT,3
structured20_auto:PF:l_sw01_sw02,structured20_auto,20,PF,,20,112,113,481,104,104,6,234.287456,SAT,1
structured20_auto:PF:l_sw01_sw06,structured20_auto,20,PF,,20,108,109,452,87,87,5,218.06371199999998,SAT,1
structured20_auto:PF:l_sw02_sw03,structured20_auto,20,PF,,20,108,109,455,90,90,5,214.57842499999998,SAT,1
structured20_auto:PF:l_sw02_sw08,structured20_auto,20,PF,,20,109,110,466,98,98,5,220.835763,SAT,1
structured20_auto:PF:l_sw03_sw04,structured20_auto,20,PF,,20,109,110,470,102,102,6,221.196209,SAT,1
structured20_auto:PF:l_sw03_sw08,structured20_auto,20,PF,,20,109,110,455,87,87,5,218.17435700000001,SAT,1
structured20_auto:PF:l_sw04_sw05,structured20_auto,20,PF,,20,108,109,454,89,89,5,213.112954,SAT,1
structured20_auto:PF:l_sw04_sw10,structured20_auto,20,PF,,20,109,110,450,82,82,5,213.21460100000002,SAT,1
structured20_auto:PF:l_sw06_sw07,structured20_auto,20,PF,,20,108,109,443,78,78,5,213.80959299999998,SAT,1
structured20_auto:PF:l_sw06_sw11,structured20_auto,20,PF,,20,112,113,468,91,91,5,299.61816600000003,SAT,1
structured20_auto:PF:l_sw07_sw08,structured20_auto,20,PF,,20,108,109,444,79,79,5,306.142066,SAT,1
structured20_auto:PF:l_sw08_sw09,structured20_auto,20,PF,,20,108,109,440,75,75,5,239.94854600000002,SAT,1
structured20_auto:PF:l_sw08_sw13,structured20_auto,20,PF,,20,111,112,472,98,98,5,229.04065,SAT,1
structured20_auto:PF:l_sw09_sw10,structured20_auto,20,PF,,20,108,109,446,81,81,5,219.642942,SAT,1
structured20_auto:PF:l_sw10_sw15,structured20_auto,20,PF,,20,109,110,446,78,78,5,224.029729,SAT,1
