scenario,switch_count,case_family,case_count,completed_count,z3_mean_ms,z3_p95_ms,z3_max_ms,mean_variables,mean_constraints,mean_contention_pairs
structured20_auto,20,PF,22,22,230.7004364090909,296.6555443,306.142066,110.18181818181819,457.04545454545456,88.5
structured20_auto,20,J100,5,5,228.4651868,234.6042802,235.79836500000002,110.2,457.4,88.8
structured20_auto,20,J040,8,8,243.854394125,284.22247895,299.223207,111.125,467.5,96.125
structured20_auto,20,J020,6,5,243.6974574,274.185524,281.444616,112.4,467.4,92.2
structured30_auto,30,PF,26,26,312.84005315384616,338.23087599999997,398.30847600000004,128.76923076923077,549.8461538461538,105.53846153846153
structured30_auto,30,J100,4,4,303.90219525000003,313.1977142,314.97069500000003,125.5,539.5,105.0
structured30_auto,30,J040,9,9,318.1150766666667,351.1865954,352.392447,129.66666666666666,554.2222222222222,107.22222222222223
structured30_auto,30,J020,9,9,324.67041022222224,350.7125708,354.40866,131.44444444444446,557.5555555555555,105.22222222222223
structured40_auto,40,PF,32,32,557.4192713125,656.6749083,800.361207,169.6875,756.78125,169.71875
structured40_auto,40,J100,6,6,565.8945298333333,729.6986890000001,798.7805420000001,165.0,747.1666666666666,174.16666666666666
structured40_auto,40,J040,11,11,597.2628790909091,816.3694805,840.6951660000001,170.45454545454547,758.0,168.63636363636363
structured40_auto,40,J020,12,12,602.542312,822.3980182,849.36478,171.83333333333334,763.8333333333334,170.33333333333334
structured50_auto,50,PF,52,52,2008.2012113076923,2325.271155,2374.117893,282.96153846153845,1345.2884615384614,398.40384615384613
structured50_auto,50,J100,10,10,1951.9326399000001,2240.5121134499996,2301.539925,281.8,1359.7,416.3
structured50_auto,50,J040,18,18,1990.2515710555554,2304.9756144,2318.8526939999997,282.8888888888889,1343.0,396.3333333333333
structured50_auto,50,J020,19,19,2028.1187807368422,2307.0898512,2307.544875,284.2631578947368,1346.4736842105262,395.6842105263158
structured60_auto,60,PF,59,59,4490.4622806949155,5371.676646499998,5667.844865,335.3728813559322,1744.2711864406779,620.1525423728814
structured60_auto,60,J100,14,14,4195.110436285714,4960.6198132,4971.544748,334.0,1759.5,639.5
structured60_auto,60,J040,22,22,4275.348859272727,5217.07517665,5638.476075,335.54545454545456,1744.7272727272727,620.0909090909091
structured60_auto,60,J020,17,17,4165.675053823529,5190.325783399999,6307.273337,337.47058823529414,1746.2941176470588,615.8823529411765
structured80_auto,80,PF,99,98,15323.644086367347,23037.091806099997,28005.113894000002,580.5555555555555,3486.3232323232323,1586.6565656565656
structured80_auto,80,J100,24,24,14984.813083333333,22465.26550154999,23863.084642,580.1666666666666,3518.625,1620.125
structured80_auto,80,J040,32,31,14986.51000883871,21455.5916375,23819.430787,580.75,3509.625,1609.375
structured80_auto,80,J020,29,29,14735.765082413793,21525.7808198,23928.359012,581.7586206896551,3491.8275862068967,1588.551724137931
structured100_auto,100,PF,0,0,,,,,,
structured100_auto,100,J100,0,0,,,,,,
structured100_auto,100,J040,0,0,,,,,,
structured100_auto,100,J020,0,0,,,,,,
