scenario,row_type,flow_id,egress,traffic_class,start_tick,end_tick,gate_module,initially_open,offset,durations
single,logical_window,TT,s1.eth[1],1,40,62,,,,
single,logical_window,TT,s2.eth[1],1,67,89,,,,
single,logical_window,TT,s4.eth[2],1,94,116,,,,
single,compiled_gate,,,1,,,s1.eth[1].macLayer.queue.transmissionGate[1],1,0.00096,"[0.000022,0.000978]"
single,compiled_gate,,,0,,,s1.eth[1].macLayer.queue.transmissionGate[0],0,0.00096,"[0.000022,0.000978]"
single,compiled_gate,,,1,,,s2.eth[1].macLayer.queue.transmissionGate[1],1,0.000933,"[0.000022,0.000978]"
single,compiled_gate,,,0,,,s2.eth[1].macLayer.queue.transmissionGate[0],0,0.000933,"[0.000022,0.000978]"
single,compiled_gate,,,1,,,s4.eth[2].macLayer.queue.transmissionGate[1],1,0.000906,"[0.000022,0.000978]"
single,compiled_gate,,,0,,,s4.eth[2].macLayer.queue.transmissionGate[0],0,0.000906,"[0.000022,0.000978]"
multi_sat,logical_window,TT1,s1.eth[1],1,40,62,,,,
multi_sat,logical_window,TT2,s1.eth[1],1,62,92,,,,
multi_sat,logical_window,TT3,s1.eth[1],1,92,130,,,,
multi_sat,logical_window,TT1,s2.eth[1],1,67,89,,,,
multi_sat,logical_window,TT2,s2.eth[1],1,97,127,,,,
multi_sat,logical_window,TT3,s2.eth[1],1,135,173,,,,
multi_sat,logical_window,TT1,s4.eth[2],1,94,116,,,,
multi_sat,logical_window,TT2,s4.eth[2],1,132,162,,,,
multi_sat,logical_window,TT3,s4.eth[2],1,178,216,,,,
multi_sat,compiled_gate,,,1,,,s1.eth[1].macLayer.queue.transmissionGate[1],1,0.00096,"[0.00009,0.00091]"
multi_sat,compiled_gate,,,0,,,s1.eth[1].macLayer.queue.transmissionGate[0],0,0.00096,"[0.00009,0.00091]"
multi_sat,compiled_gate,,,1,,,s2.eth[1].macLayer.queue.transmissionGate[1],1,0.000933,"[0.000022,0.000008,0.00003,0.000008,0.000038,0.000894]"
multi_sat,compiled_gate,,,0,,,s2.eth[1].macLayer.queue.transmissionGate[0],0,0.000933,"[0.000022,0.000008,0.00003,0.000008,0.000038,0.000894]"
multi_sat,compiled_gate,,,1,,,s4.eth[2].macLayer.queue.transmissionGate[1],1,0.000906,"[0.000022,0.000016,0.00003,0.000016,0.000038,0.000878]"
multi_sat,compiled_gate,,,0,,,s4.eth[2].macLayer.queue.transmissionGate[0],0,0.000906,"[0.000022,0.000016,0.00003,0.000016,0.000038,0.000878]"
online_delay_0_1,logical_window,TT,s1.eth[2],1,40,62,,,,
online_delay_0_1,logical_window,TT,s3.eth[1],1,67,89,,,,
online_delay_0_1,logical_window,TT,s4.eth[2],1,94,116,,,,
online_delay_0_1,compiled_gate,,,1,,,s1.eth[2].macLayer.queue.transmissionGate[1],1,0.00096,"[0.000022,0.000978]"
online_delay_0_1,compiled_gate,,,0,,,s1.eth[2].macLayer.queue.transmissionGate[0],0,0.00096,"[0.000022,0.000978]"
online_delay_0_1,compiled_gate,,,1,,,s3.eth[1].macLayer.queue.transmissionGate[1],1,0.000933,"[0.000022,0.000978]"
online_delay_0_1,compiled_gate,,,0,,,s3.eth[1].macLayer.queue.transmissionGate[0],0,0.000933,"[0.000022,0.000978]"
online_delay_0_1,compiled_gate,,,1,,,s4.eth[2].macLayer.queue.transmissionGate[1],1,0.000906,"[0.000022,0.000978]"
