run,scenario,route_solver_wall_us,smt_solver_wall_us,total_solver_wall_us
run1,unit,,,
run1,single,,7484.449,7484.449
run1,multi_sat,,11689.742,11689.742
run1,multi_unsat,,8554.507,8554.507
run1,online_delay_0_1,12.575,7762.302,8191.324
run1,online_delay_1,12.948,8507.401,8943.677
run1,online_delay_5,13.631,7774.851,8215.04
run1,online_delay_10,11.598,7493.348,7902.297
run2,unit,,,
run2,single,,7566.454,7566.454
run2,multi_sat,,12192.567,12192.567
run2,multi_unsat,,8471.114,8471.114
run2,online_delay_0_1,12.164,7602.864,8086.893
run2,online_delay_1,14.453,8024.205,8508.694
run2,online_delay_5,11.554,7667.426,8101.404
run2,online_delay_10,12.34,7715.621,8162.997
