absolute_shift_ns,absolute_shift_ticks,changed,flow_id,flow_kind,new_release_ticks,original_collision_degree,original_release_ticks,period_ticks,relative_shift_over_period,scale,source,source_egress,tx_ticks
0,0,False,CMD_PLC_C01_M01_A1_C01_M01,ControlCommand,659,0,659,5000,0.0,L,PLC_C01_M01,PLC_C01_M01,11
0,0,False,CMD_PLC_C01_M01_A2_C01_M01,ControlCommand,514,0,514,5000,0.0,L,PLC_C01_M01,PLC_C01_M01,11
0,0,False,CMD_PLC_C01_M01_A3_C01_M01,ControlCommand,181,0,181,5000,0.0,L,PLC_C01_M01,PLC_C01_M01,11
0,0,False,CMD_PLC_C01_M01_A4_C01_M01,ControlCommand,945,0,945,5000,0.0,L,PLC_C01_M01,PLC_C01_M01,11
0,0,False,CMD_PLC_C01_M02_A1_C01_M02,ControlCommand,968,0,968,5000,0.0,L,PLC_C01_M02,PLC_C01_M02,11
0,0,False,CMD_PLC_C01_M02_A2_C01_M02,ControlCommand,59,0,59,5000,0.0,L,PLC_C01_M02,PLC_C01_M02,11
0,0,False,CMD_PLC_C01_M02_A3_C01_M02,ControlCommand,738,0,738,5000,0.0,L,PLC_C01_M02,PLC_C01_M02,11
0,0,False,CMD_PLC_C01_M02_A4_C01_M02,ControlCommand,540,0,540,5000,0.0,L,PLC_C01_M02,PLC_C01_M02,11
0,0,False,CMD_PLC_C01_M03_A1_C01_M03,ControlCommand,166,0,166,5000,0.0,L,PLC_C01_M03,PLC_C01_M03,11
0,0,False,CMD_PLC_C01_M03_A2_C01_M03,ControlCommand,49,0,49,5000,0.0,L,PLC_C01_M03,PLC_C01_M03,11
0,0,False,CMD_PLC_C01_M03_A3_C01_M03,ControlCommand,834,0,834,5000,0.0,L,PLC_C01_M03,PLC_C01_M03,11
0,0,False,CMD_PLC_C01_M03_A4_C01_M03,ControlCommand,245,0,245,5000,0.0,L,PLC_C01_M03,PLC_C01_M03,11
0,0,False,CMD_PLC_C01_M04_A1_C01_M04,ControlCommand,812,0,812,5000,0.0,L,PLC_C01_M04,PLC_C01_M04,11
0,0,False,CMD_PLC_C01_M04_A2_C01_M04,ControlCommand,191,0,191,5000,0.0,L,PLC_C01_M04,PLC_C01_M04,11
0,0,False,CMD_PLC_C01_M04_A3_C01_M04,ControlCommand,65,0,65,5000,0.0,L,PLC_C01_M04,PLC_C01_M04,11
0,0,False,CMD_PLC_C01_M04_A4_C01_M04,ControlCommand,618,0,618,5000,0.0,L,PLC_C01_M04,PLC_C01_M04,11
0,0,False,CMD_PLC_C02_M01_A1_C02_M01,ControlCommand,157,0,157,5000,0.0,L,PLC_C02_M01,PLC_C02_M01,11
0,0,False,CMD_PLC_C02_M01_A2_C02_M01,ControlCommand,933,0,933,5000,0.0,L,PLC_C02_M01,PLC_C02_M01,11
0,0,False,CMD_PLC_C02_M01_A3_C02_M01,ControlCommand,494,0,494,5000,0.0,L,PLC_C02_M01,PLC_C02_M01,11
0,0,False,CMD_PLC_C02_M01_A4_C02_M01,ControlCommand,223,0,223,5000,0.0,L,PLC_C02_M01,PLC_C02_M01,11
0,0,False,CMD_PLC_C02_M02_A1_C02_M02,ControlCommand,979,0,979,5000,0.0,L,PLC_C02_M02,PLC_C02_M02,11
0,0,False,CMD_PLC_C02_M02_A2_C02_M02,ControlCommand,838,0,838,5000,0.0,L,PLC_C02_M02,PLC_C02_M02,11
0,0,False,CMD_PLC_C02_M02_A3_C02_M02,ControlCommand,949,0,949,5000,0.0,L,PLC_C02_M02,PLC_C02_M02,11
0,0,False,CMD_PLC_C02_M02_A4_C02_M02,ControlCommand,566,0,566,5000,0.0,L,PLC_C02_M02,PLC_C02_M02,11
0,0,False,CMD_PLC_C02_M03_A1_C02_M03,ControlCommand,133,0,133,5000,0.0,L,PLC_C02_M03,PLC_C02_M03,11
0,0,False,CMD_PLC_C02_M03_A2_C02_M03,ControlCommand,985,0,985,5000,0.0,L,PLC_C02_M03,PLC_C02_M03,11
0,0,False,CMD_PLC_C02_M03_A3_C02_M03,ControlCommand,857,0,857,5000,0.0,L,PLC_C02_M03,PLC_C02_M03,11
0,0,False,CMD_PLC_C02_M03_A4_C02_M03,ControlCommand,528,0,528,5000,0.0,L,PLC_C02_M03,PLC_C02_M03,11
0,0,False,CMD_PLC_C02_M04_A1_C02_M04,ControlCommand,373,0,373,5000,0.0,L,PLC_C02_M04,PLC_C02_M04,11
0,0,False,CMD_PLC_C02_M04_A2_C02_M04,ControlCommand,784,1,784,5000,0.0,L,PLC_C02_M04,PLC_C02_M04,11
0,0,False,CMD_PLC_C02_M04_A3_C02_M04,ControlCommand,833,0,833,5000,0.0,L,PLC_C02_M04,PLC_C02_M04,11
400,4,True,CMD_PLC_C02_M04_A4_C02_M04,ControlCommand,773,1,777,5000,0.0008,L,PLC_C02_M04,PLC_C02_M04,11
0,0,False,CMD_PLC_C03_M01_A1_C03_M01,ControlCommand,606,0,606,5000,0.0,L,PLC_C03_M01,PLC_C03_M01,11
0,0,False,CMD_PLC_C03_M01_A2_C03_M01,ControlCommand,189,0,189,5000,0.0,L,PLC_C03_M01,PLC_C03_M01,11
0,0,False,CMD_PLC_C03_M01_A3_C03_M01,ControlCommand,137,0,137,5000,0.0,L,PLC_C03_M01,PLC_C03_M01,11
0,0,False,CMD_PLC_C03_M01_A4_C03_M01,ControlCommand,547,0,547,5000,0.0,L,PLC_C03_M01,PLC_C03_M01,11
0,0,False,CMD_PLC_C03_M02_A1_C03_M02,ControlCommand,756,0,756,5000,0.0,L,PLC_C03_M02,PLC_C03_M02,11
0,0,False,CMD_PLC_C03_M02_A2_C03_M02,ControlCommand,542,0,542,5000,0.0,L,PLC_C03_M02,PLC_C03_M02,11
0,0,False,CMD_PLC_C03_M02_A3_C03_M02,ControlCommand,181,0,181,5000,0.0,L,PLC_C03_M02,PLC_C03_M02,11
0,0,False,CMD_PLC_C03_M02_A4_C03_M02,ControlCommand,113,0,113,5000,0.0,L,PLC_C03_M02,PLC_C03_M02,11
0,0,False,CMD_PLC_C03_M03_A1_C03_M03,ControlCommand,879,0,879,5000,0.0,L,PLC_C03_M03,PLC_C03_M03,11
0,0,False,CMD_PLC_C03_M03_A2_C03_M03,ControlCommand,453,0,453,5000,0.0,L,PLC_C03_M03,PLC_C03_M03,11
0,0,False,CMD_PLC_C03_M03_A3_C03_M03,ControlCommand,39,0,39,5000,0.0,L,PLC_C03_M03,PLC_C03_M03,11
0,0,False,CMD_PLC_C03_M03_A4_C03_M03,ControlCommand,838,0,838,5000,0.0,L,PLC_C03_M03,PLC_C03_M03,11
0,0,False,CMD_PLC_C03_M04_A1_C03_M04,ControlCommand,298,0,298,5000,0.0,L,PLC_C03_M04,PLC_C03_M04,11
0,0,False,CMD_PLC_C03_M04_A2_C03_M04,ControlCommand,360,0,360,5000,0.0,L,PLC_C03_M04,PLC_C03_M04,11
0,0,False,CMD_PLC_C03_M04_A3_C03_M04,ControlCommand,826,0,826,5000,0.0,L,PLC_C03_M04,PLC_C03_M04,11
0,0,False,CMD_PLC_C03_M04_A4_C03_M04,ControlCommand,181,0,181,5000,0.0,L,PLC_C03_M04,PLC_C03_M04,11
0,0,False,CMD_PLC_C04_M01_A1_C04_M01,ControlCommand,34,0,34,5000,0.0,L,PLC_C04_M01,PLC_C04_M01,11
0,0,False,CMD_PLC_C04_M01_A2_C04_M01,ControlCommand,276,0,276,5000,0.0,L,PLC_C04_M01,PLC_C04_M01,11
0,0,False,CMD_PLC_C04_M01_A3_C04_M01,ControlCommand,755,0,755,5000,0.0,L,PLC_C04_M01,PLC_C04_M01,11
0,0,False,CMD_PLC_C04_M01_A4_C04_M01,ControlCommand,447,0,447,5000,0.0,L,PLC_C04_M01,PLC_C04_M01,11
0,0,False,CMD_PLC_C04_M02_A1_C04_M02,ControlCommand,324,0,324,5000,0.0,L,PLC_C04_M02,PLC_C04_M02,11
0,0,False,CMD_PLC_C04_M02_A2_C04_M02,ControlCommand,843,0,843,5000,0.0,L,PLC_C04_M02,PLC_C04_M02,11
0,0,False,CMD_PLC_C04_M02_A3_C04_M02,ControlCommand,142,0,142,5000,0.0,L,PLC_C04_M02,PLC_C04_M02,11
0,0,False,CMD_PLC_C04_M02_A4_C04_M02,ControlCommand,743,0,743,5000,0.0,L,PLC_C04_M02,PLC_C04_M02,11
0,0,False,CMD_PLC_C04_M03_A1_C04_M03,ControlCommand,960,0,960,5000,0.0,L,PLC_C04_M03,PLC_C04_M03,11
0,0,False,CMD_PLC_C04_M03_A2_C04_M03,ControlCommand,130,0,130,5000,0.0,L,PLC_C04_M03,PLC_C04_M03,11
0,0,False,CMD_PLC_C04_M03_A3_C04_M03,ControlCommand,99,0,99,5000,0.0,L,PLC_C04_M03,PLC_C04_M03,11
0,0,False,CMD_PLC_C04_M03_A4_C04_M03,ControlCommand,723,0,723,5000,0.0,L,PLC_C04_M03,PLC_C04_M03,11
0,0,False,CMD_PLC_C04_M04_A1_C04_M04,ControlCommand,666,0,666,5000,0.0,L,PLC_C04_M04,PLC_C04_M04,11
0,0,False,CMD_PLC_C04_M04_A2_C04_M04,ControlCommand,122,0,122,5000,0.0,L,PLC_C04_M04,PLC_C04_M04,11
0,0,False,CMD_PLC_C04_M04_A3_C04_M04,ControlCommand,451,0,451,5000,0.0,L,PLC_C04_M04,PLC_C04_M04,11
0,0,False,CMD_PLC_C04_M04_A4_C04_M04,ControlCommand,404,0,404,5000,0.0,L,PLC_C04_M04,PLC_C04_M04,11
0,0,False,CMD_PLC_C05_M01_A1_C05_M01,ControlCommand,679,0,679,5000,0.0,L,PLC_C05_M01,PLC_C05_M01,11
0,0,False,CMD_PLC_C05_M01_A2_C05_M01,ControlCommand,813,0,813,5000,0.0,L,PLC_C05_M01,PLC_C05_M01,11
0,0,False,CMD_PLC_C05_M01_A3_C05_M01,ControlCommand,317,0,317,5000,0.0,L,PLC_C05_M01,PLC_C05_M01,11
0,0,False,CMD_PLC_C05_M01_A4_C05_M01,ControlCommand,876,0,876,5000,0.0,L,PLC_C05_M01,PLC_C05_M01,11
0,0,False,CMD_PLC_C05_M02_A1_C05_M02,ControlCommand,154,0,154,5000,0.0,L,PLC_C05_M02,PLC_C05_M02,11
0,0,False,CMD_PLC_C05_M02_A2_C05_M02,ControlCommand,738,0,738,5000,0.0,L,PLC_C05_M02,PLC_C05_M02,11
0,0,False,CMD_PLC_C05_M02_A3_C05_M02,ControlCommand,886,0,886,5000,0.0,L,PLC_C05_M02,PLC_C05_M02,11
0,0,False,CMD_PLC_C05_M02_A4_C05_M02,ControlCommand,434,0,434,5000,0.0,L,PLC_C05_M02,PLC_C05_M02,11
0,0,False,CMD_PLC_C05_M03_A1_C05_M03,ControlCommand,318,0,318,5000,0.0,L,PLC_C05_M03,PLC_C05_M03,11
0,0,False,CMD_PLC_C05_M03_A2_C05_M03,ControlCommand,961,0,961,5000,0.0,L,PLC_C05_M03,PLC_C05_M03,11
0,0,False,CMD_PLC_C05_M03_A3_C05_M03,ControlCommand,677,0,677,5000,0.0,L,PLC_C05_M03,PLC_C05_M03,11
0,0,False,CMD_PLC_C05_M03_A4_C05_M03,ControlCommand,653,0,653,5000,0.0,L,PLC_C05_M03,PLC_C05_M03,11
0,0,False,CMD_PLC_C05_M04_A1_C05_M04,ControlCommand,822,0,822,5000,0.0,L,PLC_C05_M04,PLC_C05_M04,11
600,6,True,CMD_PLC_C05_M04_A2_C05_M04,ControlCommand,43,1,49,5000,0.0012,L,PLC_C05_M04,PLC_C05_M04,11
0,0,False,CMD_PLC_C05_M04_A3_C05_M04,ControlCommand,143,0,143,5000,0.0,L,PLC_C05_M04,PLC_C05_M04,11
0,0,False,CMD_PLC_C05_M04_A4_C05_M04,ControlCommand,331,0,331,5000,0.0,L,PLC_C05_M04,PLC_C05_M04,11
0,0,False,CMD_PLC_C06_M01_A1_C06_M01,ControlCommand,11,0,11,5000,0.0,L,PLC_C06_M01,PLC_C06_M01,11
0,0,False,CMD_PLC_C06_M01_A2_C06_M01,ControlCommand,185,0,185,5000,0.0,L,PLC_C06_M01,PLC_C06_M01,11
0,0,False,CMD_PLC_C06_M01_A3_C06_M01,ControlCommand,994,0,994,5000,0.0,L,PLC_C06_M01,PLC_C06_M01,11
0,0,False,CMD_PLC_C06_M01_A4_C06_M01,ControlCommand,489,0,489,5000,0.0,L,PLC_C06_M01,PLC_C06_M01,11
1000,10,True,CMD_PLC_C06_M02_A1_C06_M02,ControlCommand,584,1,594,5000,0.002,L,PLC_C06_M02,PLC_C06_M02,11
0,0,False,CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,595,1,595,5000,0.0,L,PLC_C06_M02,PLC_C06_M02,11
0,0,False,CMD_PLC_C06_M02_A3_C06_M02,ControlCommand,985,1,985,5000,0.0,L,PLC_C06_M02,PLC_C06_M02,11
500,5,True,CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,974,1,979,5000,0.001,L,PLC_C06_M02,PLC_C06_M02,11
0,0,False,CMD_PLC_C06_M03_A1_C06_M03,ControlCommand,85,0,85,5000,0.0,L,PLC_C06_M03,PLC_C06_M03,11
0,0,False,CMD_PLC_C06_M03_A2_C06_M03,ControlCommand,386,0,386,5000,0.0,L,PLC_C06_M03,PLC_C06_M03,11
0,0,False,CMD_PLC_C06_M03_A3_C06_M03,ControlCommand,964,0,964,5000,0.0,L,PLC_C06_M03,PLC_C06_M03,11
0,0,False,CMD_PLC_C06_M03_A4_C06_M03,ControlCommand,825,0,825,5000,0.0,L,PLC_C06_M03,PLC_C06_M03,11
0,0,False,CMD_PLC_C06_M04_A1_C06_M04,ControlCommand,217,0,217,5000,0.0,L,PLC_C06_M04,PLC_C06_M04,11
0,0,False,CMD_PLC_C06_M04_A2_C06_M04,ControlCommand,241,0,241,5000,0.0,L,PLC_C06_M04,PLC_C06_M04,11
0,0,False,CMD_PLC_C06_M04_A3_C06_M04,ControlCommand,263,0,263,5000,0.0,L,PLC_C06_M04,PLC_C06_M04,11
0,0,False,CMD_PLC_C06_M04_A4_C06_M04,ControlCommand,3,0,3,5000,0.0,L,PLC_C06_M04,PLC_C06_M04,11
0,0,False,CMD_PLC_C07_M01_A1_C07_M01,ControlCommand,687,0,687,5000,0.0,L,PLC_C07_M01,PLC_C07_M01,11
0,0,False,CMD_PLC_C07_M01_A2_C07_M01,ControlCommand,975,0,975,5000,0.0,L,PLC_C07_M01,PLC_C07_M01,11
0,0,False,CMD_PLC_C07_M01_A3_C07_M01,ControlCommand,843,0,843,5000,0.0,L,PLC_C07_M01,PLC_C07_M01,11
0,0,False,CMD_PLC_C07_M01_A4_C07_M01,ControlCommand,295,0,295,5000,0.0,L,PLC_C07_M01,PLC_C07_M01,11
0,0,False,CMD_PLC_C07_M02_A1_C07_M02,ControlCommand,175,0,175,5000,0.0,L,PLC_C07_M02,PLC_C07_M02,11
