deadline_ticks,destination,flow_id,flow_kind,frames_per_hypercycle,optimizer_input_excludes_topology,original_release_ticks,period_ticks,qualified,same_scale_grouping_pass,scale,scenario,source,source_egress,source_egress_link,topology,tx_ticks,upper_release_ticks
4000,A1_C01_M01,CMD_PLC_C01_M01_A1_C01_M01,ControlCommand,16,True,659,5000,True,True,M,M_RING,PLC_C01_M01,PLC_C01_M01,a_PLC_C01_M01_SW_C01_M01_CTRL,RING,11,1000
4000,A2_C01_M01,CMD_PLC_C01_M01_A2_C01_M01,ControlCommand,16,True,514,5000,True,True,M,M_RING,PLC_C01_M01,PLC_C01_M01,a_PLC_C01_M01_SW_C01_M01_CTRL,RING,11,1000
4000,A3_C01_M01,CMD_PLC_C01_M01_A3_C01_M01,ControlCommand,16,True,181,5000,True,True,M,M_RING,PLC_C01_M01,PLC_C01_M01,a_PLC_C01_M01_SW_C01_M01_CTRL,RING,11,1000
4000,A4_C01_M01,CMD_PLC_C01_M01_A4_C01_M01,ControlCommand,16,True,945,5000,True,True,M,M_RING,PLC_C01_M01,PLC_C01_M01,a_PLC_C01_M01_SW_C01_M01_CTRL,RING,11,1000
4000,A1_C01_M02,CMD_PLC_C01_M02_A1_C01_M02,ControlCommand,16,True,968,5000,True,True,M,M_RING,PLC_C01_M02,PLC_C01_M02,a_PLC_C01_M02_SW_C01_M02_CTRL,RING,11,1000
4000,A2_C01_M02,CMD_PLC_C01_M02_A2_C01_M02,ControlCommand,16,True,59,5000,True,True,M,M_RING,PLC_C01_M02,PLC_C01_M02,a_PLC_C01_M02_SW_C01_M02_CTRL,RING,11,1000
4000,A3_C01_M02,CMD_PLC_C01_M02_A3_C01_M02,ControlCommand,16,True,738,5000,True,True,M,M_RING,PLC_C01_M02,PLC_C01_M02,a_PLC_C01_M02_SW_C01_M02_CTRL,RING,11,1000
4000,A4_C01_M02,CMD_PLC_C01_M02_A4_C01_M02,ControlCommand,16,True,540,5000,True,True,M,M_RING,PLC_C01_M02,PLC_C01_M02,a_PLC_C01_M02_SW_C01_M02_CTRL,RING,11,1000
4000,A1_C01_M03,CMD_PLC_C01_M03_A1_C01_M03,ControlCommand,16,True,166,5000,True,True,M,M_RING,PLC_C01_M03,PLC_C01_M03,a_PLC_C01_M03_SW_C01_M03_CTRL,RING,11,1000
4000,A2_C01_M03,CMD_PLC_C01_M03_A2_C01_M03,ControlCommand,16,True,49,5000,True,True,M,M_RING,PLC_C01_M03,PLC_C01_M03,a_PLC_C01_M03_SW_C01_M03_CTRL,RING,11,1000
4000,A3_C01_M03,CMD_PLC_C01_M03_A3_C01_M03,ControlCommand,16,True,834,5000,True,True,M,M_RING,PLC_C01_M03,PLC_C01_M03,a_PLC_C01_M03_SW_C01_M03_CTRL,RING,11,1000
