changed_flow_count,constraint_count,flow_count,instance_count,max_shift_ticks,optimal,original_collision_edges,original_mvc_size,scale,solve_ms,solver_status,source,source_egress,total_shift_ticks
0,141,6,10,0,True,0,0,L,48.584,SAT,CC_C01,CC_C01,0
0,141,6,10,0,True,0,0,L,54.466,SAT,CC_C02,CC_C02,0
1,141,6,10,12,True,1,1,L,78.122,SAT,CC_C03,CC_C03,12
0,141,6,10,0,True,0,0,L,50.669,SAT,CC_C04,CC_C04,0
1,141,6,10,21,True,1,1,L,70.234,SAT,CC_C05,CC_C05,21
0,141,6,10,0,True,0,0,L,56.913,SAT,CC_C06,CC_C06,0
0,141,6,10,0,True,0,0,L,43.981,SAT,CC_C07,CC_C07,0
0,141,6,10,0,True,0,0,L,54.069,SAT,CC_C08,CC_C08,0
0,141,6,10,0,True,0,0,L,53.451,SAT,CC_C09,CC_C09,0
0,141,6,10,0,True,0,0,L,54.636,SAT,CC_C10,CC_C10,0
0,141,6,10,0,True,0,0,L,55.909,SAT,CC_C11,CC_C11,0
0,141,6,10,0,True,0,0,L,45.032,SAT,CC_C12,CC_C12,0
0,141,6,10,0,True,0,0,L,43.868,SAT,CC_C13,CC_C13,0
0,141,6,10,0,True,0,0,L,47.481,SAT,CC_C14,CC_C14,0
0,141,6,10,0,True,0,0,L,43.153,SAT,CC_C15,CC_C15,0
0,141,6,10,0,True,0,0,L,54.813,SAT,CC_C16,CC_C16,0
0,5391,5,68,0,True,0,0,L,442.842,SAT,PLC_C01_M01,PLC_C01_M01,0
0,5391,5,68,0,True,0,0,L,442.408,SAT,PLC_C01_M02,PLC_C01_M02,0
0,5391,5,68,0,True,0,0,L,443.574,SAT,PLC_C01_M03,PLC_C01_M03,0
0,5391,5,68,0,True,0,0,L,443.269,SAT,PLC_C01_M04,PLC_C01_M04,0
0,5391,5,68,0,True,0,0,L,442.978,SAT,PLC_C02_M01,PLC_C02_M01,0
0,5391,5,68,0,True,0,0,L,453.041,SAT,PLC_C02_M02,PLC_C02_M02,0
0,5391,5,68,0,True,0,0,L,459.465,SAT,PLC_C02_M03,PLC_C02_M03,0
1,5391,5,68,4,True,1,1,L,455.017,SAT,PLC_C02_M04,PLC_C02_M04,4
0,5391,5,68,0,True,0,0,L,455.658,SAT,PLC_C03_M01,PLC_C03_M01,0
0,5391,5,68,0,True,0,0,L,450.828,SAT,PLC_C03_M02,PLC_C03_M02,0
0,5391,5,68,0,True,0,0,L,447.801,SAT,PLC_C03_M03,PLC_C03_M03,0
0,5391,5,68,0,True,0,0,L,444.103,SAT,PLC_C03_M04,PLC_C03_M04,0
0,5391,5,68,0,True,0,0,L,444.875,SAT,PLC_C04_M01,PLC_C04_M01,0
0,5391,5,68,0,True,0,0,L,448.457,SAT,PLC_C04_M02,PLC_C04_M02,0
0,5391,5,68,0,True,0,0,L,444.63,SAT,PLC_C04_M03,PLC_C04_M03,0
0,5391,5,68,0,True,0,0,L,439.615,SAT,PLC_C04_M04,PLC_C04_M04,0
0,5391,5,68,0,True,0,0,L,445.518,SAT,PLC_C05_M01,PLC_C05_M01,0
0,5391,5,68,0,True,0,0,L,447.271,SAT,PLC_C05_M02,PLC_C05_M02,0
0,5391,5,68,0,True,0,0,L,444.366,SAT,PLC_C05_M03,PLC_C05_M03,0
1,5391,5,68,6,True,1,1,L,460.609,SAT,PLC_C05_M04,PLC_C05_M04,6
0,5391,5,68,0,True,0,0,L,445.948,SAT,PLC_C06_M01,PLC_C06_M01,0
2,5391,5,68,10,True,2,2,L,465.506,SAT,PLC_C06_M02,PLC_C06_M02,15
0,5391,5,68,0,True,0,0,L,444.121,SAT,PLC_C06_M03,PLC_C06_M03,0
0,5391,5,68,0,True,0,0,L,448.92,SAT,PLC_C06_M04,PLC_C06_M04,0
0,5391,5,68,0,True,0,0,L,452.166,SAT,PLC_C07_M01,PLC_C07_M01,0
0,5391,5,68,0,True,0,0,L,449.643,SAT,PLC_C07_M02,PLC_C07_M02,0
0,5391,5,68,0,True,0,0,L,446.984,SAT,PLC_C07_M03,PLC_C07_M03,0
0,5391,5,68,0,True,0,0,L,445.037,SAT,PLC_C07_M04,PLC_C07_M04,0
0,5391,5,68,0,True,0,0,L,444.598,SAT,PLC_C08_M01,PLC_C08_M01,0
0,5391,5,68,0,True,0,0,L,446.169,SAT,PLC_C08_M02,PLC_C08_M02,0
0,5391,5,68,0,True,0,0,L,445.867,SAT,PLC_C08_M03,PLC_C08_M03,0
0,5391,5,68,0,True,0,0,L,443.947,SAT,PLC_C08_M04,PLC_C08_M04,0
0,5391,5,68,0,True,0,0,L,446.889,SAT,PLC_C09_M01,PLC_C09_M01,0
1,5391,5,68,10,True,1,1,L,460.793,SAT,PLC_C09_M02,PLC_C09_M02,10
0,5391,5,68,0,True,0,0,L,446.626,SAT,PLC_C09_M03,PLC_C09_M03,0
0,5391,5,68,0,True,0,0,L,444.172,SAT,PLC_C09_M04,PLC_C09_M04,0
0,5391,5,68,0,True,0,0,L,444.956,SAT,PLC_C10_M01,PLC_C10_M01,0
