level,switch,degree
R0_GRID,sw01,2
R0_GRID,sw02,3
R0_GRID,sw03,3
R0_GRID,sw04,3
R0_GRID,sw05,3
R0_GRID,sw06,3
R0_GRID,sw07,3
R0_GRID,sw08,2
R0_GRID,sw09,3
R0_GRID,sw10,4
R0_GRID,sw11,4
R0_GRID,sw12,4
R0_GRID,sw13,4
R0_GRID,sw14,4
R0_GRID,sw15,4
R0_GRID,sw16,3
R0_GRID,sw17,3
R0_GRID,sw18,4
R0_GRID,sw19,4
R0_GRID,sw20,4
R0_GRID,sw21,4
R0_GRID,sw22,4
R0_GRID,sw23,4
R0_GRID,sw24,3
R0_GRID,sw25,3
R0_GRID,sw26,4
R0_GRID,sw27,4
R0_GRID,sw28,4
R0_GRID,sw29,4
R0_GRID,sw30,4
R0_GRID,sw31,4
R0_GRID,sw32,3
R0_GRID,sw33,2
R0_GRID,sw34,3
R0_GRID,sw35,3
R0_GRID,sw36,3
R0_GRID,sw37,3
R0_GRID,sw38,3
R0_GRID,sw39,3
R0_GRID,sw40,2
R1_CURRENT,sw01,3
R1_CURRENT,sw02,3
R1_CURRENT,sw03,3
R1_CURRENT,sw04,3
R1_CURRENT,sw05,4
R1_CURRENT,sw06,3
R1_CURRENT,sw07,3
R1_CURRENT,sw08,2
R1_CURRENT,sw09,3
R1_CURRENT,sw10,5
R1_CURRENT,sw11,5
R1_CURRENT,sw12,4
R1_CURRENT,sw13,4
R1_CURRENT,sw14,5
R1_CURRENT,sw15,5
R1_CURRENT,sw16,3
R1_CURRENT,sw17,3
R1_CURRENT,sw18,4
R1_CURRENT,sw19,5
R1_CURRENT,sw20,5
R1_CURRENT,sw21,4
R1_CURRENT,sw22,4
R1_CURRENT,sw23,5
R1_CURRENT,sw24,4
R1_CURRENT,sw25,4
R1_CURRENT,sw26,4
R1_CURRENT,sw27,4
R1_CURRENT,sw28,5
R1_CURRENT,sw29,5
R1_CURRENT,sw30,4
R1_CURRENT,sw31,4
R1_CURRENT,sw32,4
R1_CURRENT,sw33,2
R1_CURRENT,sw34,4
R1_CURRENT,sw35,3
R1_CURRENT,sw36,3
R1_CURRENT,sw37,3
R1_CURRENT,sw38,4
R1_CURRENT,sw39,3
R1_CURRENT,sw40,2
R2_D4,sw01,3
R2_D4,sw02,4
R2_D4,sw03,3
R2_D4,sw04,4
R2_D4,sw05,4
R2_D4,sw06,4
R2_D4,sw07,4
R2_D4,sw08,3
R2_D4,sw09,3
R2_D4,sw10,5
R2_D4,sw11,5
R2_D4,sw12,4
R2_D4,sw13,4
R2_D4,sw14,5
R2_D4,sw15,5
R2_D4,sw16,4
R2_D4,sw17,4
R2_D4,sw18,4
R2_D4,sw19,5
R2_D4,sw20,5
R2_D4,sw21,4
R2_D4,sw22,4
R2_D4,sw23,5
R2_D4,sw24,4
R2_D4,sw25,4
R2_D4,sw26,4
R2_D4,sw27,4
R2_D4,sw28,5
R2_D4,sw29,5
R2_D4,sw30,4
R2_D4,sw31,4
R2_D4,sw32,4
R2_D4,sw33,3
R2_D4,sw34,4
R2_D4,sw35,4
R2_D4,sw36,3
R2_D4,sw37,4
R2_D4,sw38,4
R2_D4,sw39,3
R2_D4,sw40,2
R3_D5,sw01,5
R3_D5,sw02,5
R3_D5,sw03,5
R3_D5,sw04,5
R3_D5,sw05,5
R3_D5,sw06,5
R3_D5,sw07,5
R3_D5,sw08,4
R3_D5,sw09,5
R3_D5,sw10,5
R3_D5,sw11,5
R3_D5,sw12,5
R3_D5,sw13,5
R3_D5,sw14,5
R3_D5,sw15,6
R3_D5,sw16,5
R3_D5,sw17,5
R3_D5,sw18,5
R3_D5,sw19,5
R3_D5,sw20,5
R3_D5,sw21,5
R3_D5,sw22,5
R3_D5,sw23,6
R3_D5,sw24,5
R3_D5,sw25,5
R3_D5,sw26,5
R3_D5,sw27,5
R3_D5,sw28,5
R3_D5,sw29,5
R3_D5,sw30,5
R3_D5,sw31,5
R3_D5,sw32,5
R3_D5,sw33,5
R3_D5,sw34,5
R3_D5,sw35,5
R3_D5,sw36,5
R3_D5,sw37,5
R3_D5,sw38,5
R3_D5,sw39,5
R3_D5,sw40,4
R4_D6,sw01,5
R4_D6,sw02,5
R4_D6,sw03,6
R4_D6,sw04,6
R4_D6,sw05,6
R4_D6,sw06,6
R4_D6,sw07,5
R4_D6,sw08,5
R4_D6,sw09,6
R4_D6,sw10,7
R4_D6,sw11,6
R4_D6,sw12,6
R4_D6,sw13,6
R4_D6,sw14,7
R4_D6,sw15,7
R4_D6,sw16,6
R4_D6,sw17,6
R4_D6,sw18,6
R4_D6,sw19,7
R4_D6,sw20,7
R4_D6,sw21,6
R4_D6,sw22,6
R4_D6,sw23,6
R4_D6,sw24,6
R4_D6,sw25,6
R4_D6,sw26,6
R4_D6,sw27,6
R4_D6,sw28,7
R4_D6,sw29,6
R4_D6,sw30,6
R4_D6,sw31,6
R4_D6,sw32,6
R4_D6,sw33,5
R4_D6,sw34,6
R4_D6,sw35,6
R4_D6,sw36,6
R4_D6,sw37,6
R4_D6,sw38,6
R4_D6,sw39,6
R4_D6,sw40,5
