level,fault_id,graph_connected,status,connectivity_margin_min,connectivity_margin_mean
R0_GRID,l_sw01_sw02,True,SAT,1,2
R0_GRID,l_sw01_sw09,True,SAT,1,2
R0_GRID,l_sw02_sw03,True,SAT,2,2.25
R0_GRID,l_sw03_sw04,True,SAT,2,2.5
R0_GRID,l_sw03_sw11,True,SAT,2,2.25
R0_GRID,l_sw04_sw05,True,SAT,2,2.5
R0_GRID,l_sw05_sw06,True,SAT,2,2.5
R0_GRID,l_sw05_sw13,True,SAT,2,2.5
R0_GRID,l_sw06_sw07,True,SAT,2,2.25
R0_GRID,l_sw07_sw15,True,SAT,2,2.25
R0_GRID,l_sw09_sw10,True,SAT,2,2
R0_GRID,l_sw09_sw17,True,SAT,2,2.25
R0_GRID,l_sw10_sw11,True,SAT,2,2.5
R0_GRID,l_sw11_sw12,True,SAT,2,2.75
R0_GRID,l_sw11_sw19,True,SAT,2,2.875
R0_GRID,l_sw12_sw13,True,SAT,2,3
R0_GRID,l_sw13_sw14,True,SAT,2,2.75
R0_GRID,l_sw13_sw21,True,SAT,3,3.125
R0_GRID,l_sw14_sw15,True,SAT,2,3
R0_GRID,l_sw15_sw23,True,SAT,2,3
R0_GRID,l_sw17_sw18,True,SAT,2,2
R0_GRID,l_sw17_sw25,True,SAT,2,2
R0_GRID,l_sw18_sw19,True,SAT,3,3
R0_GRID,l_sw19_sw20,True,SAT,3,3
R0_GRID,l_sw19_sw27,True,SAT,3,3
R0_GRID,l_sw20_sw21,True,SAT,3,3
R0_GRID,l_sw21_sw22,True,SAT,3,3
R0_GRID,l_sw21_sw29,True,SAT,3,3
R0_GRID,l_sw22_sw23,True,SAT,3,3
R0_GRID,l_sw23_sw31,True,SAT,3,3
R0_GRID,l_sw25_sw33,True,SAT,1,1
R0_GRID,l_sw27_sw35,True,SAT,2,2
R0_GRID,l_sw29_sw37,True,SAT,2,2
R0_GRID,l_sw31_sw39,True,SAT,2,2
R1_CURRENT,l_sw01_sw02,True,SAT,2,2.5
R1_CURRENT,l_sw01_sw09,True,SAT,2,2.5
R1_CURRENT,l_sw02_sw03,True,SAT,2,2.75
R1_CURRENT,l_sw03_sw04,True,SAT,2,3
R1_CURRENT,l_sw03_sw11,True,SAT,2,2.75
R1_CURRENT,l_sw04_sw05,True,SAT,3,3
R1_CURRENT,l_sw05_sw06,True,SAT,3,3
R1_CURRENT,l_sw05_sw13,True,SAT,3,3
R1_CURRENT,l_sw06_sw07,True,SAT,2,2.75
R1_CURRENT,l_sw07_sw15,True,SAT,2,2.75
R1_CURRENT,l_sw09_sw10,True,SAT,2,2
R1_CURRENT,l_sw09_sw17,True,SAT,2,2.375
R1_CURRENT,l_sw10_sw11,True,SAT,2,2.5
R1_CURRENT,l_sw11_sw12,True,SAT,2,3
R1_CURRENT,l_sw11_sw19,True,SAT,3,3.25
R1_CURRENT,l_sw12_sw13,True,SAT,2,3.25
R1_CURRENT,l_sw13_sw14,True,SAT,2,2.75
R1_CURRENT,l_sw13_sw21,True,SAT,3,3.375
R1_CURRENT,l_sw14_sw15,True,SAT,2,3
R1_CURRENT,l_sw15_sw23,True,SAT,3,3.375
R1_CURRENT,l_sw17_sw18,True,SAT,2,2
R1_CURRENT,l_sw17_sw25,True,SAT,2,2.5
R1_CURRENT,l_sw18_sw19,True,SAT,3,3
R1_CURRENT,l_sw19_sw20,True,SAT,3,3
R1_CURRENT,l_sw19_sw27,True,SAT,3,3
R1_CURRENT,l_sw20_sw21,True,SAT,3,3
R1_CURRENT,l_sw21_sw22,True,SAT,3,3
R1_CURRENT,l_sw21_sw29,True,SAT,3,3.375
R1_CURRENT,l_sw22_sw23,True,SAT,3,3
R1_CURRENT,l_sw23_sw31,True,SAT,3,3
R1_CURRENT,l_sw25_sw33,True,SAT,1,1
R1_CURRENT,l_sw27_sw35,True,SAT,2,2
R1_CURRENT,l_sw29_sw37,True,SAT,2,2
R1_CURRENT,l_sw31_sw39,True,SAT,2,2
R2_D4,l_sw01_sw02,True,SAT,2,2.75
R2_D4,l_sw01_sw09,True,SAT,2,2.75
R2_D4,l_sw02_sw03,True,SAT,2,3
R2_D4,l_sw03_sw04,True,SAT,2,3.25
R2_D4,l_sw03_sw11,True,SAT,2,2.75
R2_D4,l_sw04_sw05,True,SAT,3,3.25
R2_D4,l_sw05_sw06,True,SAT,3,3.5
R2_D4,l_sw05_sw13,True,SAT,3,3.25
R2_D4,l_sw06_sw07,True,SAT,3,3.25
R2_D4,l_sw07_sw15,True,SAT,3,3.25
R2_D4,l_sw09_sw10,True,FORWARDING_CONFLICT,2,2.5
R2_D4,l_sw09_sw17,True,SAT,2,2.875
R2_D4,l_sw10_sw11,True,FORWARDING_CONFLICT,3,3
R2_D4,l_sw11_sw12,True,SAT,3,3.5
R2_D4,l_sw11_sw19,True,SAT,3,3.5
R2_D4,l_sw12_sw13,True,SAT,3,3.5
R2_D4,l_sw13_sw14,True,SAT,3,3.25
R2_D4,l_sw13_sw21,True,SAT,3,3.625
R2_D4,l_sw14_sw15,True,SAT,3,3.5
R2_D4,l_sw15_sw23,True,SAT,3,3.625
R2_D4,l_sw17_sw18,True,FORWARDING_CONFLICT,3,3
R2_D4,l_sw17_sw25,True,SAT,3,3
R2_D4,l_sw18_sw19,True,FORWARDING_CONFLICT,3,3.5
R2_D4,l_sw19_sw20,True,SAT,3,3.5
R2_D4,l_sw19_sw27,True,FORWARDING_CONFLICT,3,3.5
R2_D4,l_sw20_sw21,True,SAT,3,3.5
R2_D4,l_sw21_sw22,True,SAT,3,3
R2_D4,l_sw21_sw29,True,SAT,3,3.875
R2_D4,l_sw22_sw23,True,SAT,3,3
R2_D4,l_sw23_sw31,True,SAT,3,3
R2_D4,l_sw25_sw33,True,SAT,2,2
R2_D4,l_sw27_sw35,True,FORWARDING_CONFLICT,3,3
R2_D4,l_sw29_sw37,True,SAT,3,3
R2_D4,l_sw31_sw39,True,SAT,2,2
R3_D5,l_sw01_sw02,True,FORWARDING_CONFLICT,4,4.5
R3_D5,l_sw01_sw09,True,FORWARDING_CONFLICT,4,4.5
R3_D5,l_sw02_sw03,True,FORWARDING_CONFLICT,4,4.75
R3_D5,l_sw03_sw04,True,FORWARDING_CONFLICT,4,4.75
R3_D5,l_sw03_sw11,True,SAT,4,4.5
R3_D5,l_sw04_sw05,True,FORWARDING_CONFLICT,4,4.75
R3_D5,l_sw05_sw06,True,FORWARDING_CONFLICT,4,4.75
R3_D5,l_sw05_sw13,True,SAT,4,4.5
R3_D5,l_sw06_sw07,True,FORWARDING_CONFLICT,4,4.5
R3_D5,l_sw07_sw15,True,SAT,4,4.5
R3_D5,l_sw09_sw10,True,FORWARDING_CONFLICT,4,4.5
R3_D5,l_sw09_sw17,True,FORWARDING_CONFLICT,4,4.625
R3_D5,l_sw10_sw11,True,FORWARDING_CONFLICT,4,4.75
R3_D5,l_sw11_sw12,True,SAT,4,4.75
R3_D5,l_sw11_sw19,True,SAT,4,4.5
R3_D5,l_sw12_sw13,True,SAT,4,4.75
R3_D5,l_sw13_sw14,True,SAT,4,4.75
R3_D5,l_sw13_sw21,True,SAT,4,4.5
R3_D5,l_sw14_sw15,True,SAT,5,5
R3_D5,l_sw15_sw23,True,SAT,5,5
R3_D5,l_sw17_sw18,True,FORWARDING_CONFLICT,4,4
R3_D5,l_sw17_sw25,True,FORWARDING_CONFLICT,4,4.375
R3_D5,l_sw18_sw19,True,FORWARDING_CONFLICT,5,5
R3_D5,l_sw19_sw20,True,SAT,4,4.5
R3_D5,l_sw19_sw27,True,FORWARDING_CONFLICT,4,4.375
R3_D5,l_sw20_sw21,True,SAT,5,5
R3_D5,l_sw21_sw22,True,SAT,4,4.5
R3_D5,l_sw21_sw29,True,SAT,4,4.375
R3_D5,l_sw22_sw23,True,SAT,5,5
R3_D5,l_sw23_sw31,True,SAT,4,4.5
R3_D5,l_sw25_sw33,True,SAT,4,4
R3_D5,l_sw27_sw35,True,FORWARDING_CONFLICT,4,4
R3_D5,l_sw29_sw37,True,SAT,4,4
R3_D5,l_sw31_sw39,True,SAT,4,4
R4_D6,l_sw01_sw02,True,FORWARDING_CONFLICT,4,4.75
R4_D6,l_sw01_sw09,True,FORWARDING_CONFLICT,4,4.75
R4_D6,l_sw02_sw03,True,FORWARDING_CONFLICT,5,5
R4_D6,l_sw03_sw04,True,FORWARDING_CONFLICT,5,5.25
R4_D6,l_sw03_sw11,True,SAT,5,5.25
R4_D6,l_sw04_sw05,True,FORWARDING_CONFLICT,5,5.25
R4_D6,l_sw05_sw06,True,FORWARDING_CONFLICT,5,5
R4_D6,l_sw05_sw13,True,SAT,5,5.25
R4_D6,l_sw06_sw07,True,FORWARDING_CONFLICT,4,4.75
R4_D6,l_sw07_sw15,True,SAT,4,4.75
R4_D6,l_sw09_sw10,True,FORWARDING_CONFLICT,5,5
R4_D6,l_sw09_sw17,True,FORWARDING_CONFLICT,5,5.125
R4_D6,l_sw10_sw11,True,FORWARDING_CONFLICT,5,5.5
R4_D6,l_sw11_sw12,True,SAT,5,5.5
R4_D6,l_sw11_sw19,True,SAT,5,5.625
R4_D6,l_sw12_sw13,True,SAT,5,5.5
R4_D6,l_sw13_sw14,True,FORWARDING_CONFLICT,5,5.5
R4_D6,l_sw13_sw21,True,SAT,5,5.375
R4_D6,l_sw14_sw15,True,FORWARDING_CONFLICT,5,5.75
R4_D6,l_sw15_sw23,True,SAT,5,5.5
R4_D6,l_sw17_sw18,True,FORWARDING_CONFLICT,5,5
R4_D6,l_sw17_sw25,True,FORWARDING_CONFLICT,5,5
R4_D6,l_sw18_sw19,True,FORWARDING_CONFLICT,6,6
R4_D6,l_sw19_sw20,True,SAT,6,6
R4_D6,l_sw19_sw27,True,FORWARDING_CONFLICT,5,5.5
R4_D6,l_sw20_sw21,True,SAT,6,6
R4_D6,l_sw21_sw22,True,FORWARDING_CONFLICT,5,5.5
R4_D6,l_sw21_sw29,True,SAT,5,5.375
R4_D6,l_sw22_sw23,True,FORWARDING_CONFLICT,6,6
R4_D6,l_sw23_sw31,True,FORWARDING_CONFLICT,5,5.375
R4_D6,l_sw25_sw33,True,SAT,4,4
R4_D6,l_sw27_sw35,True,FORWARDING_CONFLICT,5,5
R4_D6,l_sw29_sw37,True,SAT,5,5
R4_D6,l_sw31_sw39,True,FORWARDING_CONFLICT,5,5
