level,policy_id,metric,denominator,pf_mean,pf_p95,pf_max,shared_mean,shared_p95,shared_max
R0_GRID,J020,tt_lost,34,0.0,0.0,0.0,0.0,0.0,0.0
R0_GRID,J020,deadline_miss_count,34,0.0,0.0,0.0,0.0,0.0,0.0
R0_GRID,J020,recovery_duration_us,34,84.97129411764706,128.488,128.488,84.40611764705882,128.488,128.488
R0_GRID,J040,tt_lost,34,0.0,0.0,0.0,0.0,0.0,0.0
R0_GRID,J040,deadline_miss_count,34,0.0,0.0,0.0,0.0,0.0,0.0
R0_GRID,J040,recovery_duration_us,34,84.97129411764706,128.488,128.488,84.40611764705882,128.488,128.488
R0_GRID,J100,tt_lost,34,0.0,0.0,0.0,0.0,0.0,0.0
R0_GRID,J100,deadline_miss_count,34,0.0,0.0,0.0,0.0,0.0,0.0
R0_GRID,J100,recovery_duration_us,34,84.97129411764706,128.488,128.488,84.40611764705882,128.488,128.488
R1_CURRENT,J020,tt_lost,34,0.0,0.0,0.0,0.0,0.0,0.0
R1_CURRENT,J020,deadline_miss_count,34,0.0,0.0,0.0,0.0,0.0,0.0
R1_CURRENT,J020,recovery_duration_us,34,79.11011764705883,117.16,122.824,79.00047058823529,117.16,122.824
R1_CURRENT,J040,tt_lost,34,0.0,0.0,0.0,0.0,0.0,0.0
R1_CURRENT,J040,deadline_miss_count,34,0.0,0.0,0.0,0.0,0.0,0.0
R1_CURRENT,J040,recovery_duration_us,34,79.11011764705883,117.16,122.824,79.00047058823529,117.16,122.824
R1_CURRENT,J100,tt_lost,34,0.0,0.0,0.0,0.0,0.0,0.0
R1_CURRENT,J100,deadline_miss_count,34,0.0,0.0,0.0,0.0,0.0,0.0
R1_CURRENT,J100,recovery_duration_us,34,79.11011764705883,117.16,122.824,79.00047058823529,117.16,122.824
R2_D4,J020,tt_lost,28,0.0,0.0,0.0,0.0,0.0,0.0
R2_D4,J020,deadline_miss_count,28,0.0,0.0,0.0,0.0,0.0,0.0
R2_D4,J020,recovery_duration_us,28,76.17228571428572,117.16,119.992,76.03914285714286,117.16,119.992
R2_D4,J040,tt_lost,28,0.0,0.0,0.0,0.0,0.0,0.0
R2_D4,J040,deadline_miss_count,28,0.0,0.0,0.0,0.0,0.0,0.0
R2_D4,J040,recovery_duration_us,28,76.17228571428572,117.16,119.992,76.03914285714286,117.16,119.992
R2_D4,J100,tt_lost,28,0.0,0.0,0.0,0.0,0.0,0.0
R2_D4,J100,deadline_miss_count,28,0.0,0.0,0.0,0.0,0.0,0.0
R2_D4,J100,recovery_duration_us,28,76.17228571428572,117.16,119.992,76.03914285714286,117.16,119.992
R3_D5,J020,tt_lost,19,0.0,0.0,0.0,0.0,0.0,0.0
R3_D5,J020,deadline_miss_count,19,0.0,0.0,0.0,0.0,0.0,0.0
R3_D5,J020,recovery_duration_us,19,84.71747368421052,117.16,117.16,84.71747368421052,117.16,117.16
R3_D5,J040,tt_lost,19,0.0,0.0,0.0,0.0,0.0,0.0
R3_D5,J040,deadline_miss_count,19,0.0,0.0,0.0,0.0,0.0,0.0
R3_D5,J040,recovery_duration_us,19,84.71747368421052,117.16,117.16,84.71747368421052,117.16,117.16
R3_D5,J100,tt_lost,19,0.0,0.0,0.0,0.0,0.0,0.0
R3_D5,J100,deadline_miss_count,19,0.0,0.0,0.0,0.0,0.0,0.0
R3_D5,J100,recovery_duration_us,19,84.71747368421052,117.16,117.16,84.71747368421052,117.16,117.16
R4_D6,J020,tt_lost,13,0.0,0.0,0.0,0.0,0.0,0.0
R4_D6,J020,deadline_miss_count,13,0.0,0.0,0.0,0.0,0.0,0.0
R4_D6,J020,recovery_duration_us,13,76.83261538461538,117.16,117.16,76.83261538461538,117.16,117.16
R4_D6,J040,tt_lost,13,0.0,0.0,0.0,0.0,0.0,0.0
R4_D6,J040,deadline_miss_count,13,0.0,0.0,0.0,0.0,0.0,0.0
R4_D6,J040,recovery_duration_us,13,76.83261538461538,117.16,117.16,76.83261538461538,117.16,117.16
R4_D6,J100,tt_lost,13,0.0,0.0,0.0,0.0,0.0,0.0
R4_D6,J100,deadline_miss_count,13,0.0,0.0,0.0,0.0,0.0,0.0
R4_D6,J100,recovery_duration_us,13,76.83261538461538,117.16,117.16,76.83261538461538,117.16,117.16
