level,kind,policy_id,layer,use_count
R0_GRID,PF,PF,BASE_GRID,156
R0_GRID,PF,PF,CURRENT_CROSS,0
R0_GRID,PF,PF,D4_EXTRA,0
R0_GRID,PF,PF,D5_EXTRA,0
R0_GRID,PF,PF,D6_EXTRA,0
R0_GRID,PF,PF,BASE_GRID,160
R0_GRID,PF,PF,CURRENT_CROSS,0
R0_GRID,PF,PF,D4_EXTRA,0
R0_GRID,PF,PF,D5_EXTRA,0
R0_GRID,PF,PF,D6_EXTRA,0
R0_GRID,PF,PF,BASE_GRID,156
R0_GRID,PF,PF,CURRENT_CROSS,0
R0_GRID,PF,PF,D4_EXTRA,0
R0_GRID,PF,PF,D5_EXTRA,0
R0_GRID,PF,PF,D6_EXTRA,0
R0_GRID,PF,PF,BASE_GRID,156
R0_GRID,PF,PF,CURRENT_CROSS,0
R0_GRID,PF,PF,D4_EXTRA,0
R0_GRID,PF,PF,D5_EXTRA,0
R0_GRID,PF,PF,D6_EXTRA,0
R0_GRID,PF,PF,BASE_GRID,160
R0_GRID,PF,PF,CURRENT_CROSS,0
R0_GRID,PF,PF,D4_EXTRA,0
R0_GRID,PF,PF,D5_EXTRA,0
R0_GRID,PF,PF,D6_EXTRA,0
R0_GRID,PF,PF,BASE_GRID,156
R0_GRID,PF,PF,CURRENT_CROSS,0
R0_GRID,PF,PF,D4_EXTRA,0
R0_GRID,PF,PF,D5_EXTRA,0
R0_GRID,PF,PF,D6_EXTRA,0
R0_GRID,PF,PF,BASE_GRID,156
R0_GRID,PF,PF,CURRENT_CROSS,0
R0_GRID,PF,PF,D4_EXTRA,0
R0_GRID,PF,PF,D5_EXTRA,0
R0_GRID,PF,PF,D6_EXTRA,0
R0_GRID,PF,PF,BASE_GRID,160
R0_GRID,PF,PF,CURRENT_CROSS,0
R0_GRID,PF,PF,D4_EXTRA,0
R0_GRID,PF,PF,D5_EXTRA,0
R0_GRID,PF,PF,D6_EXTRA,0
R0_GRID,PF,PF,BASE_GRID,156
R0_GRID,PF,PF,CURRENT_CROSS,0
R0_GRID,PF,PF,D4_EXTRA,0
R0_GRID,PF,PF,D5_EXTRA,0
R0_GRID,PF,PF,D6_EXTRA,0
R0_GRID,PF,PF,BASE_GRID,160
R0_GRID,PF,PF,CURRENT_CROSS,0
R0_GRID,PF,PF,D4_EXTRA,0
R0_GRID,PF,PF,D5_EXTRA,0
R0_GRID,PF,PF,D6_EXTRA,0
R0_GRID,PF,PF,BASE_GRID,156
R0_GRID,PF,PF,CURRENT_CROSS,0
R0_GRID,PF,PF,D4_EXTRA,0
R0_GRID,PF,PF,D5_EXTRA,0
R0_GRID,PF,PF,D6_EXTRA,0
R0_GRID,PF,PF,BASE_GRID,164
R0_GRID,PF,PF,CURRENT_CROSS,0
R0_GRID,PF,PF,D4_EXTRA,0
R0_GRID,PF,PF,D5_EXTRA,0
R0_GRID,PF,PF,D6_EXTRA,0
R0_GRID,PF,PF,BASE_GRID,156
R0_GRID,PF,PF,CURRENT_CROSS,0
R0_GRID,PF,PF,D4_EXTRA,0
R0_GRID,PF,PF,D5_EXTRA,0
R0_GRID,PF,PF,D6_EXTRA,0
R0_GRID,PF,PF,BASE_GRID,156
R0_GRID,PF,PF,CURRENT_CROSS,0
R0_GRID,PF,PF,D4_EXTRA,0
R0_GRID,PF,PF,D5_EXTRA,0
R0_GRID,PF,PF,D6_EXTRA,0
R0_GRID,PF,PF,BASE_GRID,164
R0_GRID,PF,PF,CURRENT_CROSS,0
R0_GRID,PF,PF,D4_EXTRA,0
R0_GRID,PF,PF,D5_EXTRA,0
R0_GRID,PF,PF,D6_EXTRA,0
R0_GRID,PF,PF,BASE_GRID,156
R0_GRID,PF,PF,CURRENT_CROSS,0
