level,average_degree,policy_id,candidate_fault_count,candidate_group_count,candidate_compression,final_class_count,realized_compression,compression_gap,shared_class_count,shared_fault_coverage,largest_class_size,storage_compression,union_connected_fraction,graph_disconnected_count
R0_GRID,3.35,J020,34,11,0.6764705882352942,12,0.6470588235294117,0.02941176470588247,9,0.9117647058823529,6,0.6457835595802475,0.8888888888888888,1
R0_GRID,3.35,J040,34,20,0.4117647058823529,20,0.4117647058823529,0.0,14,0.8235294117647058,2,0.41233822668056563,1.0,0
R0_GRID,3.35,J100,34,25,0.2647058823529411,25,0.2647058823529411,0.0,9,0.5294117647058824,2,0.2646278233798811,1.0,0
R1_CURRENT,3.75,J020,34,11,0.6764705882352942,11,0.6764705882352942,0.0,9,0.9411764705882353,6,0.6699573569418822,1.0,0
R1_CURRENT,3.75,J040,34,20,0.4117647058823529,20,0.4117647058823529,0.0,14,0.8235294117647058,2,0.40643548014640796,1.0,0
R1_CURRENT,3.75,J100,34,25,0.2647058823529411,25,0.2647058823529411,0.0,9,0.5294117647058824,2,0.25621550247728464,1.0,0
R2_D4,4.0,J020,34,11,0.6764705882352942,10,0.7058823529411764,-0.02941176470588225,9,0.7941176470588235,4,0.6368644682924924,1.0,0
R2_D4,4.0,J040,34,20,0.4117647058823529,17,0.5,-0.08823529411764708,11,0.6470588235294118,2,0.38786632622812234,1.0,0
R2_D4,4.0,J100,34,25,0.2647058823529411,21,0.38235294117647056,-0.11764705882352944,7,0.4117647058823529,2,0.24223369487646496,1.0,0
R3_D5,5.0,J020,34,11,0.6764705882352942,9,0.7352941176470589,-0.05882352941176472,5,0.4411764705882353,4,0.5207726610644258,1.0,0
R3_D5,5.0,J040,34,20,0.4117647058823529,13,0.6176470588235294,-0.20588235294117652,6,0.35294117647058826,2,0.31033366946778707,1.0,0
R3_D5,5.0,J100,34,25,0.2647058823529411,15,0.5588235294117647,-0.2941176470588236,4,0.23529411764705882,2,0.2031345658263305,1.0,0
R4_D6,6.0,J020,34,11,0.6764705882352942,7,0.7941176470588236,-0.11764705882352944,5,0.3235294117647059,3,0.4618813651802287,1.0,0
R4_D6,6.0,J040,34,20,0.4117647058823529,9,0.7352941176470589,-0.32352941176470595,4,0.23529411764705882,2,0.30477155187042637,1.0,0
R4_D6,6.0,J100,34,25,0.2647058823529411,11,0.6764705882352942,-0.41176470588235303,2,0.11764705882352941,2,0.14771134160572885,1.0,0
