level,flow_id,source_es,destination_es,source_switch,destination_switch,edge_connectivity
R0_GRID,TT01,es01,es12,sw01,sw23,2
R0_GRID,TT02,es02,es13,sw03,sw25,3
R0_GRID,TT03,es03,es14,sw05,sw27,3
R0_GRID,TT04,es04,es15,sw07,sw29,3
R0_GRID,TT05,es05,es16,sw09,sw31,3
R0_GRID,TT06,es06,es17,sw11,sw33,2
R0_GRID,TT07,es07,es18,sw13,sw35,3
R0_GRID,TT08,es08,es19,sw15,sw37,3
R0_GRID,TT09,es09,es20,sw17,sw39,3
R0_GRID,TT10,es10,es01,sw19,sw01,2
R0_GRID,TT11,es11,es02,sw21,sw03,3
R0_GRID,TT12,es12,es03,sw23,sw05,3
R0_GRID,TT13,es13,es04,sw25,sw07,3
R0_GRID,TT14,es14,es05,sw27,sw09,3
R0_GRID,TT15,es15,es06,sw29,sw11,4
R0_GRID,TT16,es16,es07,sw31,sw13,4
R0_GRID,TT17,es17,es08,sw33,sw15,2
R0_GRID,TT18,es18,es09,sw35,sw17,3
R0_GRID,TT19,es19,es10,sw37,sw19,3
R0_GRID,TT20,es20,es11,sw39,sw21,3
R0_GRID,TT21,es01,es13,sw01,sw25,2
R0_GRID,TT22,es02,es14,sw03,sw27,3
R0_GRID,TT23,es03,es15,sw05,sw29,3
R0_GRID,TT24,es04,es16,sw07,sw31,3
R0_GRID,TT25,es05,es17,sw09,sw33,2
R0_GRID,TT26,es06,es18,sw11,sw35,3
R0_GRID,TT27,es07,es19,sw13,sw37,3
R0_GRID,TT28,es08,es20,sw15,sw39,3
R0_GRID,TT29,es09,es01,sw17,sw01,2
R0_GRID,TT30,es10,es02,sw19,sw03,3
R0_GRID,TT31,es11,es03,sw21,sw05,3
R0_GRID,TT32,es12,es04,sw23,sw07,3
R0_GRID,TT33,es13,es05,sw25,sw09,3
R0_GRID,TT34,es14,es06,sw27,sw11,4
R0_GRID,TT35,es15,es07,sw29,sw13,4
R0_GRID,TT36,es16,es08,sw31,sw15,4
R0_GRID,TT37,es17,es09,sw33,sw17,2
R0_GRID,TT38,es18,es10,sw35,sw19,3
R0_GRID,TT39,es19,es11,sw37,sw21,3
R0_GRID,TT40,es20,es12,sw39,sw23,3
R1_CURRENT,TT01,es01,es12,sw01,sw23,3
R1_CURRENT,TT02,es02,es13,sw03,sw25,3
R1_CURRENT,TT03,es03,es14,sw05,sw27,4
R1_CURRENT,TT04,es04,es15,sw07,sw29,3
R1_CURRENT,TT05,es05,es16,sw09,sw31,3
R1_CURRENT,TT06,es06,es17,sw11,sw33,2
R1_CURRENT,TT07,es07,es18,sw13,sw35,3
R1_CURRENT,TT08,es08,es19,sw15,sw37,3
R1_CURRENT,TT09,es09,es20,sw17,sw39,3
R1_CURRENT,TT10,es10,es01,sw19,sw01,3
R1_CURRENT,TT11,es11,es02,sw21,sw03,3
R1_CURRENT,TT12,es12,es03,sw23,sw05,4
R1_CURRENT,TT13,es13,es04,sw25,sw07,3
R1_CURRENT,TT14,es14,es05,sw27,sw09,3
R1_CURRENT,TT15,es15,es06,sw29,sw11,5
