density_tag,identity_pass,redstar_retained_flow_set_sha,redstar_workload_sha,retained_flow_set_exact_equal,rho,ring_retained_flow_set_sha,ring_workload_sha,ror_retained_flow_set_sha,ror_workload_sha,scale,workload_fingerprint_exact_equal
D100,True,d4795d823d370443165812990350ba78e4da3cc46fcbc2d1922348de04301a40,aab68d444a5a3ccf30c767408d9185a79b633af7227a44b0e6ae26d759d3cfe8,True,1/1,d4795d823d370443165812990350ba78e4da3cc46fcbc2d1922348de04301a40,aab68d444a5a3ccf30c767408d9185a79b633af7227a44b0e6ae26d759d3cfe8,d4795d823d370443165812990350ba78e4da3cc46fcbc2d1922348de04301a40,aab68d444a5a3ccf30c767408d9185a79b633af7227a44b0e6ae26d759d3cfe8,M,True
D095,True,2052649378d5306e00633a4c7b1312fc087c123f48104a3a936f62f58ace1213,b0e31e3f6f2a8f97cde30ba4d9b44af5dd95f2cc0766b6e12d1c703e7e5e0cca,True,19/20,2052649378d5306e00633a4c7b1312fc087c123f48104a3a936f62f58ace1213,b0e31e3f6f2a8f97cde30ba4d9b44af5dd95f2cc0766b6e12d1c703e7e5e0cca,2052649378d5306e00633a4c7b1312fc087c123f48104a3a936f62f58ace1213,b0e31e3f6f2a8f97cde30ba4d9b44af5dd95f2cc0766b6e12d1c703e7e5e0cca,M,True
D090,True,9f65ecdfb12de2c95e67e77c9438be142fdb4a92133b14addbed70fbc82d6c4e,ffc1af0064cb5ecffe56189371b6ad09f44a198ab4e70f3d4fcaa989d8cbc3e6,True,9/10,9f65ecdfb12de2c95e67e77c9438be142fdb4a92133b14addbed70fbc82d6c4e,ffc1af0064cb5ecffe56189371b6ad09f44a198ab4e70f3d4fcaa989d8cbc3e6,9f65ecdfb12de2c95e67e77c9438be142fdb4a92133b14addbed70fbc82d6c4e,ffc1af0064cb5ecffe56189371b6ad09f44a198ab4e70f3d4fcaa989d8cbc3e6,M,True
D085,True,f500c031d1a9503ecdc7eb2906be04e4208b8a90195773e8683ad6617be69373,095e1e71a13193444a755305769397354ea8a992ee39ad1b472276b44e6d3b94,True,17/20,f500c031d1a9503ecdc7eb2906be04e4208b8a90195773e8683ad6617be69373,095e1e71a13193444a755305769397354ea8a992ee39ad1b472276b44e6d3b94,f500c031d1a9503ecdc7eb2906be04e4208b8a90195773e8683ad6617be69373,095e1e71a13193444a755305769397354ea8a992ee39ad1b472276b44e6d3b94,M,True
D080,True,7107ae58609c492c6bc9aef68c985633881998fd2bed9153df6991b179dcb778,2d23f1aafb0a0ef33f58a8a57be3a413c05068637d485d802d9c3799e0a6fe9b,True,4/5,7107ae58609c492c6bc9aef68c985633881998fd2bed9153df6991b179dcb778,2d23f1aafb0a0ef33f58a8a57be3a413c05068637d485d802d9c3799e0a6fe9b,7107ae58609c492c6bc9aef68c985633881998fd2bed9153df6991b179dcb778,2d23f1aafb0a0ef33f58a8a57be3a413c05068637d485d802d9c3799e0a6fe9b,M,True
D070,True,0a4b178bbb712cdac1a6e308c79d1156b7fb847da5ff1ef8aa8957b98fa13543,44f8d00e5377eb4b5ee2a47779ff5cc80878226a3df5ca44b8dd77b78ac9c1d5,True,7/10,0a4b178bbb712cdac1a6e308c79d1156b7fb847da5ff1ef8aa8957b98fa13543,44f8d00e5377eb4b5ee2a47779ff5cc80878226a3df5ca44b8dd77b78ac9c1d5,0a4b178bbb712cdac1a6e308c79d1156b7fb847da5ff1ef8aa8957b98fa13543,44f8d00e5377eb4b5ee2a47779ff5cc80878226a3df5ca44b8dd77b78ac9c1d5,M,True
D060,True,d5c9e33b87a804cf6daf70f13d380abcc148f8e05ba00dee64b93e6bdb08cfa1,a7337e9700c6f57b039aad96fab88c5034b865d5c0059a3441c83bf58fd51a76,True,3/5,d5c9e33b87a804cf6daf70f13d380abcc148f8e05ba00dee64b93e6bdb08cfa1,a7337e9700c6f57b039aad96fab88c5034b865d5c0059a3441c83bf58fd51a76,d5c9e33b87a804cf6daf70f13d380abcc148f8e05ba00dee64b93e6bdb08cfa1,a7337e9700c6f57b039aad96fab88c5034b865d5c0059a3441c83bf58fd51a76,M,True
D050,True,d60ec1a6d2bdeac96b437bfb56c6fab73dbf360b6b00995ccc8e7c3525d50bd1,3b152dbf1f23504b8b9a2bed64af380b879469f3f1fc5e6502b4168a8cc2cd78,True,1/2,d60ec1a6d2bdeac96b437bfb56c6fab73dbf360b6b00995ccc8e7c3525d50bd1,3b152dbf1f23504b8b9a2bed64af380b879469f3f1fc5e6502b4168a8cc2cd78,d60ec1a6d2bdeac96b437bfb56c6fab73dbf360b6b00995ccc8e7c3525d50bd1,3b152dbf1f23504b8b9a2bed64af380b879469f3f1fc5e6502b4168a8cc2cd78,M,True
D100,True,3bea3a8b1390a41c38b4dae29f4f287dcd9aefd1cc2b883c3c174b53a5760f89,879db91e7bfaaf73d70aef96533da983700de939cfad0480f66dae6738ce07ff,True,1/1,3bea3a8b1390a41c38b4dae29f4f287dcd9aefd1cc2b883c3c174b53a5760f89,879db91e7bfaaf73d70aef96533da983700de939cfad0480f66dae6738ce07ff,3bea3a8b1390a41c38b4dae29f4f287dcd9aefd1cc2b883c3c174b53a5760f89,879db91e7bfaaf73d70aef96533da983700de939cfad0480f66dae6738ce07ff,L,True
D095,True,c5fb53cc85b265bd30827234b35a70aa06d70a99b8db83e110cec2247687bd6b,4c84520bfb65de285807704dd6e9d0ebfdfdebae35774f52b6f989e82358ef3f,True,19/20,c5fb53cc85b265bd30827234b35a70aa06d70a99b8db83e110cec2247687bd6b,4c84520bfb65de285807704dd6e9d0ebfdfdebae35774f52b6f989e82358ef3f,c5fb53cc85b265bd30827234b35a70aa06d70a99b8db83e110cec2247687bd6b,4c84520bfb65de285807704dd6e9d0ebfdfdebae35774f52b6f989e82358ef3f,L,True
