density_tag,dropped_count,flow_kind,original_count,retained_count,retained_ratio,rho,rho_den,rho_num,scale
D100,0,ControlCommand,96,96,96/96,1/1,1,1,M
D100,0,InterCellNext,8,8,8/8,1/1,1,1,M
D100,0,InterCellPrevious,8,8,8/8,1/1,1,1,M
D100,0,MachineCoordination,24,24,24/24,1/1,1,1,M
D100,0,MachineStatus,24,24,24/24,1/1,1,1,M
D100,0,SensorCyclic,96,96,96/96,1/1,1,1,M
D100,0,SensorFast,96,96,96/96,1/1,1,1,M
D095,5,ControlCommand,96,91,91/96,19/20,20,19,M
D095,1,InterCellNext,8,7,7/8,19/20,20,19,M
D095,1,InterCellPrevious,8,7,7/8,19/20,20,19,M
D095,2,MachineCoordination,24,22,22/24,19/20,20,19,M
D095,2,MachineStatus,24,22,22/24,19/20,20,19,M
D095,5,SensorCyclic,96,91,91/96,19/20,20,19,M
D095,5,SensorFast,96,91,91/96,19/20,20,19,M
D090,10,ControlCommand,96,86,86/96,9/10,10,9,M
D090,1,InterCellNext,8,7,7/8,9/10,10,9,M
D090,1,InterCellPrevious,8,7,7/8,9/10,10,9,M
D090,3,MachineCoordination,24,21,21/24,9/10,10,9,M
D090,3,MachineStatus,24,21,21/24,9/10,10,9,M
D090,10,SensorCyclic,96,86,86/96,9/10,10,9,M
D090,10,SensorFast,96,86,86/96,9/10,10,9,M
D085,15,ControlCommand,96,81,81/96,17/20,20,17,M
D085,2,InterCellNext,8,6,6/8,17/20,20,17,M
D085,2,InterCellPrevious,8,6,6/8,17/20,20,17,M
D085,4,MachineCoordination,24,20,20/24,17/20,20,17,M
D085,4,MachineStatus,24,20,20/24,17/20,20,17,M
D085,15,SensorCyclic,96,81,81/96,17/20,20,17,M
D085,15,SensorFast,96,81,81/96,17/20,20,17,M
D080,20,ControlCommand,96,76,76/96,4/5,5,4,M
D080,2,InterCellNext,8,6,6/8,4/5,5,4,M
D080,2,InterCellPrevious,8,6,6/8,4/5,5,4,M
D080,5,MachineCoordination,24,19,19/24,4/5,5,4,M
D080,5,MachineStatus,24,19,19/24,4/5,5,4,M
D080,20,SensorCyclic,96,76,76/96,4/5,5,4,M
D080,20,SensorFast,96,76,76/96,4/5,5,4,M
D070,29,ControlCommand,96,67,67/96,7/10,10,7,M
D070,3,InterCellNext,8,5,5/8,7/10,10,7,M
D070,3,InterCellPrevious,8,5,5/8,7/10,10,7,M
D070,8,MachineCoordination,24,16,16/24,7/10,10,7,M
D070,8,MachineStatus,24,16,16/24,7/10,10,7,M
D070,29,SensorCyclic,96,67,67/96,7/10,10,7,M
D070,29,SensorFast,96,67,67/96,7/10,10,7,M
D060,39,ControlCommand,96,57,57/96,3/5,5,3,M
D060,4,InterCellNext,8,4,4/8,3/5,5,3,M
D060,4,InterCellPrevious,8,4,4/8,3/5,5,3,M
D060,10,MachineCoordination,24,14,14/24,3/5,5,3,M
D060,10,MachineStatus,24,14,14/24,3/5,5,3,M
D060,39,SensorCyclic,96,57,57/96,3/5,5,3,M
D060,39,SensorFast,96,57,57/96,3/5,5,3,M
D050,48,ControlCommand,96,48,48/96,1/2,2,1,M
D050,4,InterCellNext,8,4,4/8,1/2,2,1,M
D050,4,InterCellPrevious,8,4,4/8,1/2,2,1,M
D050,12,MachineCoordination,24,12,12/24,1/2,2,1,M
D050,12,MachineStatus,24,12,12/24,1/2,2,1,M
D050,48,SensorCyclic,96,48,48/96,1/2,2,1,M
D050,48,SensorFast,96,48,48/96,1/2,2,1,M
D100,0,ControlCommand,256,256,256/256,1/1,1,1,L
D100,0,InterCellNext,16,16,16/16,1/1,1,1,L
D100,0,InterCellPrevious,16,16,16/16,1/1,1,1,L
D100,0,MachineCoordination,64,64,64/64,1/1,1,1,L
D100,0,MachineStatus,64,64,64/64,1/1,1,1,L
D100,0,SensorCyclic,256,256,256/256,1/1,1,1,L
D100,0,SensorFast,256,256,256/256,1/1,1,1,L
D095,13,ControlCommand,256,243,243/256,19/20,20,19,L
D095,1,InterCellNext,16,15,15/16,19/20,20,19,L
D095,1,InterCellPrevious,16,15,15/16,19/20,20,19,L
D095,4,MachineCoordination,64,60,60/64,19/20,20,19,L
D095,4,MachineStatus,64,60,60/64,19/20,20,19,L
D095,13,SensorCyclic,256,243,243/256,19/20,20,19,L
D095,13,SensorFast,256,243,243/256,19/20,20,19,L
D090,26,ControlCommand,256,230,230/256,9/10,10,9,L
D090,2,InterCellNext,16,14,14/16,9/10,10,9,L
D090,2,InterCellPrevious,16,14,14/16,9/10,10,9,L
D090,7,MachineCoordination,64,57,57/64,9/10,10,9,L
D090,7,MachineStatus,64,57,57/64,9/10,10,9,L
D090,26,SensorCyclic,256,230,230/256,9/10,10,9,L
D090,26,SensorFast,256,230,230/256,9/10,10,9,L
D085,39,ControlCommand,256,217,217/256,17/20,20,17,L
D085,3,InterCellNext,16,13,13/16,17/20,20,17,L
D085,3,InterCellPrevious,16,13,13/16,17/20,20,17,L
D085,10,MachineCoordination,64,54,54/64,17/20,20,17,L
D085,10,MachineStatus,64,54,54/64,17/20,20,17,L
D085,39,SensorCyclic,256,217,217/256,17/20,20,17,L
D085,39,SensorFast,256,217,217/256,17/20,20,17,L
D080,52,ControlCommand,256,204,204/256,4/5,5,4,L
D080,4,InterCellNext,16,12,12/16,4/5,5,4,L
D080,4,InterCellPrevious,16,12,12/16,4/5,5,4,L
D080,13,MachineCoordination,64,51,51/64,4/5,5,4,L
D080,13,MachineStatus,64,51,51/64,4/5,5,4,L
D080,52,SensorCyclic,256,204,204/256,4/5,5,4,L
D080,52,SensorFast,256,204,204/256,4/5,5,4,L
D070,77,ControlCommand,256,179,179/256,7/10,10,7,L
D070,5,InterCellNext,16,11,11/16,7/10,10,7,L
D070,5,InterCellPrevious,16,11,11/16,7/10,10,7,L
D070,20,MachineCoordination,64,44,44/64,7/10,10,7,L
D070,20,MachineStatus,64,44,44/64,7/10,10,7,L
D070,77,SensorCyclic,256,179,179/256,7/10,10,7,L
D070,77,SensorFast,256,179,179/256,7/10,10,7,L
D060,103,ControlCommand,256,153,153/256,3/5,5,3,L
D060,7,InterCellNext,16,9,9/16,3/5,5,3,L
D060,7,InterCellPrevious,16,9,9/16,3/5,5,3,L
D060,26,MachineCoordination,64,38,38/64,3/5,5,3,L
D060,26,MachineStatus,64,38,38/64,3/5,5,3,L
D060,103,SensorCyclic,256,153,153/256,3/5,5,3,L
D060,103,SensorFast,256,153,153/256,3/5,5,3,L
D050,128,ControlCommand,256,128,128/256,1/2,2,1,L
D050,8,InterCellNext,16,8,8/16,1/2,2,1,L
D050,8,InterCellPrevious,16,8,8/16,1/2,2,1,L
D050,32,MachineCoordination,64,32,32/64,1/2,2,1,L
D050,32,MachineStatus,64,32,32/64,1/2,2,1,L
D050,128,SensorCyclic,256,128,128/256,1/2,2,1,L
D050,128,SensorFast,256,128,128/256,1/2,2,1,L
