flow_kind,high_count,low_count,low_subset_of_high,rho_high,rho_low,scale,unexpected_added,unexpected_removed
ControlCommand,57,48,True,3/5,1/2,M,,
ControlCommand,67,57,True,7/10,3/5,M,,
ControlCommand,76,67,True,4/5,7/10,M,,
ControlCommand,81,76,True,17/20,4/5,M,,
ControlCommand,86,81,True,9/10,17/20,M,,
ControlCommand,91,86,True,19/20,9/10,M,,
ControlCommand,96,91,True,1/1,19/20,M,,
InterCellNext,4,4,True,3/5,1/2,M,,
InterCellNext,5,4,True,7/10,3/5,M,,
InterCellNext,6,5,True,4/5,7/10,M,,
InterCellNext,6,6,True,17/20,4/5,M,,
InterCellNext,7,6,True,9/10,17/20,M,,
InterCellNext,7,7,True,19/20,9/10,M,,
InterCellNext,8,7,True,1/1,19/20,M,,
InterCellPrevious,4,4,True,3/5,1/2,M,,
InterCellPrevious,5,4,True,7/10,3/5,M,,
InterCellPrevious,6,5,True,4/5,7/10,M,,
InterCellPrevious,6,6,True,17/20,4/5,M,,
InterCellPrevious,7,6,True,9/10,17/20,M,,
InterCellPrevious,7,7,True,19/20,9/10,M,,
InterCellPrevious,8,7,True,1/1,19/20,M,,
MachineCoordination,14,12,True,3/5,1/2,M,,
MachineCoordination,16,14,True,7/10,3/5,M,,
MachineCoordination,19,16,True,4/5,7/10,M,,
MachineCoordination,20,19,True,17/20,4/5,M,,
MachineCoordination,21,20,True,9/10,17/20,M,,
MachineCoordination,22,21,True,19/20,9/10,M,,
MachineCoordination,24,22,True,1/1,19/20,M,,
MachineStatus,14,12,True,3/5,1/2,M,,
MachineStatus,16,14,True,7/10,3/5,M,,
MachineStatus,19,16,True,4/5,7/10,M,,
MachineStatus,20,19,True,17/20,4/5,M,,
MachineStatus,21,20,True,9/10,17/20,M,,
MachineStatus,22,21,True,19/20,9/10,M,,
MachineStatus,24,22,True,1/1,19/20,M,,
SensorCyclic,57,48,True,3/5,1/2,M,,
SensorCyclic,67,57,True,7/10,3/5,M,,
SensorCyclic,76,67,True,4/5,7/10,M,,
SensorCyclic,81,76,True,17/20,4/5,M,,
SensorCyclic,86,81,True,9/10,17/20,M,,
SensorCyclic,91,86,True,19/20,9/10,M,,
SensorCyclic,96,91,True,1/1,19/20,M,,
SensorFast,57,48,True,3/5,1/2,M,,
SensorFast,67,57,True,7/10,3/5,M,,
SensorFast,76,67,True,4/5,7/10,M,,
SensorFast,81,76,True,17/20,4/5,M,,
SensorFast,86,81,True,9/10,17/20,M,,
SensorFast,91,86,True,19/20,9/10,M,,
SensorFast,96,91,True,1/1,19/20,M,,
ControlCommand,153,128,True,3/5,1/2,L,,
ControlCommand,179,153,True,7/10,3/5,L,,
ControlCommand,204,179,True,4/5,7/10,L,,
ControlCommand,217,204,True,17/20,4/5,L,,
ControlCommand,230,217,True,9/10,17/20,L,,
ControlCommand,243,230,True,19/20,9/10,L,,
ControlCommand,256,243,True,1/1,19/20,L,,
InterCellNext,9,8,True,3/5,1/2,L,,
InterCellNext,11,9,True,7/10,3/5,L,,
InterCellNext,12,11,True,4/5,7/10,L,,
InterCellNext,13,12,True,17/20,4/5,L,,
InterCellNext,14,13,True,9/10,17/20,L,,
InterCellNext,15,14,True,19/20,9/10,L,,
InterCellNext,16,15,True,1/1,19/20,L,,
InterCellPrevious,9,8,True,3/5,1/2,L,,
InterCellPrevious,11,9,True,7/10,3/5,L,,
InterCellPrevious,12,11,True,4/5,7/10,L,,
InterCellPrevious,13,12,True,17/20,4/5,L,,
InterCellPrevious,14,13,True,9/10,17/20,L,,
InterCellPrevious,15,14,True,19/20,9/10,L,,
InterCellPrevious,16,15,True,1/1,19/20,L,,
MachineCoordination,38,32,True,3/5,1/2,L,,
MachineCoordination,44,38,True,7/10,3/5,L,,
MachineCoordination,51,44,True,4/5,7/10,L,,
MachineCoordination,54,51,True,17/20,4/5,L,,
MachineCoordination,57,54,True,9/10,17/20,L,,
MachineCoordination,60,57,True,19/20,9/10,L,,
MachineCoordination,64,60,True,1/1,19/20,L,,
MachineStatus,38,32,True,3/5,1/2,L,,
MachineStatus,44,38,True,7/10,3/5,L,,
MachineStatus,51,44,True,4/5,7/10,L,,
MachineStatus,54,51,True,17/20,4/5,L,,
MachineStatus,57,54,True,9/10,17/20,L,,
MachineStatus,60,57,True,19/20,9/10,L,,
MachineStatus,64,60,True,1/1,19/20,L,,
SensorCyclic,153,128,True,3/5,1/2,L,,
SensorCyclic,179,153,True,7/10,3/5,L,,
SensorCyclic,204,179,True,4/5,7/10,L,,
SensorCyclic,217,204,True,17/20,4/5,L,,
SensorCyclic,230,217,True,9/10,17/20,L,,
SensorCyclic,243,230,True,19/20,9/10,L,,
SensorCyclic,256,243,True,1/1,19/20,L,,
SensorFast,153,128,True,3/5,1/2,L,,
SensorFast,179,153,True,7/10,3/5,L,,
SensorFast,204,179,True,4/5,7/10,L,,
SensorFast,217,204,True,17/20,4/5,L,,
SensorFast,230,217,True,9/10,17/20,L,,
SensorFast,243,230,True,19/20,9/10,L,,
SensorFast,256,243,True,1/1,19/20,L,,
