CELF_fallback_count,actual_global_density,density_tag,max_H2S_ms,max_RSS,median_H2S_ms,minimum_scheduled_ratio,on_wire_bytes_per_hyperperiod,packet_instances,retained_TT_count,rho_den,rho_num,scale,three_topology_complete_count
3,352/352,D100,92.342204,23068672,86.9171,0.9886363636363636,522240,3616,352,1,1,M,0
3,331/352,D095,90.040933,22089728,83.637385,0.9909365558912386,492928,3422,331,20,19,M,0
3,314/352,D090,86.847577,21094400,82.334256,0.9936305732484076,466688,3236,314,10,9,M,0
3,295/352,D085,84.059912,20262912,76.348374,0.9932203389830508,439296,3048,295,20,17,M,0
3,278/352,D080,82.463366,19234816,74.78425,0.9964028776978417,413056,2862,278,5,4,M,0
0,243/352,D070,72.591679,17633280,66.495739,1.0,362368,2518,243,10,7,M,3
0,207/352,D060,66.081772,15826944,60.987554,1.0,308736,2144,207,5,3,M,3
0,176/352,D050,58.387945,13975552,53.152055,1.0,261120,1808,176,2,1,M,3
3,928/928,D100,467.544174,52555776,360.278681,0.9849137931034483,1386496,9632,928,1,1,L,0
3,879/928,D095,442.28446,50229248,346.802194,0.9852104664391353,1314432,9138,879,20,19,L,0
3,832/928,D090,427.264945,47800320,341.497705,0.984375,1244288,8650,832,10,9,L,0
3,785/928,D085,409.440139,45334528,318.690859,0.9847133757961783,1174144,8162,785,20,17,L,0
3,738/928,D080,398.656318,42889216,302.909166,0.9878048780487805,1104000,7674,738,5,4,L,0
3,647/928,D070,342.69215,38354944,263.916997,0.9876352395672334,967808,6730,647,10,7,L,0
3,553/928,D060,291.322901,33701888,234.837514,0.9891500904159132,827520,5754,553,5,3,L,0
3,464/928,D050,247.634244,29224960,194.623658,0.9935344827586207,693248,4816,464,2,1,L,0
