density_tag,flow_kind,logical_flow_count,on_wire_bytes_per_hyperperiod,packet_instance_count,rho,rho_den,rho_num,scale
D100,ControlCommand,96,196608,1536,1/1,1,1,M
D100,InterCellNext,8,4608,8,1/1,1,1,M
D100,InterCellPrevious,8,4608,8,1/1,1,1,M
D100,MachineCoordination,24,15360,48,1/1,1,1,M
D100,MachineStatus,24,30720,96,1/1,1,1,M
D100,SensorCyclic,96,73728,384,1/1,1,1,M
D100,SensorFast,96,196608,1536,1/1,1,1,M
D100,TOTAL,352,522240,3616,1/1,1,1,M
D095,ControlCommand,91,186368,1456,19/20,20,19,M
D095,InterCellNext,7,4032,7,19/20,20,19,M
D095,InterCellPrevious,7,4032,7,19/20,20,19,M
D095,MachineCoordination,22,14080,44,19/20,20,19,M
D095,MachineStatus,22,28160,88,19/20,20,19,M
D095,SensorCyclic,91,69888,364,19/20,20,19,M
D095,SensorFast,91,186368,1456,19/20,20,19,M
D095,TOTAL,331,492928,3422,19/20,20,19,M
D090,ControlCommand,86,176128,1376,9/10,10,9,M
D090,InterCellNext,7,4032,7,9/10,10,9,M
D090,InterCellPrevious,7,4032,7,9/10,10,9,M
D090,MachineCoordination,21,13440,42,9/10,10,9,M
D090,MachineStatus,21,26880,84,9/10,10,9,M
D090,SensorCyclic,86,66048,344,9/10,10,9,M
D090,SensorFast,86,176128,1376,9/10,10,9,M
D090,TOTAL,314,466688,3236,9/10,10,9,M
D085,ControlCommand,81,165888,1296,17/20,20,17,M
D085,InterCellNext,6,3456,6,17/20,20,17,M
D085,InterCellPrevious,6,3456,6,17/20,20,17,M
D085,MachineCoordination,20,12800,40,17/20,20,17,M
D085,MachineStatus,20,25600,80,17/20,20,17,M
D085,SensorCyclic,81,62208,324,17/20,20,17,M
D085,SensorFast,81,165888,1296,17/20,20,17,M
D085,TOTAL,295,439296,3048,17/20,20,17,M
D080,ControlCommand,76,155648,1216,4/5,5,4,M
D080,InterCellNext,6,3456,6,4/5,5,4,M
D080,InterCellPrevious,6,3456,6,4/5,5,4,M
D080,MachineCoordination,19,12160,38,4/5,5,4,M
D080,MachineStatus,19,24320,76,4/5,5,4,M
D080,SensorCyclic,76,58368,304,4/5,5,4,M
