density_tag,derived_scenario_path,derived_scenario_sha,dropped_flow_count,integrity_pass,non_TT_population_semantic_diff_count,retained_TT_count,retained_flow_attribute_diff_count,retained_flow_set_sha,rho_den,rho_num,scenario,source_scenario_sha,topology_sha_derived,topology_sha_source,unexpected_retained_or_dropped,workload_sha
D100,results/realistic_tsn_pf_cost/scenarios/M_RING.json,55913fce2cd660bd30ff10098d0042774d8e519453eaa49551f13ab7f1ff4690,0,True,0,352,0,d4795d823d370443165812990350ba78e4da3cc46fcbc2d1922348de04301a40,1,1,M_RING,55913fce2cd660bd30ff10098d0042774d8e519453eaa49551f13ab7f1ff4690,7bc671eec6721bb00ec0c638e51cc799ba6d9e0f9c91c20996b7192fbc508baf,7bc671eec6721bb00ec0c638e51cc799ba6d9e0f9c91c20996b7192fbc508baf,,aab68d444a5a3ccf30c767408d9185a79b633af7227a44b0e6ae26d759d3cfe8
D095,results/tt_workload_density_calibration/derived_scenarios/M_RING_D095/scenario.json,c20b5e4dd84d05a93774a74b01cb0721c9a873fe3df207ebd21e9e4422a4b930,21,True,0,331,0,2052649378d5306e00633a4c7b1312fc087c123f48104a3a936f62f58ace1213,20,19,M_RING,55913fce2cd660bd30ff10098d0042774d8e519453eaa49551f13ab7f1ff4690,7bc671eec6721bb00ec0c638e51cc799ba6d9e0f9c91c20996b7192fbc508baf,7bc671eec6721bb00ec0c638e51cc799ba6d9e0f9c91c20996b7192fbc508baf,,b0e31e3f6f2a8f97cde30ba4d9b44af5dd95f2cc0766b6e12d1c703e7e5e0cca
D090,results/tt_workload_density_calibration/derived_scenarios/M_RING_D090/scenario.json,9f2daa9d4649b7bdeeb4b1a23f7d28861074df967253b266def275738bfcaab2,38,True,0,314,0,9f65ecdfb12de2c95e67e77c9438be142fdb4a92133b14addbed70fbc82d6c4e,10,9,M_RING,55913fce2cd660bd30ff10098d0042774d8e519453eaa49551f13ab7f1ff4690,7bc671eec6721bb00ec0c638e51cc799ba6d9e0f9c91c20996b7192fbc508baf,7bc671eec6721bb00ec0c638e51cc799ba6d9e0f9c91c20996b7192fbc508baf,,ffc1af0064cb5ecffe56189371b6ad09f44a198ab4e70f3d4fcaa989d8cbc3e6
D085,results/tt_workload_density_calibration/derived_scenarios/M_RING_D085/scenario.json,5de99699fce6545032b036fc9977d0efc321a93005a1df399c391ae014ac2589,57,True,0,295,0,f500c031d1a9503ecdc7eb2906be04e4208b8a90195773e8683ad6617be69373,20,17,M_RING,55913fce2cd660bd30ff10098d0042774d8e519453eaa49551f13ab7f1ff4690,7bc671eec6721bb00ec0c638e51cc799ba6d9e0f9c91c20996b7192fbc508baf,7bc671eec6721bb00ec0c638e51cc799ba6d9e0f9c91c20996b7192fbc508baf,,095e1e71a13193444a755305769397354ea8a992ee39ad1b472276b44e6d3b94
D080,results/tt_workload_density_calibration/derived_scenarios/M_RING_D080/scenario.json,7ada03229855de202a1d6c98cbde0c4070fb8c69ec1b04585fea803c4af13f82,74,True,0,278,0,7107ae58609c492c6bc9aef68c985633881998fd2bed9153df6991b179dcb778,5,4,M_RING,55913fce2cd660bd30ff10098d0042774d8e519453eaa49551f13ab7f1ff4690,7bc671eec6721bb00ec0c638e51cc799ba6d9e0f9c91c20996b7192fbc508baf,7bc671eec6721bb00ec0c638e51cc799ba6d9e0f9c91c20996b7192fbc508baf,,2d23f1aafb0a0ef33f58a8a57be3a413c05068637d485d802d9c3799e0a6fe9b
D070,results/tt_workload_density_calibration/derived_scenarios/M_RING_D070/scenario.json,de814dccf5c7a26389c0792d03b35ad0d7980054bf4b0fc7b21ec128b15beae3,109,True,0,243,0,0a4b178bbb712cdac1a6e308c79d1156b7fb847da5ff1ef8aa8957b98fa13543,10,7,M_RING,55913fce2cd660bd30ff10098d0042774d8e519453eaa49551f13ab7f1ff4690,7bc671eec6721bb00ec0c638e51cc799ba6d9e0f9c91c20996b7192fbc508baf,7bc671eec6721bb00ec0c638e51cc799ba6d9e0f9c91c20996b7192fbc508baf,,44f8d00e5377eb4b5ee2a47779ff5cc80878226a3df5ca44b8dd77b78ac9c1d5
D060,results/tt_workload_density_calibration/derived_scenarios/M_RING_D060/scenario.json,4f315d7adf3ec1da3489c2522a44f31f9615e6fbd7d4c17e52d23af0e62f7332,145,True,0,207,0,d5c9e33b87a804cf6daf70f13d380abcc148f8e05ba00dee64b93e6bdb08cfa1,5,3,M_RING,55913fce2cd660bd30ff10098d0042774d8e519453eaa49551f13ab7f1ff4690,7bc671eec6721bb00ec0c638e51cc799ba6d9e0f9c91c20996b7192fbc508baf,7bc671eec6721bb00ec0c638e51cc799ba6d9e0f9c91c20996b7192fbc508baf,,a7337e9700c6f57b039aad96fab88c5034b865d5c0059a3441c83bf58fd51a76
D050,results/tt_workload_density_calibration/derived_scenarios/M_RING_D050/scenario.json,d63e47cbd83bd177a034272c6b26e252fef1c312810e3e824785344da3df5761,176,True,0,176,0,d60ec1a6d2bdeac96b437bfb56c6fab73dbf360b6b00995ccc8e7c3525d50bd1,2,1,M_RING,55913fce2cd660bd30ff10098d0042774d8e519453eaa49551f13ab7f1ff4690,7bc671eec6721bb00ec0c638e51cc799ba6d9e0f9c91c20996b7192fbc508baf,7bc671eec6721bb00ec0c638e51cc799ba6d9e0f9c91c20996b7192fbc508baf,,3b152dbf1f23504b8b9a2bed64af380b879469f3f1fc5e6502b4168a8cc2cd78
D100,results/realistic_tsn_pf_cost/scenarios/M_REDSTAR.json,c149eda17c4275ef80bc04050c2576729208a315df1697c45003cf7929a7fab9,0,True,0,352,0,d4795d823d370443165812990350ba78e4da3cc46fcbc2d1922348de04301a40,1,1,M_REDSTAR,c149eda17c4275ef80bc04050c2576729208a315df1697c45003cf7929a7fab9,7d355bf431fbf1982c0fb30350a9510c1393a9adcdcd36f497b67635cc1df7e8,7d355bf431fbf1982c0fb30350a9510c1393a9adcdcd36f497b67635cc1df7e8,,aab68d444a5a3ccf30c767408d9185a79b633af7227a44b0e6ae26d759d3cfe8
D095,results/tt_workload_density_calibration/derived_scenarios/M_REDSTAR_D095/scenario.json,81f6461363465eecd7d8cfbe6657543d14f6d650a23213667873a737a1762df8,21,True,0,331,0,2052649378d5306e00633a4c7b1312fc087c123f48104a3a936f62f58ace1213,20,19,M_REDSTAR,c149eda17c4275ef80bc04050c2576729208a315df1697c45003cf7929a7fab9,7d355bf431fbf1982c0fb30350a9510c1393a9adcdcd36f497b67635cc1df7e8,7d355bf431fbf1982c0fb30350a9510c1393a9adcdcd36f497b67635cc1df7e8,,b0e31e3f6f2a8f97cde30ba4d9b44af5dd95f2cc0766b6e12d1c703e7e5e0cca
D090,results/tt_workload_density_calibration/derived_scenarios/M_REDSTAR_D090/scenario.json,4b49a3f4f99c193a41b5af07e786cf0c24f2bbe51913d516eceb6d4ca601ca99,38,True,0,314,0,9f65ecdfb12de2c95e67e77c9438be142fdb4a92133b14addbed70fbc82d6c4e,10,9,M_REDSTAR,c149eda17c4275ef80bc04050c2576729208a315df1697c45003cf7929a7fab9,7d355bf431fbf1982c0fb30350a9510c1393a9adcdcd36f497b67635cc1df7e8,7d355bf431fbf1982c0fb30350a9510c1393a9adcdcd36f497b67635cc1df7e8,,ffc1af0064cb5ecffe56189371b6ad09f44a198ab4e70f3d4fcaa989d8cbc3e6
D085,results/tt_workload_density_calibration/derived_scenarios/M_REDSTAR_D085/scenario.json,0d8f9ecc58d07cf10edb44eda786c082b2e4dd54b4a963c4e3ef9fe83b5d3ef7,57,True,0,295,0,f500c031d1a9503ecdc7eb2906be04e4208b8a90195773e8683ad6617be69373,20,17,M_REDSTAR,c149eda17c4275ef80bc04050c2576729208a315df1697c45003cf7929a7fab9,7d355bf431fbf1982c0fb30350a9510c1393a9adcdcd36f497b67635cc1df7e8,7d355bf431fbf1982c0fb30350a9510c1393a9adcdcd36f497b67635cc1df7e8,,095e1e71a13193444a755305769397354ea8a992ee39ad1b472276b44e6d3b94
D080,results/tt_workload_density_calibration/derived_scenarios/M_REDSTAR_D080/scenario.json,6f6c3b083efca108de8d095253d978afbac2107c8bc82deb896ac03a3e672dd9,74,True,0,278,0,7107ae58609c492c6bc9aef68c985633881998fd2bed9153df6991b179dcb778,5,4,M_REDSTAR,c149eda17c4275ef80bc04050c2576729208a315df1697c45003cf7929a7fab9,7d355bf431fbf1982c0fb30350a9510c1393a9adcdcd36f497b67635cc1df7e8,7d355bf431fbf1982c0fb30350a9510c1393a9adcdcd36f497b67635cc1df7e8,,2d23f1aafb0a0ef33f58a8a57be3a413c05068637d485d802d9c3799e0a6fe9b
D070,results/tt_workload_density_calibration/derived_scenarios/M_REDSTAR_D070/scenario.json,b44c94f50ecd187425bea55bfdd45be0ea20462ce49a6c6177480b798b63e351,109,True,0,243,0,0a4b178bbb712cdac1a6e308c79d1156b7fb847da5ff1ef8aa8957b98fa13543,10,7,M_REDSTAR,c149eda17c4275ef80bc04050c2576729208a315df1697c45003cf7929a7fab9,7d355bf431fbf1982c0fb30350a9510c1393a9adcdcd36f497b67635cc1df7e8,7d355bf431fbf1982c0fb30350a9510c1393a9adcdcd36f497b67635cc1df7e8,,44f8d00e5377eb4b5ee2a47779ff5cc80878226a3df5ca44b8dd77b78ac9c1d5
D060,results/tt_workload_density_calibration/derived_scenarios/M_REDSTAR_D060/scenario.json,347dd3cad5edc500d74bb5bb0ec4226ff32897e5f06efc8211159c1383e16b09,145,True,0,207,0,d5c9e33b87a804cf6daf70f13d380abcc148f8e05ba00dee64b93e6bdb08cfa1,5,3,M_REDSTAR,c149eda17c4275ef80bc04050c2576729208a315df1697c45003cf7929a7fab9,7d355bf431fbf1982c0fb30350a9510c1393a9adcdcd36f497b67635cc1df7e8,7d355bf431fbf1982c0fb30350a9510c1393a9adcdcd36f497b67635cc1df7e8,,a7337e9700c6f57b039aad96fab88c5034b865d5c0059a3441c83bf58fd51a76
D050,results/tt_workload_density_calibration/derived_scenarios/M_REDSTAR_D050/scenario.json,4f64fcc67bb600ec21a21444118b364e912e72f0d1d2dd0dc83ab12ee307e28e,176,True,0,176,0,d60ec1a6d2bdeac96b437bfb56c6fab73dbf360b6b00995ccc8e7c3525d50bd1,2,1,M_REDSTAR,c149eda17c4275ef80bc04050c2576729208a315df1697c45003cf7929a7fab9,7d355bf431fbf1982c0fb30350a9510c1393a9adcdcd36f497b67635cc1df7e8,7d355bf431fbf1982c0fb30350a9510c1393a9adcdcd36f497b67635cc1df7e8,,3b152dbf1f23504b8b9a2bed64af380b879469f3f1fc5e6502b4168a8cc2cd78
D100,results/realistic_tsn_pf_cost/scenarios/M_ROR.json,3c2e69953fffe98092b7bd9ed2756e31255919be45c1d42e6abb0c3e670b4ddd,0,True,0,352,0,d4795d823d370443165812990350ba78e4da3cc46fcbc2d1922348de04301a40,1,1,M_ROR,3c2e69953fffe98092b7bd9ed2756e31255919be45c1d42e6abb0c3e670b4ddd,936b8ce377488558c426bd925841d45735a9ca9e6acea837f7c805eb2311e959,936b8ce377488558c426bd925841d45735a9ca9e6acea837f7c805eb2311e959,,aab68d444a5a3ccf30c767408d9185a79b633af7227a44b0e6ae26d759d3cfe8
D095,results/tt_workload_density_calibration/derived_scenarios/M_ROR_D095/scenario.json,87deabfc76d32ab40f7df8884afdacf871da59e8d88fc58cbd2a22f61b142360,21,True,0,331,0,2052649378d5306e00633a4c7b1312fc087c123f48104a3a936f62f58ace1213,20,19,M_ROR,3c2e69953fffe98092b7bd9ed2756e31255919be45c1d42e6abb0c3e670b4ddd,936b8ce377488558c426bd925841d45735a9ca9e6acea837f7c805eb2311e959,936b8ce377488558c426bd925841d45735a9ca9e6acea837f7c805eb2311e959,,b0e31e3f6f2a8f97cde30ba4d9b44af5dd95f2cc0766b6e12d1c703e7e5e0cca
D090,results/tt_workload_density_calibration/derived_scenarios/M_ROR_D090/scenario.json,8a4d8a2343be789597390c010328844a651f9b725a5ce35a9b9e57e8f7090a42,38,True,0,314,0,9f65ecdfb12de2c95e67e77c9438be142fdb4a92133b14addbed70fbc82d6c4e,10,9,M_ROR,3c2e69953fffe98092b7bd9ed2756e31255919be45c1d42e6abb0c3e670b4ddd,936b8ce377488558c426bd925841d45735a9ca9e6acea837f7c805eb2311e959,936b8ce377488558c426bd925841d45735a9ca9e6acea837f7c805eb2311e959,,ffc1af0064cb5ecffe56189371b6ad09f44a198ab4e70f3d4fcaa989d8cbc3e6
D085,results/tt_workload_density_calibration/derived_scenarios/M_ROR_D085/scenario.json,ada43d687f04bc21db769b8e382d2944ab11d856c59526470c3fda31889a3839,57,True,0,295,0,f500c031d1a9503ecdc7eb2906be04e4208b8a90195773e8683ad6617be69373,20,17,M_ROR,3c2e69953fffe98092b7bd9ed2756e31255919be45c1d42e6abb0c3e670b4ddd,936b8ce377488558c426bd925841d45735a9ca9e6acea837f7c805eb2311e959,936b8ce377488558c426bd925841d45735a9ca9e6acea837f7c805eb2311e959,,095e1e71a13193444a755305769397354ea8a992ee39ad1b472276b44e6d3b94
D080,results/tt_workload_density_calibration/derived_scenarios/M_ROR_D080/scenario.json,ae6ff46a2f523c4a7e6c85567f14030b35cbdb3ffe0823a5c7a9dfbd329c69fd,74,True,0,278,0,7107ae58609c492c6bc9aef68c985633881998fd2bed9153df6991b179dcb778,5,4,M_ROR,3c2e69953fffe98092b7bd9ed2756e31255919be45c1d42e6abb0c3e670b4ddd,936b8ce377488558c426bd925841d45735a9ca9e6acea837f7c805eb2311e959,936b8ce377488558c426bd925841d45735a9ca9e6acea837f7c805eb2311e959,,2d23f1aafb0a0ef33f58a8a57be3a413c05068637d485d802d9c3799e0a6fe9b
D070,results/tt_workload_density_calibration/derived_scenarios/M_ROR_D070/scenario.json,2b7f7d59ce2bdcb4320514cbf8576a725b0246ba3a856a01be01e59b44ea3aaf,109,True,0,243,0,0a4b178bbb712cdac1a6e308c79d1156b7fb847da5ff1ef8aa8957b98fa13543,10,7,M_ROR,3c2e69953fffe98092b7bd9ed2756e31255919be45c1d42e6abb0c3e670b4ddd,936b8ce377488558c426bd925841d45735a9ca9e6acea837f7c805eb2311e959,936b8ce377488558c426bd925841d45735a9ca9e6acea837f7c805eb2311e959,,44f8d00e5377eb4b5ee2a47779ff5cc80878226a3df5ca44b8dd77b78ac9c1d5
D060,results/tt_workload_density_calibration/derived_scenarios/M_ROR_D060/scenario.json,cc6687720f53e4511f64d2b898b1bc89f662a10b6cd9e9cad525b4c8bcb77852,145,True,0,207,0,d5c9e33b87a804cf6daf70f13d380abcc148f8e05ba00dee64b93e6bdb08cfa1,5,3,M_ROR,3c2e69953fffe98092b7bd9ed2756e31255919be45c1d42e6abb0c3e670b4ddd,936b8ce377488558c426bd925841d45735a9ca9e6acea837f7c805eb2311e959,936b8ce377488558c426bd925841d45735a9ca9e6acea837f7c805eb2311e959,,a7337e9700c6f57b039aad96fab88c5034b865d5c0059a3441c83bf58fd51a76
D050,results/tt_workload_density_calibration/derived_scenarios/M_ROR_D050/scenario.json,89587365126a52d82aacad250dc3ee6a249d0da37d06fef39da12ecdaf7769ee,176,True,0,176,0,d60ec1a6d2bdeac96b437bfb56c6fab73dbf360b6b00995ccc8e7c3525d50bd1,2,1,M_ROR,3c2e69953fffe98092b7bd9ed2756e31255919be45c1d42e6abb0c3e670b4ddd,936b8ce377488558c426bd925841d45735a9ca9e6acea837f7c805eb2311e959,936b8ce377488558c426bd925841d45735a9ca9e6acea837f7c805eb2311e959,,3b152dbf1f23504b8b9a2bed64af380b879469f3f1fc5e6502b4168a8cc2cd78
D100,results/realistic_tsn_pf_cost/scenarios/L_RING.json,6546c021da92e20c77da6352cf940a6ba2e6f42739aa769cd9dfd19301d1e3df,0,True,0,928,0,3bea3a8b1390a41c38b4dae29f4f287dcd9aefd1cc2b883c3c174b53a5760f89,1,1,L_RING,6546c021da92e20c77da6352cf940a6ba2e6f42739aa769cd9dfd19301d1e3df,9437529279ba936bb459004ec5bfa5a8f4a09a8f7888390965eb67781498a3f9,9437529279ba936bb459004ec5bfa5a8f4a09a8f7888390965eb67781498a3f9,,879db91e7bfaaf73d70aef96533da983700de939cfad0480f66dae6738ce07ff
D095,results/tt_workload_density_calibration/derived_scenarios/L_RING_D095/scenario.json,736f03d7eb5ee90a3bf082f3c2d196b670d558ad7a286cd64c1f963fcd1ee0c7,49,True,0,879,0,c5fb53cc85b265bd30827234b35a70aa06d70a99b8db83e110cec2247687bd6b,20,19,L_RING,6546c021da92e20c77da6352cf940a6ba2e6f42739aa769cd9dfd19301d1e3df,9437529279ba936bb459004ec5bfa5a8f4a09a8f7888390965eb67781498a3f9,9437529279ba936bb459004ec5bfa5a8f4a09a8f7888390965eb67781498a3f9,,4c84520bfb65de285807704dd6e9d0ebfdfdebae35774f52b6f989e82358ef3f
