flow_id,flow_kind,rank_position_within_kind,rank_sha256,retained_D050,retained_D060,retained_D070,retained_D080,retained_D085,retained_D090,retained_D095,retained_D100,scale
CMD_PLC_C02_M01_A3_C02_M01,ControlCommand,1,0753afa100ca2502928f621dafbcca8d2f991f4929221ca735d484415364dbbd,True,True,True,True,True,True,True,True,M
CMD_PLC_C07_M02_A3_C07_M02,ControlCommand,2,09145a43a61c2e0421a4363dd52ea24891a3f9b43a3027984ff608d691c98277,True,True,True,True,True,True,True,True,M
CMD_PLC_C08_M03_A2_C08_M03,ControlCommand,3,0a757f1418ef6823e102433ae62cb88c71f5ded41ce40244ec2acde1a93b82d2,True,True,True,True,True,True,True,True,M
CMD_PLC_C03_M02_A2_C03_M02,ControlCommand,4,0e51edeae58c01220dfa30870f82ccea6f15ea883e4d4c1310c5e93707c319ae,True,True,True,True,True,True,True,True,M
CMD_PLC_C02_M02_A4_C02_M02,ControlCommand,5,1982ad8e0fbf0d12526b8525ef755af21dc25ca4b227b0e099f708c6e93639e3,True,True,True,True,True,True,True,True,M
CMD_PLC_C05_M03_A4_C05_M03,ControlCommand,6,1c781b068cf3f9f9adc882f4a52f6bacd6a5c1aca45bdb29720a9904b9bcc09e,True,True,True,True,True,True,True,True,M
CMD_PLC_C07_M03_A3_C07_M03,ControlCommand,7,1dd84dca3eb8c0141a3f395dc67250a9b63ada948c645f5a2aa7da30d7d13a59,True,True,True,True,True,True,True,True,M
CMD_PLC_C08_M01_A1_C08_M01,ControlCommand,8,1e1c087231ac8d09e1f721d71e38fe511feb20dad9bb9f89006492e6d8b73416,True,True,True,True,True,True,True,True,M
CMD_PLC_C07_M03_A1_C07_M03,ControlCommand,9,2396d07582c513d32eea75bbaa7c4bb14b6013d76ab809b210f9a0959fad3375,True,True,True,True,True,True,True,True,M
CMD_PLC_C05_M01_A3_C05_M01,ControlCommand,10,2a40c0f5a4a525fc2a72fc96ddc2a18171efc21e8524b7c46c5653a6835ac05b,True,True,True,True,True,True,True,True,M
CMD_PLC_C02_M01_A4_C02_M01,ControlCommand,11,2b7a15f4b2d87550b526749486ab727958b30a938d9838faf2e3075e3ef9c268,True,True,True,True,True,True,True,True,M
CMD_PLC_C06_M03_A3_C06_M03,ControlCommand,12,2bc5968f5fd3129d851b69c294e1b9f1c291a6afd69b0d1ac835c5185fb90ca1,True,True,True,True,True,True,True,True,M
CMD_PLC_C05_M01_A1_C05_M01,ControlCommand,13,2d2be91a262ab61621f0891eeaf7c583610b7d862c8adb30a898df18459b8926,True,True,True,True,True,True,True,True,M
CMD_PLC_C08_M01_A4_C08_M01,ControlCommand,14,31fad96da7a87ee39306d7cb3aecd07d90f2ccb04cf73fd0b0cd5b33ff79844a,True,True,True,True,True,True,True,True,M
CMD_PLC_C04_M03_A2_C04_M03,ControlCommand,15,37a3a6fec76252573cf7184ae341811af3b8583e7fbf6fc831d1c27e9efab388,True,True,True,True,True,True,True,True,M
CMD_PLC_C05_M03_A3_C05_M03,ControlCommand,16,3b8d1fd43865b1297f4a903b2e23a5617369707e2e41c8023edd5958d7504812,True,True,True,True,True,True,True,True,M
CMD_PLC_C08_M02_A2_C08_M02,ControlCommand,17,41985abbb0fceec0e67b9fc7adf9951a936718ce013d81b3bd61db98230e74fe,True,True,True,True,True,True,True,True,M
CMD_PLC_C07_M01_A1_C07_M01,ControlCommand,18,434208931a279560b57313f0709905e1bd7db5d602fbf48342b2393be66c1c07,True,True,True,True,True,True,True,True,M
CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,19,44592dee28a4c5641b604a19d1e88f2a750ae5a0b30062a4fa3fd35d56991eaa,True,True,True,True,True,True,True,True,M
CMD_PLC_C01_M03_A2_C01_M03,ControlCommand,20,4490b34aa6e03d8738ef2ed98b0790d779670df33cb640025d7a680189f08d23,True,True,True,True,True,True,True,True,M
