HNF_count,HNF_set_sha,backend,density_tag,repeat,rho_den,rho_num,scenario
4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,H2S,D100,1,1,1,M_RING
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,CELF,D100,1,1,1,M_RING
4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,H2S,D100,2,1,1,M_RING
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,CELF,D100,2,1,1,M_RING
4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,H2S,D100,1,1,1,M_REDSTAR
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,CELF,D100,1,1,1,M_REDSTAR
4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,H2S,D100,2,1,1,M_REDSTAR
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,CELF,D100,2,1,1,M_REDSTAR
4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,H2S,D100,1,1,1,M_ROR
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,CELF,D100,1,1,1,M_ROR
4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,H2S,D100,2,1,1,M_ROR
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,CELF,D100,2,1,1,M_ROR
14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,H2S,D100,1,1,1,L_RING
14,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,CELF,D100,1,1,1,L_RING
14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,H2S,D100,2,1,1,L_RING
14,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,CELF,D100,2,1,1,L_RING
14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,H2S,D100,1,1,1,L_REDSTAR
14,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,CELF,D100,1,1,1,L_REDSTAR
