CELF_HNF_count,CELF_HNF_set_sha,CELF_attempted,CELF_complete,CELF_ms,CELF_scheduled_count,CELF_status,H2S_HNF_count,H2S_HNF_set_sha,H2S_complete,H2S_ms,H2S_scheduled_count,H2S_status,actual_global_density,actual_global_density_decimal,candidate_vector_sha,density_tag,expected_instances,formal_HNF_count,formal_complete,formal_scheduled_count,formal_status,input_integrity_pass,instance_completion_sha,on_wire_bytes_per_hyperperiod,original_TT_count,peak_RSS,repeat,retained_TT_count,rho_decimal,rho_den,rho_num,scale,scenario,static_checker,topology,total_wall_ms,upstream_verifier
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,True,False,63.125717,348,HEURISTIC_NOT_FOUND,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,62.277151,348,HEURISTIC_NOT_FOUND,352/352,1,70eb5035e0d06393541df8fe4e13dffaf46c6a83bb81447b78cffddd0ba5545c,D100,3616,4,False,348,HEURISTIC_NOT_FOUND,True,d383784046cc2f75bba5b0e5355b398f8bfc8c184b2aee9c55d88998e5499ddb,522240,352,19451904,1,352,1,1,1,M,M_RING,False,RING,317.602612,True
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,True,False,61.617707,348,HEURISTIC_NOT_FOUND,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,63.081774,348,HEURISTIC_NOT_FOUND,352/352,1,70eb5035e0d06393541df8fe4e13dffaf46c6a83bb81447b78cffddd0ba5545c,D100,3616,4,False,348,HEURISTIC_NOT_FOUND,True,d383784046cc2f75bba5b0e5355b398f8bfc8c184b2aee9c55d88998e5499ddb,522240,352,19456000,2,352,1,1,1,M,M_RING,False,RING,301.5822,True
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,True,False,93.505017,348,HEURISTIC_NOT_FOUND,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,92.342204,348,HEURISTIC_NOT_FOUND,352/352,1,ffc63dff8f98f48b6c9b6293a04b4e3575714f320f6bf47b00cfc3194fa62386,D100,3616,4,False,348,HEURISTIC_NOT_FOUND,True,eda98aaa326e4f77cb89e0ecfdcd0013cd6dab7f1137e5b9bece31ffc4d43e51,522240,352,23068672,1,352,1,1,1,M,M_REDSTAR,False,REDSTAR,513.351267,True
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,True,False,92.499152,348,HEURISTIC_NOT_FOUND,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,93.154632,348,HEURISTIC_NOT_FOUND,352/352,1,ffc63dff8f98f48b6c9b6293a04b4e3575714f320f6bf47b00cfc3194fa62386,D100,3616,4,False,348,HEURISTIC_NOT_FOUND,True,eda98aaa326e4f77cb89e0ecfdcd0013cd6dab7f1137e5b9bece31ffc4d43e51,522240,352,23072768,2,352,1,1,1,M,M_REDSTAR,False,REDSTAR,497.125105,True
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,True,False,87.21707,348,HEURISTIC_NOT_FOUND,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,86.9171,348,HEURISTIC_NOT_FOUND,352/352,1,4b9f93dac65bd84fc1fc0e5b623f953921a6446854ccf760a104133a48406996,D100,3616,4,False,348,HEURISTIC_NOT_FOUND,True,33d7e2769c748503eb7deb9cfd03fa0964b8c10196f01f38e5b8124ea2b621e0,522240,352,19116032,1,352,1,1,1,M,M_ROR,False,ROR,388.667858,True
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,True,False,88.275385,348,HEURISTIC_NOT_FOUND,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,87.097953,348,HEURISTIC_NOT_FOUND,352/352,1,4b9f93dac65bd84fc1fc0e5b623f953921a6446854ccf760a104133a48406996,D100,3616,4,False,348,HEURISTIC_NOT_FOUND,True,33d7e2769c748503eb7deb9cfd03fa0964b8c10196f01f38e5b8124ea2b621e0,522240,352,19116032,2,352,1,1,1,M,M_ROR,False,ROR,381.560103,True
14,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,True,False,165.104559,914,HEURISTIC_NOT_FOUND,14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,False,164.826901,914,HEURISTIC_NOT_FOUND,928/928,1,1254a6a9f415b320930f1e102d71a8fbc20613fad8e975346af143fb14833e18,D100,9632,14,False,914,HEURISTIC_NOT_FOUND,True,2139cc70df0572d519dfeaf0d483a131b62c78d5c4df983431c31d66d799eff4,1386496,928,44138496,1,928,1,1,1,L,L_RING,False,RING,1457.086109,True
14,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,True,False,168.070559,914,HEURISTIC_NOT_FOUND,14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,False,163.269653,914,HEURISTIC_NOT_FOUND,928/928,1,1254a6a9f415b320930f1e102d71a8fbc20613fad8e975346af143fb14833e18,D100,9632,14,False,914,HEURISTIC_NOT_FOUND,True,2139cc70df0572d519dfeaf0d483a131b62c78d5c4df983431c31d66d799eff4,1386496,928,44138496,2,928,1,1,1,L,L_RING,False,RING,1480.505114,True
14,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,True,False,459.558819,914,HEURISTIC_NOT_FOUND,14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,False,467.544174,914,HEURISTIC_NOT_FOUND,928/928,1,4e684e52877187f8b74cf6eb5845dd8b04e120eb8d70f30f52d57102b6546412,D100,9632,14,False,914,HEURISTIC_NOT_FOUND,True,32c651f21b3faf1b30f98d14075ecee34255b0442d1dbb8df705bd1d07ab13f2,1386496,928,52555776,1,928,1,1,1,L,L_REDSTAR,False,REDSTAR,2766.751303,True
14,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,True,False,460.761584,914,HEURISTIC_NOT_FOUND,14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,False,468.649378,914,HEURISTIC_NOT_FOUND,928/928,1,4e684e52877187f8b74cf6eb5845dd8b04e120eb8d70f30f52d57102b6546412,D100,9632,14,False,914,HEURISTIC_NOT_FOUND,True,32c651f21b3faf1b30f98d14075ecee34255b0442d1dbb8df705bd1d07ab13f2,1386496,928,52719616,2,928,1,1,1,L,L_REDSTAR,False,REDSTAR,2778.191492,True
