CELF_HNF_set_sha_exact,CELF_scheduled_count_exact,CELF_status_exact,H2S_HNF_set_sha_exact,H2S_scheduled_count_exact,H2S_status_exact,candidate_vector_sha_exact,density_tag,formal_complete_exact,formal_scheduled_count_exact,formal_status_exact,instance_completion_sha_exact,repeatability_pass,scenario
True,True,True,True,True,True,True,D050,True,True,True,True,True,L_REDSTAR
True,True,True,True,True,True,True,D060,True,True,True,True,True,L_REDSTAR
True,True,True,True,True,True,True,D070,True,True,True,True,True,L_REDSTAR
True,True,True,True,True,True,True,D080,True,True,True,True,True,L_REDSTAR
True,True,True,True,True,True,True,D085,True,True,True,True,True,L_REDSTAR
True,True,True,True,True,True,True,D090,True,True,True,True,True,L_REDSTAR
True,True,True,True,True,True,True,D095,True,True,True,True,True,L_REDSTAR
True,True,True,True,True,True,True,D100,True,True,True,True,True,L_REDSTAR
True,True,True,True,True,True,True,D050,True,True,True,True,True,L_RING
True,True,True,True,True,True,True,D060,True,True,True,True,True,L_RING
True,True,True,True,True,True,True,D070,True,True,True,True,True,L_RING
True,True,True,True,True,True,True,D080,True,True,True,True,True,L_RING
True,True,True,True,True,True,True,D085,True,True,True,True,True,L_RING
True,True,True,True,True,True,True,D090,True,True,True,True,True,L_RING
True,True,True,True,True,True,True,D095,True,True,True,True,True,L_RING
True,True,True,True,True,True,True,D100,True,True,True,True,True,L_RING
True,True,True,True,True,True,True,D050,True,True,True,True,True,L_ROR
True,True,True,True,True,True,True,D060,True,True,True,True,True,L_ROR
True,True,True,True,True,True,True,D070,True,True,True,True,True,L_ROR
True,True,True,True,True,True,True,D080,True,True,True,True,True,L_ROR
True,True,True,True,True,True,True,D085,True,True,True,True,True,L_ROR
True,True,True,True,True,True,True,D090,True,True,True,True,True,L_ROR
True,True,True,True,True,True,True,D095,True,True,True,True,True,L_ROR
True,True,True,True,True,True,True,D100,True,True,True,True,True,L_ROR
True,True,True,True,True,True,True,D050,True,True,True,True,True,M_REDSTAR
True,True,True,True,True,True,True,D060,True,True,True,True,True,M_REDSTAR
True,True,True,True,True,True,True,D070,True,True,True,True,True,M_REDSTAR
True,True,True,True,True,True,True,D080,True,True,True,True,True,M_REDSTAR
True,True,True,True,True,True,True,D085,True,True,True,True,True,M_REDSTAR
True,True,True,True,True,True,True,D090,True,True,True,True,True,M_REDSTAR
True,True,True,True,True,True,True,D095,True,True,True,True,True,M_REDSTAR
True,True,True,True,True,True,True,D100,True,True,True,True,True,M_REDSTAR
True,True,True,True,True,True,True,D050,True,True,True,True,True,M_RING
True,True,True,True,True,True,True,D060,True,True,True,True,True,M_RING
True,True,True,True,True,True,True,D070,True,True,True,True,True,M_RING
True,True,True,True,True,True,True,D080,True,True,True,True,True,M_RING
True,True,True,True,True,True,True,D085,True,True,True,True,True,M_RING
True,True,True,True,True,True,True,D090,True,True,True,True,True,M_RING
True,True,True,True,True,True,True,D095,True,True,True,True,True,M_RING
True,True,True,True,True,True,True,D100,True,True,True,True,True,M_RING
True,True,True,True,True,True,True,D050,True,True,True,True,True,M_ROR
True,True,True,True,True,True,True,D060,True,True,True,True,True,M_ROR
True,True,True,True,True,True,True,D070,True,True,True,True,True,M_ROR
True,True,True,True,True,True,True,D080,True,True,True,True,True,M_ROR
True,True,True,True,True,True,True,D085,True,True,True,True,True,M_ROR
True,True,True,True,True,True,True,D090,True,True,True,True,True,M_ROR
True,True,True,True,True,True,True,D095,True,True,True,True,True,M_ROR
True,True,True,True,True,True,True,D100,True,True,True,True,True,M_ROR
